latent_id,split,split_order,mask_class,latent_seed,mh_seed,mask_seed,protocol_id,protocol_version,split_index,m_base,h_base,mask_category,m_seed,h_seed,camera_schedule_seed,light_schedule_seed,appearance0_seed,appearance1_seed,appearance2_seed,c0,c1,l0,l1
F00025,Train,25,Mild,2277513321780356144,2239902077511716809,5369447111983266909,SO-R1-A2-D0-AM1,1.1,25,0.00255,0.05435,Mild,2239902077511716809,1794183903758230899,8780511310145497963,14911946622471669171,734558339908291695,4380508095570408797,5937030945882851854,Hasselblad H2,Nikon D80,D65,A
F00026,Train,26,Mild,9621505518164768952,1459331221591649005,665309137701338364,SO-R1-A2-D0-AM1,1.1,26,0.00265,0.61805,Mild,1459331221591649005,17897471017322841973,16060067734811194631,927619451142439982,10310572241430026364,14833619011262579017,12266671229722493433,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F00027,Train,27,Full,4959710885445027067,2612472776943570161,14679599371828568305,SO-R1-A2-D0-AM1,1.1,27,0.00275,0.79555,Full,2612472776943570161,17168782061630367837,5566928696171303150,10938816072053877093,17588866756891493198,1405964459733371132,10627333362911162499,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F00028,Train,28,Mild,14599676704715046637,16051518578964621099,8140342774111822586,SO-R1-A2-D0-AM1,1.1,28,0.00285,0.18475,Mild,16051518578964621099,9137889989520549644,13325562989651786665,13405933709603191923,18156364134036763403,6620940129447788604,6918046533520216711,Canon 5DMarkII,Hasselblad H2,A,FL2
F00029,Train,29,Mild,1817762950493859207,18251804832680784005,4756146660413058144,SO-R1-A2-D0-AM1,1.1,29,0.00295,0.51235,Mild,18251804832680784005,14027330112594993567,1654604044078824543,5503913185543935272,4065538119529224377,5695234148461594607,13415952953644696413,Hasselblad H2,Nikon D80,A,FL2
F00030,Train,30,Full,3983901838976114273,3243306151951339601,12064671601108835721,SO-R1-A2-D0-AM1,1.1,30,0.00305,0.42285,Full,3243306151951339601,1936925434575500512,15204217301406992809,1006941965280430063,5086654416484824856,9627782236198024747,2370676907293788692,Nikon D80,Point Grey Grasshopper2 14S5C,A,FL2
F00031,Train,31,Mild,12754988697132693419,13694506778558972589,7044933590520541274,SO-R1-A2-D0-AM1,1.1,31,0.00315,0.32755,Mild,13694506778558972589,12286821471743101510,847773573944869747,6127375667676362710,2036626903672699896,14867823203206453343,14061018458456468704,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,A,FL2
F00032,Train,32,Mild,12323929474133542877,8421251208794291026,706069709435406354,SO-R1-A2-D0-AM1,1.1,32,0.00325,0.51965,Mild,8421251208794291026,5949057649169892323,11657175941056122292,15008110699515651720,6677514454891538570,6861657829402679140,8133144034690856651,Canon 5DMarkII,Hasselblad H2,FL2,D65
F00033,Train,33,Full,8716531767840433352,17128434032691492332,12829778412759623161,SO-R1-A2-D0-AM1,1.1,33,0.00335,0.47875,Full,17128434032691492332,14815796944827883928,6549790060592283917,16717218292995493664,10370735502506684502,18239873804857232862,4858102953292936763,Hasselblad H2,Nikon D80,FL2,D65
F00034,Train,34,Full,17687733505147637286,17320765414833365068,8733167597123996169,SO-R1-A2-D0-AM1,1.1,34,0.00345,0.74925,Full,17320765414833365068,2532528995087286777,15479785241097212506,314237911981440453,15782080841485357967,6403575531983346870,13330847989955554655,Nikon D80,Point Grey Grasshopper2 14S5C,FL2,D65
F00035,Train,35,Mild,5454216434351189945,6415633661446070437,3135655347115766806,SO-R1-A2-D0-AM1,1.1,35,0.00355,0.64015,Mild,6415633661446070437,16126205103009909949,2073630295333390641,11551635266356769719,16726777997285331875,1962745910243106302,13558467291551765145,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,FL2,D65
F00036,Train,36,Mild,4364355116839315128,12995023136966507171,7313579093850261293,SO-R1-A2-D0-AM1,1.1,36,0.00365,0.06685,Mild,12995023136966507171,8145916981922528193,16142822139291100605,8733545255301121668,6427541182448087369,14113613460175188812,7697279336344938276,Canon 5DMarkII,Hasselblad H2,D65,A
F00037,Train,37,Full,8833286053111163330,9245916353083861502,198274197619026805,SO-R1-A2-D0-AM1,1.1,37,0.00375,0.07805,Full,9245916353083861502,10655189361467992295,3987808664959074725,10090077822646446331,1087865379890217105,11646136091812748492,13855821978517180191,Hasselblad H2,Nikon D80,D65,A
F00038,Train,38,Strong,7975504710011274483,17987712121203264302,272929297977935599,SO-R1-A2-D0-AM1,1.1,38,0.00385,0.02655,Strong,17987712121203264302,16848559074441248078,619856724645878465,10652784270857779820,8285198448836613564,2122412767630104698,16192377851726909814,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F00039,Train,39,Full,250408932733213507,14974579173353654399,2976336686301513355,SO-R1-A2-D0-AM1,1.1,39,0.00395,0.31825,Full,14974579173353654399,17012433218759315527,5313172687671772578,168845447669745980,17153053803728600164,7622534194314874697,8335834619677398117,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F00040,Train,40,Full,80315761722647116,9266520758265039864,2482421420424506712,SO-R1-A2-D0-AM1,1.1,40,0.00405,0.91845,Full,9266520758265039864,16938864513397199755,12990811830789487470,8936053138475635339,3418890823257298519,3613001729479791653,6290966155702984333,Canon 5DMarkII,Hasselblad H2,A,FL2
F00041,Train,41,Strong,3580179730230614033,3401897793129087090,16371856842367761998,SO-R1-A2-D0-AM1,1.1,41,0.00415,0.55245,Strong,3401897793129087090,12976973293576116557,4604956563087401870,2852589469129406366,6296230511577686066,16949942377561082960,8286221570605099681,Hasselblad H2,Nikon D80,A,FL2
F00042,Train,42,Mild,14921963478880229865,2255547194504502588,14676068098379165432,SO-R1-A2-D0-AM1,1.1,42,0.00425,0.28715,Mild,2255547194504502588,7751849601872949515,16899759057396463659,17763595036918303271,2272672554231944553,5836861219258287210,3280417254778473251,Nikon D80,Point Grey Grasshopper2 14S5C,A,FL2
F00043,Train,43,Mild,4879777718848500953,16406216623797266874,6631247340892153809,SO-R1-A2-D0-AM1,1.1,43,0.00435,0.02935,Mild,16406216623797266874,9379354267290988081,4381668286273187798,2050336079655551327,14948874938663477724,17446637863289193356,4144729854776470466,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,A,FL2
F00044,Train,44,Full,17402869030522112859,12312377217025139355,6784436480468029464,SO-R1-A2-D0-AM1,1.1,44,0.00445,0.61025,Full,12312377217025139355,5936006247698118603,3883312719402425553,15702109089173633846,2101026472794428661,9760720424375946747,12539940423980100793,Canon 5DMarkII,Hasselblad H2,FL2,D65
F00045,Train,45,Mild,603417440967055152,7176001351181397723,11738042637891348596,SO-R1-A2-D0-AM1,1.1,45,0.00455,0.14725,Mild,7176001351181397723,15669142438628014699,12942134783865820033,9325070691799205587,1610699539720507642,4596150444530452949,11088495405910271184,Hasselblad H2,Nikon D80,FL2,D65
F00046,Train,46,Full,16385961542132966849,15533552210980191090,2729211658193187927,SO-R1-A2-D0-AM1,1.1,46,0.00465,0.78085,Full,15533552210980191090,13418752243272535297,3604925065148756527,2472395615841461426,10482433115389649208,5026695513789059098,5385320864817025807,Nikon D80,Point Grey Grasshopper2 14S5C,FL2,D65
F00047,Train,47,Full,5215341262326078858,703172027130178996,1826920913949681093,SO-R1-A2-D0-AM1,1.1,47,0.00475,0.65515,Full,703172027130178996,13138581454639487926,13363839710811580226,1675806941361660591,7722157764007142634,16225443061986652597,3222417027352820481,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,FL2,D65
F10000,Validation,0,Strong,8512917318039137082,17118288611733280768,6843189088756191534,SO-R1-A2-D0-AM1,1.1,0,0.0005,0.2265,Strong,17118288611733280768,8052340763964720423,10482232703509672798,12419973160324856857,7407746404801062411,11955976221525406651,14730148666553189866,Canon 5DMarkII,Hasselblad H2,D65,A
F10001,Validation,1,Strong,10526963503382791736,6468262364059450365,1477058357898566171,SO-R1-A2-D0-AM1,1.1,1,0.0015,0.5175,Strong,6468262364059450365,10824937270503168958,12228715143255888370,11989720493226411691,6707781644189689927,15602749584921606036,8655008395379852796,Hasselblad H2,Nikon D80,D65,A
F10002,Validation,2,Full,14674578934486333588,7590695934344567130,9781181629443907675,SO-R1-A2-D0-AM1,1.1,2,0.0025,0.2325,Full,7590695934344567130,8836164452315305697,17423775454007918054,17946637659206322198,9246901721816291760,1615701438107917039,5423092382077272125,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F10003,Validation,3,Full,40742304633676190,14036680943957257825,5476502547529426148,SO-R1-A2-D0-AM1,1.1,3,0.0035,0.4775,Full,14036680943957257825,10254624038749046302,12641027395617164256,12391559066794158912,18252614303225680048,9924698415696697510,17766289369197236630,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F10004,Validation,4,Full,8127685276564730119,13656306027558971743,8432002878703977818,SO-R1-A2-D0-AM1,1.1,4,0.0045,0.9855,Full,13656306027558971743,15803765678849317386,16465432882185560746,3972701629435611263,8274029352126158030,11718455784787746012,17116205875472043619,Canon 5DMarkII,Hasselblad H2,A,FL2
F10005,Validation,5,Full,143507173407810142,7310582397904797117,13716444464267136121,SO-R1-A2-D0-AM1,1.1,5,0.0055,0.4895,Full,7310582397904797117,4988170467244350977,2773145382726319482,12716360433723160430,15533020408829805429,1747446796792178946,14476422156142664930,Hasselblad H2,Nikon D80,A,FL2
F10006,Validation,6,Mild,17383597025067798630,18177389576688651355,13153230576522068976,SO-R1-A2-D0-AM1,1.1,6,0.0065,0.3655,Mild,18177389576688651355,17060640354325278576,2744193097078063026,1405533403963567328,5662292930458609394,12585466000970243943,3060087717488886902,Nikon D80,Point Grey Grasshopper2 14S5C,A,FL2
F10007,Validation,7,Full,14543659315120668244,3118496548128947049,751219167993010598,SO-R1-A2-D0-AM1,1.1,7,0.0075,0.3925,Full,3118496548128947049,16762448535428221743,15463034016667638084,14356570070523667178,14692922200625336159,4490208178392827554,18427541020665107792,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,A,FL2
F10008,Validation,8,Full,17563371588183377402,12765991269609795258,9364852297461492503,SO-R1-A2-D0-AM1,1.1,8,0.0085,0.2175,Full,12765991269609795258,16602517696853719882,245949041637246918,1459794116350789896,607195771145391340,17256834390737144735,17858767646099926718,Canon 5DMarkII,Hasselblad H2,FL2,D65
F10009,Validation,9,Strong,14420851175090859062,2732345461398413688,18312231851610265067,SO-R1-A2-D0-AM1,1.1,9,0.0095,0.1905,Strong,2732345461398413688,839135575159771415,14692393805697960718,3833988749316958478,15779210449146223040,5744903719785646085,11391494235007512725,Hasselblad H2,Nikon D80,FL2,D65
F10010,Validation,10,Full,7087661599292470318,16779029245182552112,4440976964449704606,SO-R1-A2-D0-AM1,1.1,10,0.0105,0.5405,Full,16779029245182552112,1136765023658199462,7849852251519085923,6774519370615464389,3721497598979884716,9120777283215709752,12935108012740914464,Nikon D80,Point Grey Grasshopper2 14S5C,FL2,D65
F10011,Validation,11,Full,3295859084191629899,6514861599959110150,13968669409854074173,SO-R1-A2-D0-AM1,1.1,11,0.0115,0.4155,Full,6514861599959110150,11046144370011848343,13131817685934632721,6352615262704144898,1609123618815359511,2773566465664237155,17121097138894954914,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,FL2,D65
F10012,Validation,12,Full,4026743520343342733,13900499630213290447,6544984152704857630,SO-R1-A2-D0-AM1,1.1,12,0.0125,0.5615,Full,13900499630213290447,14564232527123630405,14660669124225694011,10062434375758776934,7887077757311898881,2476665201073999366,15415882380061970349,Canon 5DMarkII,Hasselblad H2,D65,A
F10013,Validation,13,Full,9452963901562521115,4090835717263235888,12156012706350660514,SO-R1-A2-D0-AM1,1.1,13,0.0135,0.0385,Full,4090835717263235888,5047304131932374036,7522577275516508139,6617425472082948199,7663192364462827150,13215670793559322019,16746734723041614117,Hasselblad H2,Nikon D80,D65,A
F10014,Validation,14,Full,10535127059815059280,8512151515368313886,11589665215378113058,SO-R1-A2-D0-AM1,1.1,14,0.0145,0.3355,Full,8512151515368313886,9580527878814552329,582301314919728566,15619320497430258784,15825377301112024009,14687706224254833971,8208080074210660571,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F10015,Validation,15,Mild,13013662925049057134,6432592552204416714,13022405329312668503,SO-R1-A2-D0-AM1,1.1,15,0.0155,0.4085,Mild,6432592552204416714,1187051978807687250,17191250276663980203,7271186128832282169,14903658355420552554,6398549319315917141,7240442582910330954,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F11000,ID Test,0,Mild,5298323025303337521,8267371057036320584,2550169926125802715,SO-R1-A2-D0-AM1,1.1,0,0.0005,0.9855,Mild,8267371057036320584,7777289772367814106,12840294328082135982,1023986303075706396,8400239088673793442,2451143649107210126,6587834639699455242,Canon 5DMarkII,Hasselblad H2,D65,A
F11001,ID Test,1,Mild,2542042480710775795,14330728221140921769,11199393909803111913,SO-R1-A2-D0-AM1,1.1,1,0.0015,0.1905,Mild,14330728221140921769,2506086927576664654,7971397624184983733,8557482232060171040,8825698897418677893,13765211944991222879,7826113821320373169,Hasselblad H2,Nikon D80,D65,A
F11002,ID Test,2,Mild,6320547185242290034,4647539241930722865,615778798791210972,SO-R1-A2-D0-AM1,1.1,2,0.0025,0.0505,Mild,4647539241930722865,15582538088956282239,3507232796326167728,9747671397129066280,14890037875586324263,5742965122798302770,12671913279045827338,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F11003,ID Test,3,Full,1421781665437578190,11987607726152201641,16337337084336123057,SO-R1-A2-D0-AM1,1.1,3,0.0035,0.7905,Full,11987607726152201641,17570367862747924450,16724439130845214891,7752886721360247855,18444755477588829500,13365575405865550757,13486174252329114934,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F11004,ID Test,4,Strong,7046736442497506622,13944493765833716414,17831843966370778894,SO-R1-A2-D0-AM1,1.1,4,0.0045,0.2835,Strong,13944493765833716414,15676395126931201814,18303008234565326429,2812326485442116348,5249821518068914862,6773993134022244403,3099622455110349293,Canon 5DMarkII,Hasselblad H2,A,FL2
F11005,ID Test,5,Full,8624155276452297890,15260333908732089530,17262777492675463307,SO-R1-A2-D0-AM1,1.1,5,0.0055,0.1675,Full,15260333908732089530,17159013464232254129,16569916594812981622,17738483377180883931,5406876314019871240,11826799601432964010,4801839745904027718,Hasselblad H2,Nikon D80,A,FL2
F11006,ID Test,6,Strong,6574466090970050876,16231656285269373085,13350180456425350327,SO-R1-A2-D0-AM1,1.1,6,0.0065,0.2955,Strong,16231656285269373085,15780446679458503381,6241308393746964460,6575898199879467832,9554865033683024318,1982269613741197689,3260373982000940718,Nikon D80,Point Grey Grasshopper2 14S5C,A,FL2
F11007,ID Test,7,Mild,3629291359751648830,7405764968382741233,329435099484613101,SO-R1-A2-D0-AM1,1.1,7,0.0075,0.3715,Mild,7405764968382741233,11359995053419807363,2381274550490246802,8701638365442391997,10066799384644553084,5357577829240069166,1678222773436593641,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,A,FL2
F11008,ID Test,8,Strong,17916389664546982001,9495839597938006921,15685986390297354366,SO-R1-A2-D0-AM1,1.1,8,0.0085,0.8215,Strong,9495839597938006921,15410551720263820659,15326368646900236881,4187942342743835433,9386664549341489611,4957075022478971894,9317622285293958495,Canon 5DMarkII,Hasselblad H2,FL2,D65
F11009,ID Test,9,Mild,11670971859124545231,9156313385245326562,9692394418264705089,SO-R1-A2-D0-AM1,1.1,9,0.0095,0.2065,Mild,9156313385245326562,1508612174715201810,5387670037277106445,7018825977388553284,3879639246459603913,15369424323054879348,9330135769576064863,Hasselblad H2,Nikon D80,FL2,D65
F11010,ID Test,10,Mild,9951987769564956699,6460029845687451624,14901345015134769715,SO-R1-A2-D0-AM1,1.1,10,0.0105,0.6345,Mild,6460029845687451624,2796773162677634407,6688169188379763690,6212475135833245037,5099376896057907525,2644947090840144024,3998133429039762102,Nikon D80,Point Grey Grasshopper2 14S5C,FL2,D65
F11011,ID Test,11,Full,3711866689657724357,8136395744561528820,16172429902408982445,SO-R1-A2-D0-AM1,1.1,11,0.0115,0.5915,Full,8136395744561528820,6243737917716373680,17745510951553525138,5500001739043941468,3141508295553220329,11328056203557225033,17706273342848911886,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,FL2,D65
F11012,ID Test,12,Mild,18398865288925637501,9281331342095808148,15554972718559008729,SO-R1-A2-D0-AM1,1.1,12,0.0125,0.1765,Mild,9281331342095808148,1539714860515517485,765807400661129064,3579467604197129160,578420606686464469,15218542284915678413,10288837800404273947,Canon 5DMarkII,Hasselblad H2,D65,A
F11013,ID Test,13,Mild,3059845571154840914,13625611450471615583,8502460814779828561,SO-R1-A2-D0-AM1,1.1,13,0.0135,0.9405,Mild,13625611450471615583,14213443383417224934,5042171029245355766,14541540701547009060,3763631173368410877,6613359218096155316,1691785483878116483,Hasselblad H2,Nikon D80,D65,A
F11014,ID Test,14,Mild,238122121865078546,3814629004256056624,16393618706653263958,SO-R1-A2-D0-AM1,1.1,14,0.0145,0.7285,Mild,3814629004256056624,5892162351762850199,1790570714205033869,4812630445491729452,15638201047147312511,3327737346723348079,17237901311388140674,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F11015,ID Test,15,Mild,168145923569006954,5227108583192147040,12719613832387166508,SO-R1-A2-D0-AM1,1.1,15,0.0155,0.4015,Mild,5227108583192147040,9404800523110957434,7012373094841166504,3960920917663110575,10421780435598655315,15720847247961827665,2316280315234574677,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F12000,Camera-OOD,0,Strong,12819090451650882032,3550214007713769798,10683854146577078515,SO-R1-A2-D0-AM1,1.1,0,0.001,0.163,Strong,3550214007713769798,7407364010171097469,4700653480861846897,18115026360215120320,12165305391651739523,16320358300315511743,6579466567161761058,Canon 5DMarkII,Canon 1DMarkIII,D65,A
F12001,Camera-OOD,1,Strong,5023615773142402866,13880557859416537594,10035704454559484450,SO-R1-A2-D0-AM1,1.1,1,0.003,0.703,Strong,13880557859416537594,17564096828733566921,2128226975509265080,8012010241705859103,2863892829318568549,4763293830302866559,17851023684648387754,Hasselblad H2,Nikon D5100,D65,A
F12002,Camera-OOD,2,Mild,1698577452485948574,292547763521954688,5880410738627209190,SO-R1-A2-D0-AM1,1.1,2,0.005,0.171,Mild,292547763521954688,12587097558522047691,15525441147975793735,4078577169728580994,5530255784269161274,901551749342731230,10101373929374599414,Nikon D80,Canon 1DMarkIII,D65,A
F12003,Camera-OOD,3,Strong,2112471215756682109,15240519456481295567,438236752035125813,SO-R1-A2-D0-AM1,1.1,3,0.007,0.419,Strong,15240519456481295567,3787986954666210716,16347929313081910296,13166575254975356663,17993838016260901645,6684296820818178224,18258074520879347736,Point Grey Grasshopper2 14S5C,Nikon D5100,D65,A
F12004,Camera-OOD,4,Full,13094807377417582822,7549900047024313453,14580753696820364054,SO-R1-A2-D0-AM1,1.1,4,0.009,0.231,Full,7549900047024313453,104993030614584113,15716140212812620111,3725833800954586460,17962905517799520825,6395334575945518655,3173451621241745853,Canon 5DMarkII,Canon 1DMarkIII,A,FL2
F12005,Camera-OOD,5,Strong,2772164521688428031,2710523620034203027,9749235658738993869,SO-R1-A2-D0-AM1,1.1,5,0.011,0.939,Strong,2710523620034203027,7881441107351148698,3892110735298823733,13812409467021321256,6697226113935169537,14101843717811330826,5998603351355650860,Hasselblad H2,Nikon D5100,A,FL2
F12006,Camera-OOD,6,Mild,679658115288209093,1329948029469432652,9806880601971188373,SO-R1-A2-D0-AM1,1.1,6,0.013,0.393,Mild,1329948029469432652,7857373305836599688,3161333789847090133,11263748889627697932,17188133693486917717,1516907120286502682,7653313780403239122,Nikon D80,Canon 1DMarkIII,A,FL2
