AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,latent_id,latent_split,m_base,h_base,M_mean,H_mean,mask_hash
True,True,True,True,R1V033,train_like_id,0.6979166666666666,0.8229166666666666,0.6966729760169983,0.8233985900878906,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V034,train_like_id,0.71875,0.96875,0.718122124671936,0.9687739610671997,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V035,train_like_id,0.7395833333333334,0.11458333333333333,0.7400578856468201,0.11434002965688705,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V036,train_like_id,0.7604166666666666,0.2604166666666667,0.7607932686805725,0.26065772771835327,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V037,train_like_id,0.78125,0.40625,0.7818163633346558,0.4058094620704651,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V038,train_like_id,0.8020833333333334,0.5520833333333334,0.8030979037284851,0.5523531436920166,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V039,train_like_id,0.8229166666666666,0.6979166666666666,0.8231127262115479,0.6973944902420044,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V040,train_like_id,0.84375,0.84375,0.843944787979126,0.844351053237915,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V041,train_like_id,0.8645833333333334,0.9895833333333334,0.8646227121353149,0.9896228909492493,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V042,train_like_id,0.8854166666666666,0.13541666666666666,0.8847435116767883,0.135986790060997,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V043,train_like_id,0.90625,0.28125,0.9060373306274414,0.2814989686012268,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V044,train_like_id,0.9270833333333334,0.4270833333333333,0.927138090133667,0.42630842328071594,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V045,train_like_id,0.9479166666666666,0.5729166666666666,0.9478135704994202,0.5737102627754211,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V046,train_like_id,0.96875,0.71875,0.9687619805335999,0.7191014289855957,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V047,train_like_id,0.9895833333333334,0.8645833333333334,0.9893714189529419,0.8644963502883911,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V048,validation_like_id,0.03125,0.03125,0.03131730481982231,0.03137240558862686,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V049,validation_like_id,0.09375,0.46875,0.09375303983688354,0.46785181760787964,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V050,validation_like_id,0.15625,0.90625,0.15620851516723633,0.9061108231544495,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V051,validation_like_id,0.21875,0.34375,0.21917936205863953,0.34349220991134644,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V052,validation_like_id,0.28125,0.78125,0.28081750869750977,0.7812826633453369,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V053,validation_like_id,0.34375,0.21875,0.3429446220397949,0.21900352835655212,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V054,validation_like_id,0.40625,0.65625,0.4061540961265564,0.656419038772583,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V055,validation_like_id,0.46875,0.09375,0.4690081477165222,0.09364315867424011,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V056,validation_like_id,0.53125,0.53125,0.5313543081283569,0.5312372446060181,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V057,validation_like_id,0.59375,0.96875,0.594002902507782,0.9686224460601807,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V058,validation_like_id,0.65625,0.40625,0.6561529636383057,0.40583381056785583,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V059,validation_like_id,0.71875,0.84375,0.7187108993530273,0.8433085680007935,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V060,validation_like_id,0.78125,0.28125,0.7801846265792847,0.2806366980075836,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V061,validation_like_id,0.84375,0.71875,0.8431434631347656,0.7184422016143799,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V062,validation_like_id,0.90625,0.15625,0.9061428904533386,0.15529105067253113,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V063,validation_like_id,0.96875,0.59375,0.9687891602516174,0.5946728587150574,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V064,id_test,0.03125,0.03125,0.03120276890695095,0.03111407160758972,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V065,id_test,0.09375,0.46875,0.09395904839038849,0.46880272030830383,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V066,id_test,0.15625,0.90625,0.1563817411661148,0.9059843420982361,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V067,id_test,0.21875,0.34375,0.21860280632972717,0.344049334526062,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V068,id_test,0.28125,0.78125,0.28070068359375,0.7813172340393066,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V069,id_test,0.34375,0.21875,0.3438616394996643,0.21864914894104004,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V070,id_test,0.40625,0.65625,0.40708428621292114,0.6568189859390259,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V071,id_test,0.46875,0.09375,0.469157874584198,0.0938970297574997,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V072,id_test,0.53125,0.53125,0.5321252942085266,0.5322141647338867,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V073,id_test,0.59375,0.96875,0.5932304859161377,0.968607485294342,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V074,id_test,0.65625,0.40625,0.6569046974182129,0.4057683050632477,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V075,id_test,0.71875,0.84375,0.718815803527832,0.8439699411392212,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V076,id_test,0.78125,0.28125,0.7808904051780701,0.2815333306789398,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V077,id_test,0.84375,0.71875,0.8435080647468567,0.718471348285675,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V078,id_test,0.90625,0.15625,0.9063153862953186,0.15667104721069336,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V079,id_test,0.96875,0.59375,0.9687416553497314,0.5935660600662231,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V080,camera_ood,0.03125,0.03125,0.0313623808324337,0.031182128936052322,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V081,camera_ood,0.09375,0.46875,0.0938684344291687,0.46956300735473633,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V082,camera_ood,0.15625,0.90625,0.1566084623336792,0.9061692953109741,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V083,camera_ood,0.21875,0.34375,0.2191588282585144,0.3442917466163635,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V084,camera_ood,0.28125,0.78125,0.28089040517807007,0.781914472579956,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V085,camera_ood,0.34375,0.21875,0.3441721796989441,0.21996739506721497,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V086,camera_ood,0.40625,0.65625,0.40652796626091003,0.6549373865127563,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V087,camera_ood,0.46875,0.09375,0.46846476197242737,0.09378719329833984,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V088,camera_ood,0.53125,0.53125,0.5305674076080322,0.5310513973236084,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V089,camera_ood,0.59375,0.96875,0.5924016237258911,0.9687357544898987,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V090,camera_ood,0.65625,0.40625,0.656177282333374,0.4061800241470337,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V091,camera_ood,0.71875,0.84375,0.7183338403701782,0.8438742160797119,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V092,camera_ood,0.78125,0.28125,0.7812905311584473,0.28145354986190796,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V093,camera_ood,0.84375,0.71875,0.8437234163284302,0.718307614326477,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V094,camera_ood,0.90625,0.15625,0.9055505990982056,0.1563088446855545,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V095,camera_ood,0.96875,0.59375,0.9687162637710571,0.5941975116729736,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V096,light_ood,0.03125,0.03125,0.03124174475669861,0.031202910467982292,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V097,light_ood,0.09375,0.46875,0.09376039355993271,0.46813541650772095,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V098,light_ood,0.15625,0.90625,0.15646053850650787,0.9063630104064941,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V099,light_ood,0.21875,0.34375,0.2199801206588745,0.34427863359451294,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V100,light_ood,0.28125,0.78125,0.2818639874458313,0.7812883853912354,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V101,light_ood,0.34375,0.21875,0.3434920012950897,0.21969646215438843,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V102,light_ood,0.40625,0.65625,0.4072536528110504,0.6571193933486938,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V103,light_ood,0.46875,0.09375,0.4684005379676819,0.09385950863361359,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V104,light_ood,0.53125,0.53125,0.5313714146614075,0.5317986011505127,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V105,light_ood,0.59375,0.96875,0.5943762063980103,0.9686672687530518,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V106,light_ood,0.65625,0.40625,0.6565955281257629,0.4061390161514282,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V107,light_ood,0.71875,0.84375,0.719028651714325,0.8435177206993103,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V108,light_ood,0.78125,0.28125,0.7815386056900024,0.2814769744873047,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V109,light_ood,0.84375,0.71875,0.8438920974731445,0.7195565700531006,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V110,light_ood,0.90625,0.15625,0.9061444997787476,0.15564683079719543,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V111,light_ood,0.96875,0.59375,0.9688063859939575,0.5924780368804932,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V112,joint_ood,0.03125,0.03125,0.031034912914037704,0.03120189905166626,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V113,joint_ood,0.09375,0.46875,0.09353527426719666,0.4683305323123932,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V114,joint_ood,0.15625,0.90625,0.1566316783428192,0.9058892726898193,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V115,joint_ood,0.21875,0.34375,0.2186255007982254,0.34415489435195923,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V116,joint_ood,0.28125,0.78125,0.28136080503463745,0.7814634442329407,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V117,joint_ood,0.34375,0.21875,0.34443557262420654,0.21986258029937744,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V118,joint_ood,0.40625,0.65625,0.407156765460968,0.6555435657501221,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V119,joint_ood,0.46875,0.09375,0.4689885675907135,0.09386122226715088,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V120,joint_ood,0.53125,0.53125,0.5315425395965576,0.5314177870750427,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V121,joint_ood,0.59375,0.96875,0.5940350294113159,0.9686667919158936,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V122,joint_ood,0.65625,0.40625,0.6573868989944458,0.40640562772750854,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V123,joint_ood,0.71875,0.84375,0.7184657454490662,0.8440520763397217,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V124,joint_ood,0.78125,0.28125,0.7802630662918091,0.2821195721626282,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V125,joint_ood,0.84375,0.71875,0.8440945148468018,0.7188535928726196,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V126,joint_ood,0.90625,0.15625,0.906386137008667,0.1559305489063263,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V127,joint_ood,0.96875,0.59375,0.9687070250511169,0.5950084924697876,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
