sample_id,latent_id,latent_split,camera_name,light_name,acquisition_role,low_clip_fraction,high_clip_fraction,all_zero_fraction,all_one_fraction,nonfinite_count
L004_A2,L004,train_like_id,Canon 5DMarkII,D65,light_only,0.0,0.0,0.0,0.0,0
L004_A3,L004,train_like_id,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L004_A4,L004,train_like_id,Nikon D80,D65,joint,0.0,0.0,0.0,0.0,0
L005_A0,L005,train_like_id,Nikon D80,D65,reference,0.0,0.0,0.0,0.0,0
L005_A1,L005,train_like_id,Olympus E-PL2,D65,camera_only,0.0,0.0,0.0,0.0,0
L005_A2,L005,train_like_id,Nikon D80,A,light_only,0.0,0.0005645751953125,0.0,0.0,0
L005_A3,L005,train_like_id,Nikon D80,D65,appearance_only,0.0,0.0,0.0,0.0,0
L005_A4,L005,train_like_id,Olympus E-PL2,A,joint,0.0,0.0,0.0,0.0,0
L006_A0,L006,train_like_id,Olympus E-PL2,A,reference,0.0,0.0,0.0,0.0,0
L006_A1,L006,train_like_id,Canon 300D,A,camera_only,0.0,0.0,0.0,0.0,0
L006_A2,L006,train_like_id,Olympus E-PL2,FL2,light_only,0.0,0.0,0.0,0.0,0
L006_A3,L006,train_like_id,Olympus E-PL2,A,appearance_only,0.0,0.0,0.0,0.0,0
L006_A4,L006,train_like_id,Canon 300D,FL2,joint,0.0,0.0,0.0,0.0,0
L007_A0,L007,train_like_id,Canon 300D,FL2,reference,0.0,0.0,0.0,0.0,0
L007_A1,L007,train_like_id,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L007_A2,L007,train_like_id,Canon 300D,D65,light_only,0.0,0.0,0.0,0.0,0
L007_A3,L007,train_like_id,Canon 300D,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L007_A4,L007,train_like_id,Canon 5DMarkII,D65,joint,0.0,0.0,0.0,0.0,0
L008_A0,L008,train_like_id,Canon 5DMarkII,A,reference,0.0,0.0,0.0,0.0,0
L008_A1,L008,train_like_id,Nikon D80,A,camera_only,0.0,0.0,0.0,0.0,0
L008_A2,L008,train_like_id,Canon 5DMarkII,FL2,light_only,0.0,0.0,0.0,0.0,0
L008_A3,L008,train_like_id,Canon 5DMarkII,A,appearance_only,0.0,0.0,0.0,0.0,0
L008_A4,L008,train_like_id,Nikon D80,FL2,joint,0.0,0.0,0.0,0.0,0
L009_A0,L009,train_like_id,Nikon D80,FL2,reference,0.0,0.0,0.0,0.0,0
L009_A1,L009,train_like_id,Olympus E-PL2,FL2,camera_only,0.0,0.0,0.0,0.0,0
L009_A2,L009,train_like_id,Nikon D80,D65,light_only,0.0,0.0,0.0,0.0,0
L009_A3,L009,train_like_id,Nikon D80,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L009_A4,L009,train_like_id,Olympus E-PL2,D65,joint,0.0,0.0,0.0,0.0,0
L010_A0,L010,train_like_id,Olympus E-PL2,D65,reference,0.0,0.0,0.0,0.0,0
L010_A1,L010,train_like_id,Canon 300D,D65,camera_only,0.0,0.0,0.0,0.0,0
L010_A2,L010,train_like_id,Olympus E-PL2,A,light_only,0.0,0.0,0.0,0.0,0
L010_A3,L010,train_like_id,Olympus E-PL2,D65,appearance_only,0.0,0.0,0.0,0.0,0
L010_A4,L010,train_like_id,Canon 300D,A,joint,0.0,0.0,0.0,0.0,0
L011_A0,L011,train_like_id,Canon 300D,A,reference,0.0,0.0,0.0,0.0,0
L011_A1,L011,train_like_id,Canon 5DMarkII,A,camera_only,0.0,0.0,0.0,0.0,0
L011_A2,L011,train_like_id,Canon 300D,FL2,light_only,0.0,0.0,0.0,0.0,0
L011_A3,L011,train_like_id,Canon 300D,A,appearance_only,0.0,0.0,0.0,0.0,0
L011_A4,L011,train_like_id,Canon 5DMarkII,FL2,joint,0.0,0.0,0.0,0.0,0
L012_A0,L012,train_like_id,Canon 5DMarkII,D65,reference,0.0,0.0,0.0,0.0,0
L012_A1,L012,train_like_id,Nikon D80,D65,camera_only,0.0,0.0,0.0,0.0,0
L012_A2,L012,train_like_id,Canon 5DMarkII,A,light_only,0.0,0.0,0.0,0.0,0
L012_A3,L012,train_like_id,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0.0,0.0,0
L012_A4,L012,train_like_id,Nikon D80,A,joint,0.0,0.0,0.0,0.0,0
L013_A0,L013,train_like_id,Nikon D80,A,reference,0.0,0.0,0.0,0.0,0
L013_A1,L013,train_like_id,Olympus E-PL2,A,camera_only,0.0,0.0,0.0,0.0,0
L013_A2,L013,train_like_id,Nikon D80,FL2,light_only,0.0,0.0,0.0,0.0,0
L013_A3,L013,train_like_id,Nikon D80,A,appearance_only,0.0,0.0,0.0,0.0,0
L013_A4,L013,train_like_id,Olympus E-PL2,FL2,joint,0.0,0.0,0.0,0.0,0
L014_A0,L014,train_like_id,Olympus E-PL2,FL2,reference,0.0,0.0,0.0,0.0,0
L014_A1,L014,train_like_id,Canon 300D,FL2,camera_only,0.0,0.0,0.0,0.0,0
L014_A2,L014,train_like_id,Olympus E-PL2,D65,light_only,0.0,0.0,0.0,0.0,0
L014_A3,L014,train_like_id,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L014_A4,L014,train_like_id,Canon 300D,D65,joint,0.0,0.0,0.0,0.0,0
L015_A0,L015,train_like_id,Canon 300D,D65,reference,0.0,0.0,0.0,0.0,0
L015_A1,L015,train_like_id,Canon 5DMarkII,D65,camera_only,0.0,0.0,0.0,0.0,0
L015_A2,L015,train_like_id,Canon 300D,A,light_only,0.0,0.0,0.0,0.0,0
L015_A3,L015,train_like_id,Canon 300D,D65,appearance_only,0.0,0.0,0.0,0.0,0
L015_A4,L015,train_like_id,Canon 5DMarkII,A,joint,0.0,0.0,0.0,0.0,0
L016_A0,L016,train_like_id,Canon 5DMarkII,FL2,reference,0.0,0.0,0.0,0.0,0
L016_A1,L016,train_like_id,Nikon D80,FL2,camera_only,0.0,0.0,0.0,0.0,0
L016_A2,L016,train_like_id,Canon 5DMarkII,D65,light_only,0.0,0.0,0.0,0.0,0
L016_A3,L016,train_like_id,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L016_A4,L016,train_like_id,Nikon D80,D65,joint,0.0,0.0,0.0,0.0,0
L017_A0,L017,train_like_id,Nikon D80,D65,reference,0.0,0.0,0.0,0.0,0
L017_A1,L017,train_like_id,Olympus E-PL2,D65,camera_only,0.0,0.0,0.0,0.0,0
L017_A2,L017,train_like_id,Nikon D80,A,light_only,0.0,0.0,0.0,0.0,0
L017_A3,L017,train_like_id,Nikon D80,D65,appearance_only,0.0,0.0,0.0,0.0,0
L017_A4,L017,train_like_id,Olympus E-PL2,A,joint,0.0,0.0,0.0,0.0,0
L018_A0,L018,train_like_id,Olympus E-PL2,A,reference,0.0,0.0,0.0,0.0,0
L018_A1,L018,train_like_id,Canon 300D,A,camera_only,0.0,0.0,0.0,0.0,0
L018_A2,L018,train_like_id,Olympus E-PL2,FL2,light_only,0.0,0.0,0.0,0.0,0
L018_A3,L018,train_like_id,Olympus E-PL2,A,appearance_only,0.0,0.0,0.0,0.0,0
L018_A4,L018,train_like_id,Canon 300D,FL2,joint,0.0,0.0,0.0,0.0,0
L019_A0,L019,train_like_id,Canon 300D,FL2,reference,0.0,0.0,0.0,0.0,0
L019_A1,L019,train_like_id,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L019_A2,L019,train_like_id,Canon 300D,D65,light_only,0.0,0.0,0.0,0.0,0
L019_A3,L019,train_like_id,Canon 300D,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L019_A4,L019,train_like_id,Canon 5DMarkII,D65,joint,0.0,0.0,0.0,0.0,0
L020_A0,L020,train_like_id,Canon 5DMarkII,A,reference,0.0,0.0,0.0,0.0,0
L020_A1,L020,train_like_id,Nikon D80,A,camera_only,0.0,0.0,0.0,0.0,0
L020_A2,L020,train_like_id,Canon 5DMarkII,FL2,light_only,0.0,0.0,0.0,0.0,0
L020_A3,L020,train_like_id,Canon 5DMarkII,A,appearance_only,0.0,0.0,0.0,0.0,0
L020_A4,L020,train_like_id,Nikon D80,FL2,joint,0.0,0.0,0.0,0.0,0
L021_A0,L021,train_like_id,Nikon D80,FL2,reference,0.0,0.0,0.0,0.0,0
L021_A1,L021,train_like_id,Olympus E-PL2,FL2,camera_only,0.0,0.0,0.0,0.0,0
L021_A2,L021,train_like_id,Nikon D80,D65,light_only,0.0,0.0,0.0,0.0,0
L021_A3,L021,train_like_id,Nikon D80,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L021_A4,L021,train_like_id,Olympus E-PL2,D65,joint,0.0,0.0,0.0,0.0,0
L022_A0,L022,train_like_id,Olympus E-PL2,D65,reference,0.0,0.0,0.0,0.0,0
L022_A1,L022,train_like_id,Canon 300D,D65,camera_only,0.0,0.0,0.0,0.0,0
L022_A2,L022,train_like_id,Olympus E-PL2,A,light_only,0.0,0.0,0.0,0.0,0
L022_A3,L022,train_like_id,Olympus E-PL2,D65,appearance_only,0.0,0.0,0.0,0.0,0
L022_A4,L022,train_like_id,Canon 300D,A,joint,0.0,0.0,0.0,0.0,0
L023_A0,L023,train_like_id,Canon 300D,A,reference,0.0,0.0,0.0,0.0,0
L023_A1,L023,train_like_id,Canon 5DMarkII,A,camera_only,0.0,0.0,0.0,0.0,0
L023_A2,L023,train_like_id,Canon 300D,FL2,light_only,0.0,0.0,0.0,0.0,0
L023_A3,L023,train_like_id,Canon 300D,A,appearance_only,0.0,0.0,0.0,0.0,0
L023_A4,L023,train_like_id,Canon 5DMarkII,FL2,joint,0.0,0.0,0.0,0.0,0
L024_A0,L024,validation_like_id,Canon 5DMarkII,D65,reference,0.0,0.077056884765625,0.0,0.0,0
L024_A1,L024,validation_like_id,Nikon D80,D65,camera_only,0.0,0.1030120849609375,0.0,0.0,0
L024_A2,L024,validation_like_id,Canon 5DMarkII,A,light_only,0.0,0.1612396240234375,0.0,0.0,0
L024_A3,L024,validation_like_id,Canon 5DMarkII,D65,appearance_only,0.0,0.004786173502604167,0.0,0.0,0
L024_A4,L024,validation_like_id,Nikon D80,A,joint,0.0,0.06744384765625,0.0,0.0,0
L025_A0,L025,validation_like_id,Nikon D80,A,reference,0.0,0.0003407796223958333,0.0,0.0,0
L025_A1,L025,validation_like_id,Olympus E-PL2,A,camera_only,0.0,0.0007375081380208334,0.0,0.0,0
L025_A2,L025,validation_like_id,Nikon D80,FL2,light_only,0.0,0.0,0.0,0.0,0
L025_A3,L025,validation_like_id,Nikon D80,A,appearance_only,0.0,0.0,0.0,0.0,0
L025_A4,L025,validation_like_id,Olympus E-PL2,FL2,joint,0.0,0.0002797444661458333,0.0,0.0,0
L026_A0,L026,validation_like_id,Olympus E-PL2,FL2,reference,0.0,0.0,0.0,0.0,0
L026_A1,L026,validation_like_id,Canon 300D,FL2,camera_only,0.0,0.0,0.0,0.0,0
L026_A2,L026,validation_like_id,Olympus E-PL2,D65,light_only,0.0,0.0,0.0,0.0,0
L026_A3,L026,validation_like_id,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L026_A4,L026,validation_like_id,Canon 300D,D65,joint,0.0,0.0,0.0,0.0,0
L027_A0,L027,validation_like_id,Canon 300D,D65,reference,0.0,0.0,0.0,0.0,0
L027_A1,L027,validation_like_id,Canon 5DMarkII,D65,camera_only,0.0,0.0,0.0,0.0,0
L027_A2,L027,validation_like_id,Canon 300D,A,light_only,0.0,0.0,0.0,0.0,0
L027_A3,L027,validation_like_id,Canon 300D,D65,appearance_only,0.0,0.0,0.0,0.0,0
L027_A4,L027,validation_like_id,Canon 5DMarkII,A,joint,0.0,0.0,0.0,0.0,0
L028_A0,L028,validation_like_id,Canon 5DMarkII,FL2,reference,0.0,0.0,0.0,0.0,0
L028_A1,L028,validation_like_id,Nikon D80,FL2,camera_only,0.0,0.0,0.0,0.0,0
L028_A2,L028,validation_like_id,Canon 5DMarkII,D65,light_only,0.0,0.0,0.0,0.0,0
L028_A3,L028,validation_like_id,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L028_A4,L028,validation_like_id,Nikon D80,D65,joint,0.0,0.0,0.0,0.0,0
L029_A0,L029,validation_like_id,Nikon D80,D65,reference,0.0,0.0,0.0,0.0,0
L029_A1,L029,validation_like_id,Olympus E-PL2,D65,camera_only,0.0,0.0,0.0,0.0,0
L029_A2,L029,validation_like_id,Nikon D80,A,light_only,0.0,0.0,0.0,0.0,0
L029_A3,L029,validation_like_id,Nikon D80,D65,appearance_only,0.0,0.0,0.0,0.0,0
L029_A4,L029,validation_like_id,Olympus E-PL2,A,joint,0.0,0.0,0.0,0.0,0
L030_A0,L030,validation_like_id,Olympus E-PL2,A,reference,0.0,0.0,0.0,0.0,0
L030_A1,L030,validation_like_id,Canon 300D,A,camera_only,0.0,0.0,0.0,0.0,0
L030_A2,L030,validation_like_id,Olympus E-PL2,FL2,light_only,0.0,0.0,0.0,0.0,0
L030_A3,L030,validation_like_id,Olympus E-PL2,A,appearance_only,0.0,0.0,0.0,0.0,0
L030_A4,L030,validation_like_id,Canon 300D,FL2,joint,0.0,0.0,0.0,0.0,0
L031_A0,L031,validation_like_id,Canon 300D,FL2,reference,0.0,0.0,0.0,0.0,0
L031_A1,L031,validation_like_id,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L031_A2,L031,validation_like_id,Canon 300D,D65,light_only,0.0,0.0,0.0,0.0,0
L031_A3,L031,validation_like_id,Canon 300D,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L031_A4,L031,validation_like_id,Canon 5DMarkII,D65,joint,0.0,0.0,0.0,0.0,0
L032_A0,L032,id_test,Canon 5DMarkII,D65,reference,0.0,0.0,0.0,0.0,0
L032_A1,L032,id_test,Nikon D80,D65,camera_only,0.0,0.0,0.0,0.0,0
L032_A2,L032,id_test,Canon 5DMarkII,A,light_only,0.0,0.00023396809895833334,0.0,0.0,0
L032_A3,L032,id_test,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0.0,0.0,0
L032_A4,L032,id_test,Nikon D80,A,joint,0.0,0.0003306070963541667,0.0,0.0,0
L033_A0,L033,id_test,Nikon D80,A,reference,0.0,0.0,0.0,0.0,0
L033_A1,L033,id_test,Olympus E-PL2,A,camera_only,0.0,0.0,0.0,0.0,0
L033_A2,L033,id_test,Nikon D80,FL2,light_only,0.0,0.0,0.0,0.0,0
L033_A3,L033,id_test,Nikon D80,A,appearance_only,0.0,0.00015767415364583334,0.0,0.0,0
L033_A4,L033,id_test,Olympus E-PL2,FL2,joint,0.0,0.0,0.0,0.0,0
L034_A0,L034,id_test,Olympus E-PL2,FL2,reference,0.0,0.0,0.0,0.0,0
L034_A1,L034,id_test,Canon 300D,FL2,camera_only,0.0,0.0,0.0,0.0,0
L034_A2,L034,id_test,Olympus E-PL2,D65,light_only,0.0,0.0,0.0,0.0,0
L034_A3,L034,id_test,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L034_A4,L034,id_test,Canon 300D,D65,joint,0.0,0.0,0.0,0.0,0
L035_A0,L035,id_test,Canon 300D,D65,reference,0.0,0.0,0.0,0.0,0
L035_A1,L035,id_test,Canon 5DMarkII,D65,camera_only,0.0,0.0,0.0,0.0,0
L035_A2,L035,id_test,Canon 300D,A,light_only,0.0,0.0,0.0,0.0,0
L035_A3,L035,id_test,Canon 300D,D65,appearance_only,0.0,0.0,0.0,0.0,0
L035_A4,L035,id_test,Canon 5DMarkII,A,joint,0.0,0.0,0.0,0.0,0
L036_A0,L036,id_test,Canon 5DMarkII,FL2,reference,0.0,0.0,0.0,0.0,0
L036_A1,L036,id_test,Nikon D80,FL2,camera_only,0.0,0.0,0.0,0.0,0
L036_A2,L036,id_test,Canon 5DMarkII,D65,light_only,0.0,0.0,0.0,0.0,0
L036_A3,L036,id_test,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L036_A4,L036,id_test,Nikon D80,D65,joint,0.0,0.0,0.0,0.0,0
L037_A0,L037,id_test,Nikon D80,D65,reference,0.0,0.0,0.0,0.0,0
L037_A1,L037,id_test,Olympus E-PL2,D65,camera_only,0.0,0.0,0.0,0.0,0
L037_A2,L037,id_test,Nikon D80,A,light_only,0.0,0.0,0.0,0.0,0
L037_A3,L037,id_test,Nikon D80,D65,appearance_only,0.0,0.0,0.0,0.0,0
L037_A4,L037,id_test,Olympus E-PL2,A,joint,0.0,0.0,0.0,0.0,0
L038_A0,L038,id_test,Olympus E-PL2,A,reference,0.0,0.0,0.0,0.0,0
L038_A1,L038,id_test,Canon 300D,A,camera_only,0.0,0.0,0.0,0.0,0
L038_A2,L038,id_test,Olympus E-PL2,FL2,light_only,0.0,0.0,0.0,0.0,0
L038_A3,L038,id_test,Olympus E-PL2,A,appearance_only,0.0,0.0,0.0,0.0,0
L038_A4,L038,id_test,Canon 300D,FL2,joint,0.0,0.0,0.0,0.0,0
L039_A0,L039,id_test,Canon 300D,FL2,reference,0.0,0.0,0.0,0.0,0
L039_A1,L039,id_test,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L039_A2,L039,id_test,Canon 300D,D65,light_only,0.0,0.0,0.0,0.0,0
L039_A3,L039,id_test,Canon 300D,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L039_A4,L039,id_test,Canon 5DMarkII,D65,joint,0.0,0.0,0.0,0.0,0
L040_A0,L040,camera_ood,Canon 5DMarkII,D65,reference,0.0,0.0,0.0,0.0,0
L040_A1,L040,camera_ood,Canon 1DMarkIII,D65,camera_only,0.0,0.0,0.0,0.0,0
L040_A2,L040,camera_ood,Canon 5DMarkII,A,light_only,0.0,0.0,0.0,0.0,0
L040_A3,L040,camera_ood,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0.0,0.0,0
L040_A4,L040,camera_ood,Canon 1DMarkIII,A,joint,0.0,0.15100606282552084,0.0,0.0,0
L041_A0,L041,camera_ood,Nikon D80,A,reference,0.0,0.0,0.0,0.0,0
L041_A1,L041,camera_ood,Nikon D5100,A,camera_only,0.0,0.0,0.0,0.0,0
L041_A2,L041,camera_ood,Nikon D80,FL2,light_only,0.0,0.0,0.0,0.0,0
L041_A3,L041,camera_ood,Nikon D80,A,appearance_only,0.0,0.0,0.0,0.0,0
L041_A4,L041,camera_ood,Nikon D5100,FL2,joint,0.0,0.0,0.0,0.0,0
L042_A0,L042,camera_ood,Olympus E-PL2,FL2,reference,0.0,0.0,0.0,0.0,0
L042_A1,L042,camera_ood,Canon 1DMarkIII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L042_A2,L042,camera_ood,Olympus E-PL2,D65,light_only,0.0,0.0,0.0,0.0,0
L042_A3,L042,camera_ood,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L042_A4,L042,camera_ood,Canon 1DMarkIII,D65,joint,0.0,0.0,0.0,0.0,0
L043_A0,L043,camera_ood,Canon 300D,D65,reference,0.0,0.0,0.0,0.0,0
L043_A1,L043,camera_ood,Nikon D5100,D65,camera_only,0.0,0.0,0.0,0.0,0
L043_A2,L043,camera_ood,Canon 300D,A,light_only,0.0,0.0,0.0,0.0,0
L043_A3,L043,camera_ood,Canon 300D,D65,appearance_only,0.0,0.0,0.0,0.0,0
L043_A4,L043,camera_ood,Nikon D5100,A,joint,0.0,0.0,0.0,0.0,0
L044_A0,L044,camera_ood,Canon 5DMarkII,FL2,reference,0.0,0.0,0.0,0.0,0
L044_A1,L044,camera_ood,Canon 1DMarkIII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L044_A2,L044,camera_ood,Canon 5DMarkII,D65,light_only,0.0,0.0,0.0,0.0,0
L044_A3,L044,camera_ood,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L044_A4,L044,camera_ood,Canon 1DMarkIII,D65,joint,0.0,0.0,0.0,0.0,0
L045_A0,L045,camera_ood,Nikon D80,D65,reference,0.0,0.0,0.0,0.0,0
L045_A1,L045,camera_ood,Nikon D5100,D65,camera_only,0.0,0.0,0.0,0.0,0
L045_A2,L045,camera_ood,Nikon D80,A,light_only,0.0,0.0,0.0,0.0,0
L045_A3,L045,camera_ood,Nikon D80,D65,appearance_only,0.0,0.0,0.0,0.0,0
L045_A4,L045,camera_ood,Nikon D5100,A,joint,0.0,0.0,0.0,0.0,0
L046_A0,L046,camera_ood,Olympus E-PL2,A,reference,0.0,0.0,0.0,0.0,0
L046_A1,L046,camera_ood,Canon 1DMarkIII,A,camera_only,0.0,0.0,0.0,0.0,0
L046_A2,L046,camera_ood,Olympus E-PL2,FL2,light_only,0.0,0.0,0.0,0.0,0
L046_A3,L046,camera_ood,Olympus E-PL2,A,appearance_only,0.0,0.0,0.0,0.0,0
L046_A4,L046,camera_ood,Canon 1DMarkIII,FL2,joint,0.0,0.0,0.0,0.0,0
L047_A0,L047,camera_ood,Canon 300D,FL2,reference,0.0,0.0,0.0,0.0,0
L047_A1,L047,camera_ood,Nikon D5100,FL2,camera_only,0.0,0.0,0.0,0.0,0
L047_A2,L047,camera_ood,Canon 300D,D65,light_only,0.0,0.0,0.0,0.0,0
L047_A3,L047,camera_ood,Canon 300D,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L047_A4,L047,camera_ood,Nikon D5100,D65,joint,0.0,0.0,0.0,0.0,0
L048_A0,L048,light_ood,Canon 5DMarkII,D65,reference,0.0,0.049901326497395836,0.0,0.0,0
L048_A1,L048,light_ood,Nikon D80,D65,camera_only,0.0,0.07208760579427083,0.0,0.0,0
L048_A2,L048,light_ood,Canon 5DMarkII,FL11,light_only,0.0,0.1122589111328125,0.0,0.0,0
L048_A3,L048,light_ood,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0.0,0.0,0
L048_A4,L048,light_ood,Nikon D80,FL11,joint,0.0,0.0011749267578125,0.0,0.0,0
L049_A0,L049,light_ood,Nikon D80,A,reference,0.0,0.0,0.0,0.0,0
L049_A1,L049,light_ood,Olympus E-PL2,A,camera_only,0.0,0.0,0.0,0.0,0
L049_A2,L049,light_ood,Nikon D80,FL11,light_only,0.0,0.0,0.0,0.0,0
L049_A3,L049,light_ood,Nikon D80,A,appearance_only,0.0,0.0008697509765625,0.0,0.0,0
L049_A4,L049,light_ood,Olympus E-PL2,FL11,joint,0.0,0.0,0.0,0.0,0
L050_A0,L050,light_ood,Olympus E-PL2,FL2,reference,0.0,0.0,0.0,0.0,0
L050_A1,L050,light_ood,Canon 300D,FL2,camera_only,0.0,0.0,0.0,0.0,0
L050_A2,L050,light_ood,Olympus E-PL2,FL11,light_only,0.0,0.0,0.0,0.0,0
L050_A3,L050,light_ood,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L050_A4,L050,light_ood,Canon 300D,FL11,joint,0.0,0.0,0.0,0.0,0
L051_A0,L051,light_ood,Canon 300D,D65,reference,0.0,0.0,0.0,0.0,0
L051_A1,L051,light_ood,Canon 5DMarkII,D65,camera_only,0.0,0.0,0.0,0.0,0
L051_A2,L051,light_ood,Canon 300D,FL11,light_only,0.0,0.0,0.0,0.0,0
L051_A3,L051,light_ood,Canon 300D,D65,appearance_only,0.0,0.0,0.0,0.0,0
L051_A4,L051,light_ood,Canon 5DMarkII,FL11,joint,0.0,0.0,0.0,0.0,0
L052_A0,L052,light_ood,Canon 5DMarkII,FL2,reference,0.0,0.0,0.0,0.0,0
L052_A1,L052,light_ood,Nikon D80,FL2,camera_only,0.0,0.0,0.0,0.0,0
L052_A2,L052,light_ood,Canon 5DMarkII,FL11,light_only,0.0,0.0,0.0,0.0,0
L052_A3,L052,light_ood,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L052_A4,L052,light_ood,Nikon D80,FL11,joint,0.0,0.0,0.0,0.0,0
L053_A0,L053,light_ood,Nikon D80,D65,reference,0.0,0.0,0.0,0.0,0
L053_A1,L053,light_ood,Olympus E-PL2,D65,camera_only,0.0,0.0,0.0,0.0,0
L053_A2,L053,light_ood,Nikon D80,FL11,light_only,0.0,0.0,0.0,0.0,0
L053_A3,L053,light_ood,Nikon D80,D65,appearance_only,0.0,0.0,0.0,0.0,0
L053_A4,L053,light_ood,Olympus E-PL2,FL11,joint,0.0,0.0,0.0,0.0,0
L054_A0,L054,light_ood,Olympus E-PL2,A,reference,0.0,0.0,0.0,0.0,0
L054_A1,L054,light_ood,Canon 300D,A,camera_only,0.0,0.0,0.0,0.0,0
L054_A2,L054,light_ood,Olympus E-PL2,FL11,light_only,0.0,0.0,0.0,0.0,0
L054_A3,L054,light_ood,Olympus E-PL2,A,appearance_only,0.0,0.0,0.0,0.0,0
L054_A4,L054,light_ood,Canon 300D,FL11,joint,0.0,0.0,0.0,0.0,0
L055_A0,L055,light_ood,Canon 300D,FL2,reference,0.0,0.0,0.0,0.0,0
L055_A1,L055,light_ood,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L055_A2,L055,light_ood,Canon 300D,FL11,light_only,0.0,0.0,0.0,0.0,0
L055_A3,L055,light_ood,Canon 300D,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L055_A4,L055,light_ood,Canon 5DMarkII,FL11,joint,0.0,0.0,0.0,0.0,0
L056_A0,L056,joint_ood,Canon 5DMarkII,D65,reference,0.0,0.0,0.0,0.0,0
