sample_id,split,camera_light_pair,low_clip_fraction,high_clip_fraction,total_clip_fraction,per_channel_clip_fraction
validation_000004,validation,Canon 5DMarkII / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
validation_000005,validation,Pentax K-5 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
validation_000006,validation,Canon 500D / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
validation_000007,validation,Nikon D5100 / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
id_test_000000,id_test,Nikon D50 / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
id_test_000001,id_test,Nokia N900 / D65,0.0,0.0015869140625,0.0015869140625,"[0.0047607421875, 0.0, 0.0]"
id_test_000002,id_test,Nikon D3X / A,0.0,0.00030517578125,0.00030517578125,"[0.00091552734375, 0.0, 0.0]"
id_test_000003,id_test,Pentax K-5 / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
id_test_000004,id_test,Nikon D40 / D65,0.0006103515625,0.0,0.0006103515625,"[0.0, 0.0, 0.0018310546875]"
id_test_000005,id_test,Phase One / FL2,0.0,0.0011189778645833333,0.0011189778645833333,"[0.00335693359375, 0.0, 0.0]"
id_test_000006,id_test,Nikon D80 / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
id_test_000007,id_test,Nikon D80 / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
camera_ood_000000,camera_ood,Nikon D700 / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
camera_ood_000001,camera_ood,Nikon D700 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
camera_ood_000002,camera_ood,Canon 600D / D65,0.0,0.006429036458333333,0.006429036458333333,"[0.019287109375, 0.0, 0.0]"
camera_ood_000003,camera_ood,Nikon D700 / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
camera_ood_000004,camera_ood,Canon 600D / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
camera_ood_000005,camera_ood,Canon 600D / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
camera_ood_000006,camera_ood,Olympus E-PL2 / A,0.0,0.0005391438802083334,0.0005391438802083334,"[0.001617431640625, 0.0, 0.0]"
camera_ood_000007,camera_ood,Olympus E-PL2 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
light_ood_000000,light_ood,Point Grey Grasshopper 50S5C / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
light_ood_000001,light_ood,Pentax K-5 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
light_ood_000002,light_ood,Nikon D200 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
light_ood_000003,light_ood,Nikon D90 / FL11,0.0,0.0004526774088541667,0.0004526774088541667,"[0.0013580322265625, 0.0, 0.0]"
light_ood_000004,light_ood,Nikon D40 / FL11,0.0,0.010518391927083334,0.010518391927083334,"[0.03155517578125, 0.0, 0.0]"
light_ood_000005,light_ood,Nikon D3 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
light_ood_000006,light_ood,SONY NEX-5N / FL11,0.001861572265625,0.0,0.001861572265625,"[0.0, 0.0, 0.005584716796875]"
light_ood_000007,light_ood,Canon 1DMarkIII / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
joint_ood_000000,joint_ood,Olympus E-PL2 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
joint_ood_000001,joint_ood,Nikon D700 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
joint_ood_000002,joint_ood,Canon 600D / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
joint_ood_000003,joint_ood,Olympus E-PL2 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
joint_ood_000004,joint_ood,Nikon D700 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
joint_ood_000005,joint_ood,Canon 600D / FL11,0.0,0.0014495849609375,0.0014495849609375,"[0.0043487548828125, 0.0, 0.0]"
joint_ood_000006,joint_ood,Olympus E-PL2 / FL11,0.0,0.0235137939453125,0.0235137939453125,"[0.0705413818359375, 0.0, 0.0]"
joint_ood_000007,joint_ood,Nikon D700 / FL11,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
