candidate,outer_fold,subject_id,role
V2R-PS,2,p043,train_global_estimation
V2R-PS,2,p044,train_global_estimation
V2R-PS,2,p045,train_global_estimation
V2R-PS,2,p046,train_global_estimation
V2R-PS,2,p047,train_global_estimation
V2R-PS,2,p048,train_global_estimation
V2R-PS,2,p049,train_global_estimation
V2R-PS,2,p050,train_global_estimation
V2R-PS,2,p051,train_global_estimation
V2R-PS,2,p003,held_out_oof
V2R-PS,2,p010,held_out_oof
V2R-PS,2,p013,held_out_oof
V2R-PS,2,p018,held_out_oof
V2R-PS,2,p020,held_out_oof
V2R-PS,2,p023,held_out_oof
V2R-PS,2,p037,held_out_oof
V2R-PS,2,p038,held_out_oof
V2R-PS,2,p041,held_out_oof
V2R-PS,3,p003,train_global_estimation
V2R-PS,3,p004,train_global_estimation
V2R-PS,3,p005,train_global_estimation
V2R-PS,3,p006,train_global_estimation
V2R-PS,3,p007,train_global_estimation
V2R-PS,3,p009,train_global_estimation
V2R-PS,3,p010,train_global_estimation
V2R-PS,3,p011,train_global_estimation
V2R-PS,3,p012,train_global_estimation
V2R-PS,3,p013,train_global_estimation
V2R-PS,3,p017,train_global_estimation
V2R-PS,3,p018,train_global_estimation
V2R-PS,3,p019,train_global_estimation
V2R-PS,3,p020,train_global_estimation
V2R-PS,3,p023,train_global_estimation
V2R-PS,3,p024,train_global_estimation
V2R-PS,3,p025,train_global_estimation
V2R-PS,3,p026,train_global_estimation
V2R-PS,3,p027,train_global_estimation
V2R-PS,3,p029,train_global_estimation
V2R-PS,3,p031,train_global_estimation
V2R-PS,3,p032,train_global_estimation
V2R-PS,3,p034,train_global_estimation
V2R-PS,3,p037,train_global_estimation
V2R-PS,3,p038,train_global_estimation
V2R-PS,3,p040,train_global_estimation
V2R-PS,3,p041,train_global_estimation
V2R-PS,3,p042,train_global_estimation
V2R-PS,3,p044,train_global_estimation
V2R-PS,3,p045,train_global_estimation
V2R-PS,3,p047,train_global_estimation
V2R-PS,3,p048,train_global_estimation
V2R-PS,3,p049,train_global_estimation
V2R-PS,3,p050,train_global_estimation
V2R-PS,3,p051,train_global_estimation
V2R-PS,3,p008,held_out_oof
V2R-PS,3,p014,held_out_oof
V2R-PS,3,p015,held_out_oof
V2R-PS,3,p021,held_out_oof
V2R-PS,3,p022,held_out_oof
V2R-PS,3,p028,held_out_oof
V2R-PS,3,p033,held_out_oof
V2R-PS,3,p043,held_out_oof
V2R-PS,3,p046,held_out_oof
V2R-PS,4,p003,train_global_estimation
V2R-PS,4,p004,train_global_estimation
V2R-PS,4,p006,train_global_estimation
V2R-PS,4,p007,train_global_estimation
V2R-PS,4,p008,train_global_estimation
V2R-PS,4,p009,train_global_estimation
V2R-PS,4,p010,train_global_estimation
V2R-PS,4,p011,train_global_estimation
V2R-PS,4,p013,train_global_estimation
V2R-PS,4,p014,train_global_estimation
V2R-PS,4,p015,train_global_estimation
V2R-PS,4,p017,train_global_estimation
V2R-PS,4,p018,train_global_estimation
V2R-PS,4,p019,train_global_estimation
V2R-PS,4,p020,train_global_estimation
V2R-PS,4,p021,train_global_estimation
V2R-PS,4,p022,train_global_estimation
V2R-PS,4,p023,train_global_estimation
V2R-PS,4,p024,train_global_estimation
V2R-PS,4,p028,train_global_estimation
V2R-PS,4,p032,train_global_estimation
V2R-PS,4,p033,train_global_estimation
V2R-PS,4,p037,train_global_estimation
V2R-PS,4,p038,train_global_estimation
V2R-PS,4,p040,train_global_estimation
V2R-PS,4,p041,train_global_estimation
V2R-PS,4,p042,train_global_estimation
V2R-PS,4,p043,train_global_estimation
V2R-PS,4,p044,train_global_estimation
V2R-PS,4,p045,train_global_estimation
V2R-PS,4,p046,train_global_estimation
V2R-PS,4,p047,train_global_estimation
V2R-PS,4,p049,train_global_estimation
V2R-PS,4,p050,train_global_estimation
V2R-PS,4,p051,train_global_estimation
V2R-PS,4,p005,held_out_oof
V2R-PS,4,p012,held_out_oof
V2R-PS,4,p025,held_out_oof
V2R-PS,4,p026,held_out_oof
V2R-PS,4,p027,held_out_oof
V2R-PS,4,p029,held_out_oof
V2R-PS,4,p031,held_out_oof
V2R-PS,4,p034,held_out_oof
V2R-PS,4,p048,held_out_oof
V2R-PS,5,p003,train_global_estimation
V2R-PS,5,p004,train_global_estimation
V2R-PS,5,p005,train_global_estimation
V2R-PS,5,p006,train_global_estimation
V2R-PS,5,p008,train_global_estimation
V2R-PS,5,p010,train_global_estimation
V2R-PS,5,p011,train_global_estimation
V2R-PS,5,p012,train_global_estimation
V2R-PS,5,p013,train_global_estimation
V2R-PS,5,p014,train_global_estimation
V2R-PS,5,p015,train_global_estimation
V2R-PS,5,p018,train_global_estimation
V2R-PS,5,p019,train_global_estimation
V2R-PS,5,p020,train_global_estimation
V2R-PS,5,p021,train_global_estimation
V2R-PS,5,p022,train_global_estimation
V2R-PS,5,p023,train_global_estimation
V2R-PS,5,p025,train_global_estimation
V2R-PS,5,p026,train_global_estimation
V2R-PS,5,p027,train_global_estimation
V2R-PS,5,p028,train_global_estimation
V2R-PS,5,p029,train_global_estimation
V2R-PS,5,p031,train_global_estimation
V2R-PS,5,p032,train_global_estimation
V2R-PS,5,p033,train_global_estimation
V2R-PS,5,p034,train_global_estimation
V2R-PS,5,p037,train_global_estimation
V2R-PS,5,p038,train_global_estimation
V2R-PS,5,p041,train_global_estimation
V2R-PS,5,p043,train_global_estimation
V2R-PS,5,p044,train_global_estimation
V2R-PS,5,p046,train_global_estimation
V2R-PS,5,p048,train_global_estimation
V2R-PS,5,p049,train_global_estimation
V2R-PS,5,p050,train_global_estimation
V2R-PS,5,p051,train_global_estimation
V2R-PS,5,p007,held_out_oof
V2R-PS,5,p009,held_out_oof
V2R-PS,5,p017,held_out_oof
V2R-PS,5,p024,held_out_oof
V2R-PS,5,p040,held_out_oof
V2R-PS,5,p042,held_out_oof
V2R-PS,5,p045,held_out_oof
V2R-PS,5,p047,held_out_oof
V2R-PSG,1,p003,train_global_estimation
V2R-PSG,1,p005,train_global_estimation
V2R-PSG,1,p007,train_global_estimation
V2R-PSG,1,p008,train_global_estimation
V2R-PSG,1,p009,train_global_estimation
V2R-PSG,1,p010,train_global_estimation
V2R-PSG,1,p012,train_global_estimation
V2R-PSG,1,p013,train_global_estimation
V2R-PSG,1,p014,train_global_estimation
V2R-PSG,1,p015,train_global_estimation
V2R-PSG,1,p017,train_global_estimation
V2R-PSG,1,p018,train_global_estimation
V2R-PSG,1,p020,train_global_estimation
V2R-PSG,1,p021,train_global_estimation
V2R-PSG,1,p022,train_global_estimation
V2R-PSG,1,p023,train_global_estimation
V2R-PSG,1,p024,train_global_estimation
V2R-PSG,1,p025,train_global_estimation
V2R-PSG,1,p026,train_global_estimation
V2R-PSG,1,p027,train_global_estimation
V2R-PSG,1,p028,train_global_estimation
V2R-PSG,1,p029,train_global_estimation
V2R-PSG,1,p031,train_global_estimation
V2R-PSG,1,p033,train_global_estimation
V2R-PSG,1,p034,train_global_estimation
V2R-PSG,1,p037,train_global_estimation
V2R-PSG,1,p038,train_global_estimation
V2R-PSG,1,p040,train_global_estimation
V2R-PSG,1,p041,train_global_estimation
V2R-PSG,1,p042,train_global_estimation
V2R-PSG,1,p043,train_global_estimation
V2R-PSG,1,p045,train_global_estimation
V2R-PSG,1,p046,train_global_estimation
V2R-PSG,1,p047,train_global_estimation
V2R-PSG,1,p048,train_global_estimation
V2R-PSG,2,p004,train_global_estimation
V2R-PSG,2,p005,train_global_estimation
V2R-PSG,2,p006,train_global_estimation
V2R-PSG,2,p007,train_global_estimation
V2R-PSG,2,p008,train_global_estimation
V2R-PSG,2,p009,train_global_estimation
V2R-PSG,2,p011,train_global_estimation
V2R-PSG,2,p012,train_global_estimation
V2R-PSG,2,p014,train_global_estimation
V2R-PSG,2,p015,train_global_estimation
V2R-PSG,2,p017,train_global_estimation
V2R-PSG,2,p019,train_global_estimation
V2R-PSG,2,p021,train_global_estimation
V2R-PSG,2,p022,train_global_estimation
V2R-PSG,2,p024,train_global_estimation
V2R-PSG,2,p025,train_global_estimation
V2R-PSG,2,p026,train_global_estimation
V2R-PSG,2,p027,train_global_estimation
V2R-PSG,2,p028,train_global_estimation
V2R-PSG,2,p029,train_global_estimation
V2R-PSG,2,p031,train_global_estimation
V2R-PSG,2,p032,train_global_estimation
V2R-PSG,2,p033,train_global_estimation
V2R-PSG,2,p034,train_global_estimation
V2R-PSG,2,p040,train_global_estimation
V2R-PSG,2,p042,train_global_estimation
V2R-PSG,2,p043,train_global_estimation
V2R-PSG,2,p044,train_global_estimation
V2R-PSG,2,p045,train_global_estimation
V2R-PSG,2,p046,train_global_estimation
V2R-PSG,2,p047,train_global_estimation
V2R-PSG,2,p048,train_global_estimation
V2R-PSG,2,p049,train_global_estimation
V2R-PSG,2,p050,train_global_estimation
V2R-PSG,2,p051,train_global_estimation
V2R-PSG,3,p003,train_global_estimation
V2R-PSG,3,p004,train_global_estimation
V2R-PSG,3,p005,train_global_estimation
V2R-PSG,3,p006,train_global_estimation
V2R-PSG,3,p007,train_global_estimation
V2R-PSG,3,p009,train_global_estimation
V2R-PSG,3,p010,train_global_estimation
V2R-PSG,3,p011,train_global_estimation
V2R-PSG,3,p012,train_global_estimation
V2R-PSG,3,p013,train_global_estimation
V2R-PSG,3,p017,train_global_estimation
V2R-PSG,3,p018,train_global_estimation
V2R-PSG,3,p019,train_global_estimation
V2R-PSG,3,p020,train_global_estimation
V2R-PSG,3,p023,train_global_estimation
V2R-PSG,3,p024,train_global_estimation
V2R-PSG,3,p025,train_global_estimation
V2R-PSG,3,p026,train_global_estimation
V2R-PSG,3,p027,train_global_estimation
V2R-PSG,3,p029,train_global_estimation
V2R-PSG,3,p031,train_global_estimation
V2R-PSG,3,p032,train_global_estimation
V2R-PSG,3,p034,train_global_estimation
V2R-PSG,3,p037,train_global_estimation
V2R-PSG,3,p038,train_global_estimation
V2R-PSG,3,p040,train_global_estimation
V2R-PSG,3,p041,train_global_estimation
V2R-PSG,3,p042,train_global_estimation
V2R-PSG,3,p044,train_global_estimation
V2R-PSG,3,p045,train_global_estimation
V2R-PSG,3,p047,train_global_estimation
V2R-PSG,3,p048,train_global_estimation
V2R-PSG,3,p049,train_global_estimation
V2R-PSG,3,p050,train_global_estimation
V2R-PSG,3,p051,train_global_estimation
V2R-PSG,4,p003,train_global_estimation
V2R-PSG,4,p004,train_global_estimation
V2R-PSG,4,p006,train_global_estimation
V2R-PSG,4,p007,train_global_estimation
V2R-PSG,4,p008,train_global_estimation
V2R-PSG,4,p009,train_global_estimation
V2R-PSG,4,p010,train_global_estimation
V2R-PSG,4,p011,train_global_estimation
V2R-PSG,4,p013,train_global_estimation
V2R-PSG,4,p014,train_global_estimation
V2R-PSG,4,p015,train_global_estimation
V2R-PSG,4,p017,train_global_estimation
V2R-PSG,4,p018,train_global_estimation
V2R-PSG,4,p019,train_global_estimation
V2R-PSG,4,p020,train_global_estimation
V2R-PSG,4,p021,train_global_estimation
V2R-PSG,4,p022,train_global_estimation
V2R-PSG,4,p023,train_global_estimation
V2R-PSG,4,p024,train_global_estimation
V2R-PSG,4,p028,train_global_estimation
V2R-PSG,4,p032,train_global_estimation
V2R-PSG,4,p033,train_global_estimation
V2R-PSG,4,p037,train_global_estimation
V2R-PSG,4,p038,train_global_estimation
V2R-PSG,4,p040,train_global_estimation
V2R-PSG,4,p041,train_global_estimation
V2R-PSG,4,p042,train_global_estimation
V2R-PSG,4,p043,train_global_estimation
V2R-PSG,4,p044,train_global_estimation
V2R-PSG,4,p045,train_global_estimation
V2R-PSG,4,p046,train_global_estimation
V2R-PSG,4,p047,train_global_estimation
V2R-PSG,4,p049,train_global_estimation
V2R-PSG,4,p050,train_global_estimation
V2R-PSG,4,p051,train_global_estimation
V2R-PSG,5,p003,train_global_estimation
V2R-PSG,5,p004,train_global_estimation
V2R-PSG,5,p005,train_global_estimation
V2R-PSG,5,p006,train_global_estimation
V2R-PSG,5,p008,train_global_estimation
V2R-PSG,5,p010,train_global_estimation
V2R-PSG,5,p011,train_global_estimation
V2R-PSG,5,p012,train_global_estimation
V2R-PSG,5,p013,train_global_estimation
V2R-PSG,5,p014,train_global_estimation
V2R-PSG,5,p015,train_global_estimation
V2R-PSG,5,p018,train_global_estimation
V2R-PSG,5,p019,train_global_estimation
V2R-PSG,5,p020,train_global_estimation
V2R-PSG,5,p021,train_global_estimation
V2R-PSG,5,p022,train_global_estimation
V2R-PSG,5,p023,train_global_estimation
V2R-PSG,5,p025,train_global_estimation
V2R-PSG,5,p026,train_global_estimation
V2R-PSG,5,p027,train_global_estimation
V2R-PSG,5,p028,train_global_estimation
V2R-PSG,5,p029,train_global_estimation
V2R-PSG,5,p031,train_global_estimation
V2R-PSG,5,p032,train_global_estimation
V2R-PSG,5,p033,train_global_estimation
V2R-PSG,5,p034,train_global_estimation
V2R-PSG,5,p037,train_global_estimation
V2R-PSG,5,p038,train_global_estimation
V2R-PSG,5,p041,train_global_estimation
V2R-PSG,5,p043,train_global_estimation
V2R-PSG,5,p044,train_global_estimation
V2R-PSG,5,p046,train_global_estimation
V2R-PSG,5,p048,train_global_estimation
V2R-PSG,5,p049,train_global_estimation
V2R-PSG,5,p050,train_global_estimation
V2R-PSG,5,p051,train_global_estimation
