cohort,scope,variable,vif,reason,n_complete
formal_global_meanbg_500,HONOR/BVL-AN00,EV100,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,relative_optical_exposure,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,combined_exposure_gain,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,sensitivity_value,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,brightness_apex_pred,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,brightness_residual,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,device_centered_brightness,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,Xiaomi/M2006J10C,ExposureTime,32.28865184125166,estimated,233
formal_global_meanbg_500,Xiaomi/M2006J10C,FNumber,,zero_variance_or_insufficient,233
formal_global_meanbg_500,Xiaomi/M2006J10C,ISOSpeedRatings,9.722318027167853,estimated,233
formal_global_meanbg_500,Xiaomi/M2006J10C,BrightnessValue,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,log2_exposure_time,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,log2_iso_gain,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,log2_fnumber,,zero_variance_or_insufficient,233
formal_global_meanbg_500,Xiaomi/M2006J10C,aperture_value_from_f,,zero_variance_or_insufficient,233
formal_global_meanbg_500,Xiaomi/M2006J10C,time_value_from_t,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,EV100,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,relative_optical_exposure,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,combined_exposure_gain,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,sensitivity_value,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,brightness_apex_pred,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,brightness_residual,inf,exact_or_near_exact_dependency,233
formal_global_meanbg_500,Xiaomi/M2006J10C,device_centered_brightness,inf,exact_or_near_exact_dependency,233
