subject_id,capture_id,roi,parameter,delta_logrmse,accepted_grid_solution_count,accepted_multistart_solution_count,accepted_min,accepted_max,total_span,profile_span_gate
p009,p009_neutral_front,right_cheek,s,0.005,17,153,0.0,0.0975,0.0975,True
p009,p009_neutral_front,right_cheek,s,0.01,35,315,0.0,0.18,0.18,True
p010,p010_neutral_front,left_cheek,f_mel,0.0025,22,198,0.028541548020668873,0.0344,0.005858451979331127,True
p010,p010_neutral_front,left_cheek,f_mel,0.005,37,333,0.027170774010334436,0.036012499999999996,0.00884172598966556,True
p010,p010_neutral_front,left_cheek,f_mel,0.01,56,504,0.0258,0.0387,0.012899999999999998,True
p010,p010_neutral_front,left_cheek,f_blood,0.0025,22,198,0.09000000000000001,0.1,0.009999999999999995,True
p010,p010_neutral_front,left_cheek,f_blood,0.005,37,333,0.08125,0.1,0.018750000000000003,False
p010,p010_neutral_front,left_cheek,f_blood,0.01,56,504,0.07,0.1,0.03,False
p010,p010_neutral_front,left_cheek,s,0.0025,22,198,0.74,0.96,0.21999999999999997,False
p010,p010_neutral_front,left_cheek,s,0.005,37,333,0.67875,1.0,0.32125000000000004,False
p010,p010_neutral_front,left_cheek,s,0.01,56,504,0.6,1.0,0.4,False
p010,p010_neutral_front,right_cheek,f_mel,0.0025,12,108,0.05580942190781493,0.060825133859278985,0.0050157119514640525,True
p010,p010_neutral_front,right_cheek,f_mel,0.005,27,243,0.054230888692384335,0.0661125,0.01188161130761567,True
p010,p010_neutral_front,right_cheek,f_mel,0.01,44,396,0.0516,0.06665000000000001,0.015050000000000015,True
p010,p010_neutral_front,right_cheek,f_blood,0.0025,12,108,0.096,0.1,0.0040000000000000036,True
p010,p010_neutral_front,right_cheek,f_blood,0.005,27,243,0.09212500000000001,0.1,0.007874999999999993,True
p010,p010_neutral_front,right_cheek,f_blood,0.01,44,396,0.08600000000000001,0.1,0.013999999999999999,False
p010,p010_neutral_front,right_cheek,s,0.0025,12,108,0.0,0.1,0.1,True
p010,p010_neutral_front,right_cheek,s,0.005,27,243,0.0,0.2,0.2,True
p010,p010_neutral_front,right_cheek,s,0.01,44,396,0.0,0.32,0.32,False
p011,p011_neutral_front,left_cheek,f_mel,0.0025,40,360,0.01454234416134106,0.023509626193647402,0.008967282032306342,True
p011,p011_neutral_front,left_cheek,f_mel,0.005,69,621,0.0112875,0.0263375,0.01505,True
p011,p011_neutral_front,left_cheek,f_mel,0.01,98,882,0.0086,0.02837267761273706,0.01977267761273706,True
p011,p011_neutral_front,left_cheek,f_blood,0.0025,40,360,0.042,0.08000000000000002,0.03800000000000001,False
p011,p011_neutral_front,left_cheek,f_blood,0.005,69,621,0.0355,0.09262500000000001,0.057125000000000016,False
p011,p011_neutral_front,left_cheek,f_blood,0.01,98,882,0.028000000000000004,0.1,0.07200000000000001,False
p011,p011_neutral_front,left_cheek,s,0.0025,40,360,0.62,0.92,0.30000000000000004,False
p011,p011_neutral_front,left_cheek,s,0.005,69,621,0.52125,0.99,0.46875,False
p011,p011_neutral_front,left_cheek,s,0.01,98,882,0.38,1.0,0.62,False
p011,p011_neutral_front,right_cheek,f_mel,0.0025,34,306,0.015050000000000001,0.022299122204497004,0.007249122204497003,True
p011,p011_neutral_front,right_cheek,f_mel,0.005,55,495,0.013975,0.0258,0.011825,True
p011,p011_neutral_front,right_cheek,f_mel,0.01,84,756,0.0129,0.02796102754641344,0.015061027546413442,True
p011,p011_neutral_front,right_cheek,f_blood,0.0025,34,306,0.074,0.1,0.02600000000000001,False
p011,p011_neutral_front,right_cheek,f_blood,0.005,55,495,0.06237500000000001,0.1,0.037625,False
p011,p011_neutral_front,right_cheek,f_blood,0.01,84,756,0.05,0.1,0.05,False
p011,p011_neutral_front,right_cheek,s,0.0025,34,306,0.42,0.72,0.3,False
p011,p011_neutral_front,right_cheek,s,0.005,55,495,0.31375,0.785,0.47125000000000006,False
p011,p011_neutral_front,right_cheek,s,0.01,84,756,0.18,0.86,0.6799999999999999,False
p012,p012_neutral_front,left_cheek,f_mel,0.0025,43,387,0.018507101799088568,0.02736979813770482,0.008862696338616253,True
p012,p012_neutral_front,left_cheek,f_mel,0.005,66,594,0.015587500000000002,0.0306375,0.01505,True
p012,p012_neutral_front,left_cheek,f_mel,0.01,93,837,0.015050000000000001,0.03225,0.0172,True
p012,p012_neutral_front,left_cheek,f_blood,0.0025,43,387,0.052000000000000005,0.096,0.044,False
p012,p012_neutral_front,left_cheek,f_blood,0.005,66,594,0.043500000000000004,0.1,0.0565,False
p012,p012_neutral_front,left_cheek,f_blood,0.01,93,837,0.036,0.1,0.064,False
p012,p012_neutral_front,left_cheek,s,0.0025,43,387,0.52,0.8200000000000001,0.30000000000000004,False
p012,p012_neutral_front,left_cheek,s,0.005,66,594,0.41000000000000003,0.8912500000000001,0.48125000000000007,False
p012,p012_neutral_front,left_cheek,s,0.01,93,837,0.26,0.96,0.7,False
p012,p012_neutral_front,right_cheek,f_mel,0.0025,8,72,0.0516,0.055645074974723104,0.0040450749747231035,True
p012,p012_neutral_front,right_cheek,f_mel,0.005,22,198,0.0499875,0.06073750000000001,0.01075000000000001,True
p012,p012_neutral_front,right_cheek,f_mel,0.01,38,342,0.0473,0.06235000000000001,0.015050000000000008,True
p012,p012_neutral_front,right_cheek,f_blood,0.0025,8,72,0.098,0.1,0.0020000000000000018,True
p012,p012_neutral_front,right_cheek,f_blood,0.005,22,198,0.09225000000000001,0.1,0.007749999999999993,True
p012,p012_neutral_front,right_cheek,f_blood,0.01,38,342,0.08600000000000001,0.1,0.013999999999999999,False
p012,p012_neutral_front,right_cheek,s,0.0025,8,72,0.0,0.06,0.06,True
p012,p012_neutral_front,right_cheek,s,0.005,22,198,0.0,0.1325,0.1325,True
p012,p012_neutral_front,right_cheek,s,0.01,38,342,0.0,0.22,0.22,False
p013,p013_neutral_front,left_cheek,f_mel,0.0025,37,333,0.020447868285119134,0.028437058741484757,0.007989190456365623,True
p013,p013_neutral_front,left_cheek,f_mel,0.005,57,513,0.018823934142559565,0.031712500000000005,0.01288856585744044,True
p013,p013_neutral_front,left_cheek,f_mel,0.01,84,756,0.0172,0.0344,0.0172,True
p013,p013_neutral_front,left_cheek,f_blood,0.0025,37,333,0.066,0.1,0.034,False
p013,p013_neutral_front,left_cheek,f_blood,0.005,57,513,0.05550000000000001,0.1,0.0445,False
p013,p013_neutral_front,left_cheek,f_blood,0.01,84,756,0.046000000000000006,0.1,0.054,False
p013,p013_neutral_front,left_cheek,s,0.0025,37,333,0.62,0.88,0.26,False
p013,p013_neutral_front,left_cheek,s,0.005,57,513,0.5325,0.9450000000000001,0.4125000000000001,False
p013,p013_neutral_front,left_cheek,s,0.01,84,756,0.4,1.0,0.6,False
p013,p013_neutral_front,right_cheek,f_mel,0.0025,8,72,0.060200000000000004,0.06409644511100637,0.003896445111006369,True
p013,p013_neutral_front,right_cheek,f_mel,0.005,19,171,0.0575125,0.06987499999999999,0.012362499999999992,True
p013,p013_neutral_front,right_cheek,f_mel,0.01,37,333,0.0559,0.07094999999999999,0.015049999999999987,True
p013,p013_neutral_front,right_cheek,f_blood,0.0025,8,72,0.098,0.1,0.0020000000000000018,True
p013,p013_neutral_front,right_cheek,f_blood,0.005,19,171,0.092875,0.1,0.007125000000000006,True
p013,p013_neutral_front,right_cheek,f_blood,0.01,37,333,0.08800000000000001,0.1,0.011999999999999997,False
p013,p013_neutral_front,right_cheek,s,0.0025,8,72,0.0,0.06,0.06,True
p013,p013_neutral_front,right_cheek,s,0.005,19,171,0.0,0.12,0.12,True
p013,p013_neutral_front,right_cheek,s,0.01,37,333,0.0,0.22,0.22,False
p014,p014_neutral_front,left_cheek,f_mel,0.0025,30,270,0.05586474351575749,0.060200000000000004,0.004335256484242517,True
p014,p014_neutral_front,left_cheek,f_mel,0.005,46,414,0.0516,0.06288750000000001,0.011287500000000013,True
p014,p014_neutral_front,left_cheek,f_mel,0.01,67,603,0.049449999999999994,0.0645,0.015050000000000008,True
p014,p014_neutral_front,left_cheek,f_blood,0.0025,30,270,0.09400000000000001,0.1,0.0059999999999999915,True
p014,p014_neutral_front,left_cheek,f_blood,0.005,46,414,0.08637500000000001,0.1,0.013624999999999998,False
p014,p014_neutral_front,left_cheek,f_blood,0.01,67,603,0.07600000000000001,0.1,0.023999999999999994,False
p014,p014_neutral_front,left_cheek,s,0.0025,30,270,0.04,0.48,0.44,False
p014,p014_neutral_front,left_cheek,s,0.005,46,414,0.0,0.58,0.58,False
p014,p014_neutral_front,left_cheek,s,0.01,67,603,0.0,0.68,0.68,False
p014,p014_neutral_front,right_cheek,f_mel,0.0025,8,72,0.1118,0.12040000000000001,0.00860000000000001,True
p014,p014_neutral_front,right_cheek,f_mel,0.005,23,207,0.1069625,0.12685000000000002,0.019887500000000016,True
p014,p014_neutral_front,right_cheek,f_mel,0.01,39,351,0.1032,0.129,0.025800000000000003,True
p014,p014_neutral_front,right_cheek,f_blood,0.0025,8,72,0.098,0.1,0.0020000000000000018,True
p014,p014_neutral_front,right_cheek,f_blood,0.005,23,207,0.09262500000000001,0.1,0.007374999999999993,True
p014,p014_neutral_front,right_cheek,f_blood,0.01,39,351,0.08600000000000001,0.1,0.013999999999999999,False
p014,p014_neutral_front,right_cheek,s,0.0025,8,72,0.0,0.04,0.04,True
p014,p014_neutral_front,right_cheek,s,0.005,23,207,0.0,0.09875,0.09875,True
p014,p014_neutral_front,right_cheek,s,0.01,39,351,0.0,0.18,0.18,True
p015,p015_neutral_front,left_cheek,f_mel,0.0025,42,378,0.02057956518045758,0.028581898774150807,0.008002333593693227,True
p015,p015_neutral_front,left_cheek,f_mel,0.005,65,585,0.0172,0.031712500000000005,0.014512500000000005,True
p015,p015_neutral_front,left_cheek,f_mel,0.01,89,801,0.016125,0.0344,0.018275,True
p015,p015_neutral_front,left_cheek,f_blood,0.0025,42,378,0.057999999999999996,0.1,0.04200000000000001,False
p015,p015_neutral_front,left_cheek,f_blood,0.005,65,585,0.048625,0.1,0.051375000000000004,False
p015,p015_neutral_front,left_cheek,f_blood,0.01,89,801,0.04000000000000001,0.1,0.06,False
p015,p015_neutral_front,left_cheek,s,0.0025,42,378,0.54,0.84,0.29999999999999993,False
p015,p015_neutral_front,left_cheek,s,0.005,65,585,0.43374999999999997,0.89375,0.4600000000000001,False
p015,p015_neutral_front,left_cheek,s,0.01,89,801,0.3,0.96,0.6599999999999999,False
p015,p015_neutral_front,right_cheek,f_mel,0.0025,9,81,0.0516,0.056933332699820545,0.005333332699820545,True
p015,p015_neutral_front,right_cheek,f_mel,0.005,21,189,0.048374999999999994,0.05938333317495514,0.011008333174955143,True
p015,p015_neutral_front,right_cheek,f_mel,0.01,39,351,0.0473,0.060200000000000004,0.012900000000000002,True
p015,p015_neutral_front,right_cheek,f_blood,0.0025,9,81,0.098,0.1,0.0020000000000000018,True
p015,p015_neutral_front,right_cheek,f_blood,0.005,21,189,0.09250000000000001,0.1,0.007499999999999993,True
p015,p015_neutral_front,right_cheek,f_blood,0.01,39,351,0.08600000000000001,0.1,0.013999999999999999,False
p015,p015_neutral_front,right_cheek,s,0.0025,9,81,0.0,0.06,0.06,True
p015,p015_neutral_front,right_cheek,s,0.005,21,189,0.0,0.14,0.14,True
p015,p015_neutral_front,right_cheek,s,0.01,39,351,0.0,0.24,0.24,False
p017,p017_neutral_front,left_cheek,f_mel,0.0025,44,396,0.024428901460995172,0.0344,0.009971098539004828,True
p017,p017_neutral_front,left_cheek,f_mel,0.005,63,567,0.020962500000000002,0.037625,0.016662499999999997,True
p017,p017_neutral_front,left_cheek,f_mel,0.01,82,738,0.01935,0.039136372122797386,0.019786372122797387,True
p017,p017_neutral_front,left_cheek,f_blood,0.0025,44,396,0.052000000000000005,0.1,0.048,False
p017,p017_neutral_front,left_cheek,f_blood,0.005,63,567,0.042625,0.1,0.057375,False
p017,p017_neutral_front,left_cheek,f_blood,0.01,82,738,0.034,0.1,0.066,False
p017,p017_neutral_front,left_cheek,s,0.0025,44,396,0.72,0.98,0.26,False
p017,p017_neutral_front,left_cheek,s,0.005,63,567,0.61625,1.0,0.38375000000000004,False
p017,p017_neutral_front,left_cheek,s,0.01,82,738,0.48,1.0,0.52,False
p017,p017_neutral_front,right_cheek,f_mel,0.0025,29,261,0.03280649985052189,0.03586678956500984,0.0030602897144879487,True
p017,p017_neutral_front,right_cheek,f_mel,0.005,51,459,0.029318407219179304,0.039775,0.010456592780820693,True
p017,p017_neutral_front,right_cheek,f_mel,0.01,82,738,0.027810518410959603,0.043000000000000003,0.015189481589040401,True
p017,p017_neutral_front,right_cheek,f_blood,0.0025,29,261,0.08800000000000001,0.1,0.011999999999999997,False
p017,p017_neutral_front,right_cheek,f_blood,0.005,51,459,0.07587500000000001,0.1,0.024124999999999994,False
p017,p017_neutral_front,right_cheek,f_blood,0.01,82,738,0.062,0.1,0.038000000000000006,False
p017,p017_neutral_front,right_cheek,s,0.0025,29,261,0.22,0.58,0.36,False
p017,p017_neutral_front,right_cheek,s,0.005,51,459,0.11875,0.6625000000000001,0.5437500000000001,False
p017,p017_neutral_front,right_cheek,s,0.01,82,738,0.0,0.74,0.74,False
p018,p018_neutral_front,left_cheek,f_mel,0.0025,26,234,0.06413758746011787,0.0688,0.00466241253988213,True
p018,p018_neutral_front,left_cheek,f_mel,0.005,41,369,0.059125000000000004,0.07094999999999999,0.011824999999999981,True
p018,p018_neutral_front,left_cheek,f_mel,0.01,61,549,0.058050000000000004,0.0731,0.015049999999999994,True
p018,p018_neutral_front,left_cheek,f_blood,0.0025,26,234,0.09400000000000001,0.1,0.0059999999999999915,True
p018,p018_neutral_front,left_cheek,f_blood,0.005,41,369,0.087875,0.1,0.01212500000000001,False
p018,p018_neutral_front,left_cheek,f_blood,0.01,61,549,0.07800000000000001,0.1,0.021999999999999992,False
p018,p018_neutral_front,left_cheek,s,0.0025,26,234,0.0,0.36,0.36,False
p018,p018_neutral_front,left_cheek,s,0.005,41,369,0.0,0.46875,0.46875,False
p018,p018_neutral_front,left_cheek,s,0.01,61,549,0.0,0.58,0.58,False
p018,p018_neutral_front,right_cheek,f_mel,0.0025,8,72,0.0903,0.09628070343635768,0.005980703436357676,True
p018,p018_neutral_front,right_cheek,f_mel,0.005,21,189,0.08815,0.10427499999999999,0.016124999999999987,True
p018,p018_neutral_front,right_cheek,f_mel,0.01,39,351,0.08600000000000001,0.1075,0.02149999999999999,True
p018,p018_neutral_front,right_cheek,f_blood,0.0025,8,72,0.098,0.1,0.0020000000000000018,True
p018,p018_neutral_front,right_cheek,f_blood,0.005,21,189,0.09250000000000001,0.1,0.007499999999999993,True
p018,p018_neutral_front,right_cheek,f_blood,0.01,39,351,0.08600000000000001,0.1,0.013999999999999999,False
p018,p018_neutral_front,right_cheek,s,0.0025,8,72,0.0,0.04,0.04,True
p018,p018_neutral_front,right_cheek,s,0.005,21,189,0.0,0.11374999999999999,0.11374999999999999,True
