sample_id,split,camera_light_pair,low_clip_fraction,high_clip_fraction,total_clip_fraction,per_channel_clip_fraction
train_000203,train,Nokia N900 / D65,nan,nan,nan,
train_000204,train,Nikon D90 / FL2,nan,nan,nan,
train_000205,train,Nikon D80 / A,nan,nan,nan,
train_000206,train,SONY NEX-5N / A,nan,nan,nan,
train_000207,train,Nikon D300s / A,nan,nan,nan,
train_000208,train,Hasselblad H2 / FL2,nan,nan,nan,
train_000209,train,Pentax K-5 / FL2,nan,nan,nan,
train_000210,train,Nikon D90 / D65,nan,nan,nan,
train_000211,train,Nikon D300s / FL2,nan,nan,nan,
train_000212,train,Nokia N900 / A,nan,nan,nan,
train_000213,train,Canon 5DMarkII / D65,nan,nan,nan,
train_000214,train,SONY NEX-5N / D65,nan,nan,nan,
train_000215,train,SONY NEX-5N / FL2,nan,nan,nan,
train_000216,train,Canon 60D / FL2,nan,nan,nan,
train_000217,train,Canon 40D / D65,nan,nan,nan,
train_000218,train,Point Grey Grasshopper2 14S5C / A,nan,nan,nan,
train_000219,train,Canon 50D / A,nan,nan,nan,
train_000220,train,Nikon D3 / FL2,nan,nan,nan,
train_000221,train,Nikon D200 / D65,nan,nan,nan,
train_000222,train,Canon 500D / A,nan,nan,nan,
train_000223,train,Phase One / FL2,nan,nan,nan,
train_000224,train,Nikon D90 / A,nan,nan,nan,
train_000225,train,Nikon D3 / D65,nan,nan,nan,
train_000226,train,Canon 50D / D65,nan,nan,nan,
train_000227,train,Canon 300D / D65,nan,nan,nan,
train_000228,train,Pentax K-5 / D65,nan,nan,nan,
train_000229,train,Canon 20D / FL2,nan,nan,nan,
train_000230,train,Nokia N900 / FL2,nan,nan,nan,
train_000231,train,Canon 300D / A,nan,nan,nan,
train_000232,train,Point Grey Grasshopper2 14S5C / D65,nan,nan,nan,
train_000233,train,Pentax Q / D65,nan,nan,nan,
train_000234,train,Nikon D5100 / D65,nan,nan,nan,
train_000235,train,Nikon D40 / FL2,nan,nan,nan,
train_000236,train,Pentax Q / A,nan,nan,nan,
train_000237,train,Nikon D50 / FL2,nan,nan,nan,
train_000238,train,Nikon D3X / A,nan,nan,nan,
train_000239,train,Nikon D5100 / FL2,nan,nan,nan,
train_000240,train,Canon 1DMarkIII / D65,nan,nan,nan,
train_000241,train,Hasselblad H2 / D65,nan,nan,nan,
train_000242,train,Nikon D50 / D65,nan,nan,nan,
train_000243,train,Nikon D40 / D65,nan,nan,nan,
train_000244,train,Canon 5DMarkII / A,nan,nan,nan,
train_000245,train,Point Grey Grasshopper2 14S5C / FL2,nan,nan,nan,
train_000246,train,Nikon D200 / A,nan,nan,nan,
train_000247,train,Phase One / A,nan,nan,nan,
train_000248,train,Nikon D300s / D65,nan,nan,nan,
train_000249,train,Canon 1DMarkIII / FL2,nan,nan,nan,
train_000250,train,Pentax K-5 / A,nan,nan,nan,
train_000251,train,Nikon D5100 / A,nan,nan,nan,
train_000252,train,Canon 5DMarkII / FL2,nan,nan,nan,
train_000253,train,Canon 50D / FL2,nan,nan,nan,
train_000254,train,Phase One / D65,nan,nan,nan,
train_000255,train,Nikon D3X / D65,nan,nan,nan,
train_000256,train,Nikon D50 / A,nan,nan,nan,
train_000257,train,Canon 500D / FL2,nan,nan,nan,
train_000258,train,Canon 500D / D65,nan,nan,nan,
train_000259,train,Nikon D80 / D65,nan,nan,nan,
train_000260,train,Canon 40D / FL2,nan,nan,nan,
train_000261,train,Canon 60D / D65,nan,nan,nan,
train_000262,train,Nikon D80 / FL2,nan,nan,nan,
train_000263,train,Canon 20D / D65,nan,nan,nan,
train_000264,train,Nikon D3X / FL2,nan,nan,nan,
train_000265,train,Hasselblad H2 / A,nan,nan,nan,
train_000266,train,Canon 60D / A,nan,nan,nan,
train_000267,train,Canon 300D / FL2,nan,nan,nan,
train_000268,train,Pentax Q / FL2,nan,nan,nan,
train_000269,train,Nikon D40 / A,nan,nan,nan,
train_000270,train,Canon 20D / A,nan,nan,nan,
train_000271,train,Canon 1DMarkIII / A,nan,nan,nan,
train_000272,train,Nikon D200 / FL2,nan,nan,nan,
train_000273,train,Canon 40D / A,nan,nan,nan,
train_000274,train,Nikon D3 / A,nan,nan,nan,
train_000275,train,Nokia N900 / D65,nan,nan,nan,
train_000276,train,Nikon D90 / FL2,nan,nan,nan,
train_000277,train,Nikon D80 / A,nan,nan,nan,
train_000278,train,SONY NEX-5N / A,nan,nan,nan,
train_000279,train,Nikon D300s / A,nan,nan,nan,
train_000280,train,Hasselblad H2 / FL2,nan,nan,nan,
train_000281,train,Pentax K-5 / FL2,nan,nan,nan,
train_000282,train,Nikon D90 / D65,nan,nan,nan,
train_000283,train,Nikon D300s / FL2,nan,nan,nan,
train_000284,train,Nokia N900 / A,nan,nan,nan,
train_000285,train,Canon 5DMarkII / D65,nan,nan,nan,
train_000286,train,SONY NEX-5N / D65,nan,nan,nan,
train_000287,train,SONY NEX-5N / FL2,nan,nan,nan,
train_000288,train,Canon 60D / FL2,nan,nan,nan,
train_000289,train,Canon 40D / D65,nan,nan,nan,
train_000290,train,Point Grey Grasshopper2 14S5C / A,nan,nan,nan,
train_000291,train,Canon 50D / A,nan,nan,nan,
train_000292,train,Nikon D3 / FL2,nan,nan,nan,
train_000293,train,Nikon D200 / D65,nan,nan,nan,
train_000294,train,Canon 500D / A,nan,nan,nan,
train_000295,train,Phase One / FL2,nan,nan,nan,
train_000296,train,Nikon D90 / A,nan,nan,nan,
train_000297,train,Nikon D3 / D65,nan,nan,nan,
train_000298,train,Canon 50D / D65,nan,nan,nan,
train_000299,train,Canon 300D / D65,nan,nan,nan,
train_000300,train,Pentax K-5 / D65,nan,nan,nan,
train_000301,train,Canon 20D / FL2,nan,nan,nan,
train_000302,train,Nokia N900 / FL2,nan,nan,nan,
train_000303,train,Canon 300D / A,nan,nan,nan,
train_000304,train,Point Grey Grasshopper2 14S5C / D65,nan,nan,nan,
train_000305,train,Pentax Q / D65,nan,nan,nan,
train_000306,train,Nikon D5100 / D65,nan,nan,nan,
train_000307,train,Nikon D40 / FL2,nan,nan,nan,
train_000308,train,Pentax Q / A,nan,nan,nan,
train_000309,train,Nikon D50 / FL2,nan,nan,nan,
train_000310,train,Nikon D3X / A,nan,nan,nan,
train_000311,train,Nikon D5100 / FL2,nan,nan,nan,
train_000312,train,Canon 1DMarkIII / D65,nan,nan,nan,
train_000313,train,Hasselblad H2 / D65,nan,nan,nan,
train_000314,train,Nikon D50 / D65,nan,nan,nan,
train_000315,train,Nikon D40 / D65,nan,nan,nan,
train_000316,train,Canon 5DMarkII / A,nan,nan,nan,
train_000317,train,Point Grey Grasshopper2 14S5C / FL2,nan,nan,nan,
train_000318,train,Nikon D200 / A,nan,nan,nan,
train_000319,train,Phase One / A,nan,nan,nan,
train_000320,train,Nikon D300s / D65,nan,nan,nan,
train_000321,train,Canon 1DMarkIII / FL2,nan,nan,nan,
train_000322,train,Pentax K-5 / A,nan,nan,nan,
train_000323,train,Nikon D5100 / A,nan,nan,nan,
train_000324,train,Canon 5DMarkII / FL2,nan,nan,nan,
train_000325,train,Canon 50D / FL2,nan,nan,nan,
train_000326,train,Phase One / D65,nan,nan,nan,
train_000327,train,Nikon D3X / D65,nan,nan,nan,
train_000328,train,Nikon D50 / A,nan,nan,nan,
train_000329,train,Canon 500D / FL2,nan,nan,nan,
train_000330,train,Canon 500D / D65,nan,nan,nan,
train_000331,train,Nikon D80 / D65,nan,nan,nan,
train_000332,train,Canon 40D / FL2,nan,nan,nan,
train_000333,train,Canon 60D / D65,nan,nan,nan,
train_000334,train,Nikon D80 / FL2,nan,nan,nan,
train_000335,train,Canon 20D / D65,nan,nan,nan,
train_000336,train,Nikon D3X / FL2,nan,nan,nan,
train_000337,train,Hasselblad H2 / A,nan,nan,nan,
train_000338,train,Canon 60D / A,nan,nan,nan,
train_000339,train,Canon 300D / FL2,nan,nan,nan,
train_000340,train,Pentax Q / FL2,nan,nan,nan,
train_000341,train,Nikon D40 / A,nan,nan,nan,
train_000342,train,Canon 20D / A,nan,nan,nan,
train_000343,train,Canon 1DMarkIII / A,nan,nan,nan,
train_000344,train,Nikon D200 / FL2,nan,nan,nan,
train_000345,train,Canon 40D / A,nan,nan,nan,
train_000346,train,Nikon D3 / A,nan,nan,nan,
train_000347,train,Nokia N900 / D65,nan,nan,nan,
train_000348,train,Nikon D90 / FL2,nan,nan,nan,
train_000349,train,Nikon D80 / A,nan,nan,nan,
train_000350,train,SONY NEX-5N / A,nan,nan,nan,
train_000351,train,Nikon D300s / A,nan,nan,nan,
train_000352,train,Hasselblad H2 / FL2,nan,nan,nan,
train_000353,train,Pentax K-5 / FL2,nan,nan,nan,
train_000354,train,Nikon D90 / D65,nan,nan,nan,
train_000355,train,Nikon D300s / FL2,nan,nan,nan,
train_000356,train,Nokia N900 / A,nan,nan,nan,
train_000357,train,Canon 5DMarkII / D65,nan,nan,nan,
train_000358,train,SONY NEX-5N / D65,nan,nan,nan,
train_000359,train,SONY NEX-5N / FL2,nan,nan,nan,
train_000360,train,Canon 60D / FL2,nan,nan,nan,
train_000361,train,Canon 40D / D65,nan,nan,nan,
train_000362,train,Point Grey Grasshopper2 14S5C / A,nan,nan,nan,
train_000363,train,Canon 50D / A,nan,nan,nan,
train_000364,train,Nikon D3 / FL2,nan,nan,nan,
train_000365,train,Nikon D200 / D65,nan,nan,nan,
train_000366,train,Canon 500D / A,nan,nan,nan,
train_000367,train,Phase One / FL2,nan,nan,nan,
train_000368,train,Nikon D90 / A,nan,nan,nan,
train_000369,train,Nikon D3 / D65,nan,nan,nan,
train_000370,train,Canon 50D / D65,nan,nan,nan,
train_000371,train,Canon 300D / D65,nan,nan,nan,
train_000372,train,Pentax K-5 / D65,nan,nan,nan,
train_000373,train,Canon 20D / FL2,nan,nan,nan,
train_000374,train,Nokia N900 / FL2,nan,nan,nan,
train_000375,train,Canon 300D / A,nan,nan,nan,
train_000376,train,Point Grey Grasshopper2 14S5C / D65,nan,nan,nan,
train_000377,train,Pentax Q / D65,nan,nan,nan,
train_000378,train,Nikon D5100 / D65,nan,nan,nan,
train_000379,train,Nikon D40 / FL2,nan,nan,nan,
train_000380,train,Pentax Q / A,nan,nan,nan,
train_000381,train,Nikon D50 / FL2,nan,nan,nan,
train_000382,train,Nikon D3X / A,nan,nan,nan,
train_000383,train,Nikon D5100 / FL2,nan,nan,nan,
train_000384,train,Canon 1DMarkIII / D65,nan,nan,nan,
train_000385,train,Hasselblad H2 / D65,nan,nan,nan,
train_000386,train,Nikon D50 / D65,nan,nan,nan,
train_000387,train,Nikon D40 / D65,nan,nan,nan,
train_000388,train,Canon 5DMarkII / A,nan,nan,nan,
train_000389,train,Point Grey Grasshopper2 14S5C / FL2,nan,nan,nan,
train_000390,train,Nikon D200 / A,nan,nan,nan,
train_000391,train,Phase One / A,nan,nan,nan,
train_000392,train,Nikon D300s / D65,nan,nan,nan,
train_000393,train,Canon 1DMarkIII / FL2,nan,nan,nan,
train_000394,train,Pentax K-5 / A,nan,nan,nan,
train_000395,train,Nikon D5100 / A,nan,nan,nan,
train_000396,train,Canon 5DMarkII / FL2,nan,nan,nan,
train_000397,train,Canon 50D / FL2,nan,nan,nan,
train_000398,train,Phase One / D65,nan,nan,nan,
train_000399,train,Nikon D3X / D65,nan,nan,nan,
train_000400,train,Nikon D50 / A,nan,nan,nan,
train_000401,train,Canon 500D / FL2,nan,nan,nan,
train_000402,train,Canon 500D / D65,nan,nan,nan,
train_000403,train,Nikon D80 / D65,nan,nan,nan,
train_000404,train,Canon 40D / FL2,nan,nan,nan,
train_000405,train,Canon 60D / D65,nan,nan,nan,
train_000406,train,Nikon D80 / FL2,nan,nan,nan,
train_000407,train,Canon 20D / D65,nan,nan,nan,
train_000408,train,Nikon D3X / FL2,nan,nan,nan,
train_000409,train,Hasselblad H2 / A,nan,nan,nan,
train_000410,train,Canon 60D / A,nan,nan,nan,
train_000411,train,Canon 300D / FL2,nan,nan,nan,
train_000412,train,Pentax Q / FL2,nan,nan,nan,
train_000413,train,Nikon D40 / A,nan,nan,nan,
train_000414,train,Canon 20D / A,nan,nan,nan,
train_000415,train,Canon 1DMarkIII / A,nan,nan,nan,
train_000416,train,Nikon D200 / FL2,nan,nan,nan,
train_000417,train,Canon 40D / A,nan,nan,nan,
train_000418,train,Nikon D3 / A,nan,nan,nan,
train_000419,train,Nokia N900 / D65,nan,nan,nan,
train_000420,train,Nikon D90 / FL2,nan,nan,nan,
train_000421,train,Nikon D80 / A,nan,nan,nan,
train_000422,train,SONY NEX-5N / A,nan,nan,nan,
train_000423,train,Nikon D300s / A,nan,nan,nan,
train_000424,train,Hasselblad H2 / FL2,nan,nan,nan,
train_000425,train,Pentax K-5 / FL2,nan,nan,nan,
train_000426,train,Nikon D90 / D65,nan,nan,nan,
train_000427,train,Nikon D300s / FL2,nan,nan,nan,
train_000428,train,Nokia N900 / A,nan,nan,nan,
train_000429,train,Canon 5DMarkII / D65,nan,nan,nan,
train_000430,train,SONY NEX-5N / D65,nan,nan,nan,
train_000431,train,SONY NEX-5N / FL2,nan,nan,nan,
train_000432,train,Canon 60D / FL2,nan,nan,nan,
train_000433,train,Canon 40D / D65,nan,nan,nan,
train_000434,train,Point Grey Grasshopper2 14S5C / A,nan,nan,nan,
train_000435,train,Canon 50D / A,nan,nan,nan,
train_000436,train,Nikon D3 / FL2,nan,nan,nan,
train_000437,train,Nikon D200 / D65,nan,nan,nan,
train_000438,train,Canon 500D / A,nan,nan,nan,
train_000439,train,Phase One / FL2,nan,nan,nan,
train_000440,train,Nikon D90 / A,nan,nan,nan,
train_000441,train,Nikon D3 / D65,nan,nan,nan,
train_000442,train,Canon 50D / D65,nan,nan,nan,
train_000443,train,Canon 300D / D65,nan,nan,nan,
train_000444,train,Pentax K-5 / D65,nan,nan,nan,
train_000445,train,Canon 20D / FL2,nan,nan,nan,
train_000446,train,Nokia N900 / FL2,nan,nan,nan,
train_000447,train,Canon 300D / A,nan,nan,nan,
train_000448,train,Point Grey Grasshopper2 14S5C / D65,nan,nan,nan,
train_000449,train,Pentax Q / D65,nan,nan,nan,
train_000450,train,Nikon D5100 / D65,nan,nan,nan,
train_000451,train,Nikon D40 / FL2,nan,nan,nan,
train_000452,train,Pentax Q / A,nan,nan,nan,
train_000453,train,Nikon D50 / FL2,nan,nan,nan,
train_000454,train,Nikon D3X / A,nan,nan,nan,
train_000455,train,Nikon D5100 / FL2,nan,nan,nan,
train_000456,train,Canon 1DMarkIII / D65,nan,nan,nan,
train_000457,train,Hasselblad H2 / D65,nan,nan,nan,
train_000458,train,Nikon D50 / D65,nan,nan,nan,
train_000459,train,Nikon D40 / D65,nan,nan,nan,
train_000460,train,Canon 5DMarkII / A,nan,nan,nan,
train_000461,train,Point Grey Grasshopper2 14S5C / FL2,nan,nan,nan,
train_000462,train,Nikon D200 / A,nan,nan,nan,
train_000463,train,Phase One / A,nan,nan,nan,
train_000464,train,Nikon D300s / D65,nan,nan,nan,
train_000465,train,Canon 1DMarkIII / FL2,nan,nan,nan,
train_000466,train,Pentax K-5 / A,nan,nan,nan,
train_000467,train,Nikon D5100 / A,nan,nan,nan,
train_000468,train,Canon 5DMarkII / FL2,nan,nan,nan,
train_000469,train,Canon 50D / FL2,nan,nan,nan,
train_000470,train,Phase One / D65,nan,nan,nan,
train_000471,train,Nikon D3X / D65,nan,nan,nan,
train_000472,train,Nikon D50 / A,nan,nan,nan,
train_000473,train,Canon 500D / FL2,nan,nan,nan,
train_000474,train,Canon 500D / D65,nan,nan,nan,
train_000475,train,Nikon D80 / D65,nan,nan,nan,
train_000476,train,Canon 40D / FL2,nan,nan,nan,
train_000477,train,Canon 60D / D65,nan,nan,nan,
train_000478,train,Nikon D80 / FL2,nan,nan,nan,
train_000479,train,Canon 20D / D65,nan,nan,nan,
train_000480,train,Nikon D3X / FL2,nan,nan,nan,
train_000481,train,Hasselblad H2 / A,nan,nan,nan,
train_000482,train,Canon 60D / A,nan,nan,nan,
train_000483,train,Canon 300D / FL2,nan,nan,nan,
train_000484,train,Pentax Q / FL2,nan,nan,nan,
train_000485,train,Nikon D40 / A,nan,nan,nan,
