split,camera_light_pair,count
train,Canon 60D / A,278
train,Canon 60D / D65,278
train,Canon 60D / FL2,278
train,Hasselblad H2 / A,278
train,Hasselblad H2 / D65,278
train,Hasselblad H2 / FL2,277
train,Nikon D200 / A,278
train,Nikon D200 / D65,278
train,Nikon D200 / FL2,277
train,Nikon D3 / A,277
train,Nikon D3 / D65,278
train,Nikon D3 / FL2,278
train,Nikon D300s / A,277
train,Nikon D300s / D65,278
train,Nikon D300s / FL2,277
train,Nikon D3X / A,278
train,Nikon D3X / D65,278
train,Nikon D3X / FL2,278
train,Nikon D40 / A,278
train,Nikon D40 / D65,278
train,Nikon D40 / FL2,278
train,Nikon D50 / A,278
train,Nikon D50 / D65,278
train,Nikon D50 / FL2,278
train,Nikon D5100 / A,278
train,Nikon D5100 / D65,278
train,Nikon D5100 / FL2,278
train,Nikon D80 / A,277
train,Nikon D80 / D65,278
train,Nikon D80 / FL2,278
train,Nikon D90 / A,278
train,Nikon D90 / D65,277
train,Nikon D90 / FL2,277
train,Nokia N900 / A,277
train,Nokia N900 / D65,277
train,Nokia N900 / FL2,278
train,Pentax K-5 / A,278
train,Pentax K-5 / D65,278
train,Pentax K-5 / FL2,277
train,Pentax Q / A,278
train,Pentax Q / D65,278
train,Pentax Q / FL2,278
train,Phase One / A,278
train,Phase One / D65,278
train,Phase One / FL2,278
train,Point Grey Grasshopper2 14S5C / A,278
train,Point Grey Grasshopper2 14S5C / D65,278
train,Point Grey Grasshopper2 14S5C / FL2,278
train,SONY NEX-5N / A,277
train,SONY NEX-5N / D65,277
train,SONY NEX-5N / FL2,277
validation,Canon 1DMarkIII / A,27
validation,Canon 1DMarkIII / D65,28
validation,Canon 1DMarkIII / FL2,27
validation,Canon 20D / A,28
validation,Canon 20D / D65,27
validation,Canon 20D / FL2,27
validation,Canon 300D / A,28
validation,Canon 300D / D65,28
validation,Canon 300D / FL2,28
validation,Canon 40D / A,27
validation,Canon 40D / D65,27
validation,Canon 40D / FL2,28
validation,Canon 500D / A,28
validation,Canon 500D / D65,27
validation,Canon 500D / FL2,28
validation,Canon 50D / A,28
validation,Canon 50D / D65,27
validation,Canon 50D / FL2,28
validation,Canon 5DMarkII / A,28
validation,Canon 5DMarkII / D65,28
validation,Canon 5DMarkII / FL2,28
validation,Canon 60D / A,27
validation,Canon 60D / D65,28
validation,Canon 60D / FL2,28
validation,Hasselblad H2 / A,28
validation,Hasselblad H2 / D65,28
validation,Hasselblad H2 / FL2,28
validation,Nikon D200 / A,28
validation,Nikon D200 / D65,28
validation,Nikon D200 / FL2,28
validation,Nikon D3 / A,27
validation,Nikon D3 / D65,28
validation,Nikon D3 / FL2,28
validation,Nikon D300s / A,28
validation,Nikon D300s / D65,28
validation,Nikon D300s / FL2,28
validation,Nikon D3X / A,28
validation,Nikon D3X / D65,28
validation,Nikon D3X / FL2,28
validation,Nikon D40 / A,28
validation,Nikon D40 / D65,27
validation,Nikon D40 / FL2,28
validation,Nikon D50 / A,28
validation,Nikon D50 / D65,27
validation,Nikon D50 / FL2,28
validation,Nikon D5100 / A,28
validation,Nikon D5100 / D65,28
validation,Nikon D5100 / FL2,27
validation,Nikon D80 / A,28
validation,Nikon D80 / D65,28
validation,Nikon D80 / FL2,28
validation,Nikon D90 / A,28
validation,Nikon D90 / D65,28
validation,Nikon D90 / FL2,28
validation,Nokia N900 / A,28
validation,Nokia N900 / D65,28
validation,Nokia N900 / FL2,28
validation,Pentax K-5 / A,28
validation,Pentax K-5 / D65,28
validation,Pentax K-5 / FL2,28
validation,Pentax Q / A,27
validation,Pentax Q / D65,28
validation,Pentax Q / FL2,28
validation,Phase One / A,28
validation,Phase One / D65,28
validation,Phase One / FL2,27
validation,Point Grey Grasshopper2 14S5C / A,27
validation,Point Grey Grasshopper2 14S5C / D65,28
validation,Point Grey Grasshopper2 14S5C / FL2,28
validation,SONY NEX-5N / A,28
validation,SONY NEX-5N / D65,28
validation,SONY NEX-5N / FL2,28
