subject_id,capture_id,roi,profiled_parameter,fixed_u,fixed_value,logrmse,success,grid_kind,conditional_theta
p003,p003_neutral_front,left_cheek,f_mel,0.16,0.0688,0.23226826361172775,True,base_or_optimum,"[0.0688,0.0014724598312049568,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.18,0.0774,0.27113231162771456,True,base_or_optimum,"[0.0774,2.3549413345374043e-16,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.2,0.08600000000000001,0.3239413295772699,True,base_or_optimum,"[0.08600000000000001,6.73408075823471e-17,4.50407214747095e-07]"
p003,p003_neutral_front,left_cheek,f_mel,0.22,0.0946,0.38354981020982226,True,base_or_optimum,"[0.0946,2.8116284265344914e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.24,0.1032,0.4457599141828498,True,base_or_optimum,"[0.1032,6.619078251261769e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.26,0.1118,0.5084822578288993,True,base_or_optimum,"[0.1118,1.060478529119907e-18,2.5755273580507776e-08]"
p003,p003_neutral_front,left_cheek,f_mel,0.28,0.12040000000000001,0.5706634163849494,True,base_or_optimum,"[0.12040000000000001,1.8105244668343035e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.3,0.129,0.631764317499457,True,base_or_optimum,"[0.129,1.1552763741494162e-18,0.9999999999995557]"
p003,p003_neutral_front,left_cheek,f_mel,0.32,0.1376,0.6915119292801755,True,base_or_optimum,"[0.1376,2.9568809078289815e-18,0.9999999999879262]"
p003,p003_neutral_front,left_cheek,f_mel,0.34,0.1462,0.749776700483968,True,base_or_optimum,"[0.1462,4.500577696102472e-17,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.36,0.1548,0.8065090868888293,True,base_or_optimum,"[0.1548,2.68405085105582e-18,0.9999794073728352]"
p003,p003_neutral_front,left_cheek,f_mel,0.38,0.1634,0.8617051291415174,True,base_or_optimum,"[0.1634,7.631249453288095e-19,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.4,0.17200000000000001,0.9153870290165601,True,base_or_optimum,"[0.17200000000000001,1.4592698504548114e-19,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.42,0.18059999999999998,0.9675918289101196,True,base_or_optimum,"[0.18059999999999998,4.427016458053682e-19,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.44,0.1892,1.018364648167533,True,base_or_optimum,"[0.1892,2.668267769339456e-17,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.46,0.1978,1.0677545713215588,True,base_or_optimum,"[0.1978,2.0419679271859005e-19,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.48,0.2064,1.115812124664582,True,base_or_optimum,"[0.2064,4.434846963322415e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.5,0.215,1.1625877268454843,True,base_or_optimum,"[0.215,1.4733743965926674e-18,0.9999999999993352]"
p003,p003_neutral_front,left_cheek,f_mel,0.52,0.2236,1.20813074808594,True,base_or_optimum,"[0.2236,1.306629612314457e-18,1.0213740453401954e-07]"
p003,p003_neutral_front,left_cheek,f_mel,0.54,0.23220000000000002,1.2524889551018352,True,base_or_optimum,"[0.23220000000000002,2.661605139698071e-18,0.9999999999986238]"
p003,p003_neutral_front,left_cheek,f_mel,0.56,0.24080000000000001,1.2957082027837987,True,base_or_optimum,"[0.24080000000000001,5.579779330174522e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.58,0.24939999999999998,1.3378322844484063,True,base_or_optimum,"[0.24939999999999998,1.1320467540649085e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.6,0.258,1.3789028838458703,True,base_or_optimum,"[0.258,8.540696900072277e-19,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.62,0.2666,1.418959591884064,True,base_or_optimum,"[0.2666,6.5975667163288065e-18,0.9999999999508493]"
p003,p003_neutral_front,left_cheek,f_mel,0.64,0.2752,1.4580399637037114,True,base_or_optimum,"[0.2752,2.9637513045607243e-18,0.9999999999880945]"
p003,p003_neutral_front,left_cheek,f_mel,0.66,0.2838,1.4961795999829663,True,base_or_optimum,"[0.2838,1.6817915681940794e-18,0.9999999999751354]"
p003,p003_neutral_front,left_cheek,f_mel,0.68,0.2924,1.533412241777456,True,base_or_optimum,"[0.2924,1.812984522655552e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.7000000000000001,0.30100000000000005,1.5697698718127322,True,base_or_optimum,"[0.30100000000000005,2.0915777121924928e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.72,0.3096,1.6052828175681786,True,base_or_optimum,"[0.3096,1.6303730907395941e-18,0.9999999999902867]"
p003,p003_neutral_front,left_cheek,f_mel,0.74,0.3182,1.6399798531262932,True,base_or_optimum,"[0.3182,1.2290311683256405e-18,0.9999999999915306]"
p003,p003_neutral_front,left_cheek,f_mel,0.76,0.3268,1.6738882978693108,True,base_or_optimum,"[0.3268,4.666313522692618e-18,0.999999999988535]"
p003,p003_neutral_front,left_cheek,f_mel,0.78,0.33540000000000003,1.7070341108574212,True,base_or_optimum,"[0.33540000000000003,4.323703502061218e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.8,0.34400000000000003,1.7394419802330567,True,base_or_optimum,"[0.34400000000000003,1.1179950337489216e-18,0.999999999995065]"
p003,p003_neutral_front,left_cheek,f_mel,0.8200000000000001,0.3526,1.7711354073401788,True,base_or_optimum,"[0.3526,2.5647260069177535e-17,0.9999999999490591]"
p003,p003_neutral_front,left_cheek,f_mel,0.84,0.36119999999999997,1.8021367854779613,True,base_or_optimum,"[0.36119999999999997,4.007369948922361e-18,0.9999999999825567]"
p003,p003_neutral_front,left_cheek,f_mel,0.86,0.36979999999999996,1.8324674733600228,True,base_or_optimum,"[0.36979999999999996,2.1267793757764217e-19,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.88,0.3784,1.8621478634477706,True,base_or_optimum,"[0.3784,1.2694060091207186e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.9,0.387,1.8911974453862446,True,base_or_optimum,"[0.387,7.37191253210302e-18,0.9999999999999999]"
p003,p003_neutral_front,left_cheek,f_mel,0.92,0.3956,1.9196348648048644,True,base_or_optimum,"[0.3956,2.060921654228726e-18,0.9999999999967087]"
p003,p003_neutral_front,left_cheek,f_mel,0.9400000000000001,0.4042,1.9474779777617623,True,base_or_optimum,"[0.4042,3.2882856296900084e-18,0.9999999999969965]"
p003,p003_neutral_front,left_cheek,f_mel,0.96,0.4128,1.9747439011147372,True,base_or_optimum,"[0.4128,2.2468940864096093e-18,0.9999999999851417]"
p003,p003_neutral_front,left_cheek,f_mel,0.98,0.4214,2.001449059098228,True,base_or_optimum,"[0.4214,4.960042752591268e-18,0.9999999999966619]"
p003,p003_neutral_front,left_cheek,f_mel,1.0,0.43,2.027609226376909,True,base_or_optimum,"[0.43,1.8265090911069163e-19,0.9999999999999984]"
p003,p003_neutral_front,left_cheek,f_blood,0.0,0.0,0.2214066447425392,True,base_or_optimum,"[0.06156597658450498,0.0,0.7462908672168851]"
p003,p003_neutral_front,left_cheek,f_blood,0.02,0.002,0.2070250090245509,True,base_or_optimum,"[0.05784147443294484,0.002,1.6659130487689507e-20]"
p003,p003_neutral_front,left_cheek,f_blood,0.04,0.004,0.19730115370934928,True,base_or_optimum,"[0.05518709605830386,0.004,2.1975184609216938e-21]"
p003,p003_neutral_front,left_cheek,f_blood,0.06,0.006,0.18992417630815148,True,base_or_optimum,"[0.05310410792761354,0.006,0.08460581037618012]"
p003,p003_neutral_front,left_cheek,f_blood,0.08,0.008,0.1837886950363238,True,base_or_optimum,"[0.05151540659381527,0.008,0.2806666913168955]"
p003,p003_neutral_front,left_cheek,f_blood,0.1,0.010000000000000002,0.1784841993017941,True,base_or_optimum,"[0.050089547383241256,0.010000000000000002,0.395892343624915]"
p003,p003_neutral_front,left_cheek,f_blood,0.12,0.012,0.17383421326869408,True,base_or_optimum,"[0.048789476295080035,0.012,0.47180735549924596]"
p003,p003_neutral_front,left_cheek,f_blood,0.14,0.014000000000000002,0.16971719248514633,True,base_or_optimum,"[0.047590566293687284,0.014000000000000002,0.5256360495056134]"
p003,p003_neutral_front,left_cheek,f_blood,0.16,0.016,0.1660453837249232,True,base_or_optimum,"[0.046475474710032286,0.016,0.5658407379957152]"
p003,p003_neutral_front,left_cheek,f_blood,0.18,0.018,0.16275289049032668,True,base_or_optimum,"[0.04543142275352362,0.018,0.5970676291847147]"
p003,p003_neutral_front,left_cheek,f_blood,0.2,0.020000000000000004,0.15978862532699575,True,base_or_optimum,"[0.044448648871081305,0.020000000000000004,0.6220778757136464]"
p003,p003_neutral_front,left_cheek,f_blood,0.22,0.022000000000000002,0.15711193465700907,True,base_or_optimum,"[0.04351948296667075,0.022000000000000002,0.6426146431169018]"
p003,p003_neutral_front,left_cheek,f_blood,0.24,0.024,0.15468976001823487,True,base_or_optimum,"[0.04263775354425672,0.024,0.659829340516164]"
p003,p003_neutral_front,left_cheek,f_blood,0.26,0.026000000000000002,0.15249472560692942,True,base_or_optimum,"[0.041798405586519344,0.026000000000000002,0.6745132593480792]"
p003,p003_neutral_front,left_cheek,f_blood,0.28,0.028000000000000004,0.15050380810110311,True,base_or_optimum,"[0.040997225815801064,0.028000000000000004,0.6872268335692642]"
p003,p003_neutral_front,left_cheek,f_blood,0.3,0.03,0.14869738593068302,True,base_or_optimum,"[0.040230661621490194,0.03,0.6983771389035373]"
p003,p003_neutral_front,left_cheek,f_blood,0.32,0.032,0.1470585436126899,True,base_or_optimum,"[0.03949567546239254,0.032,0.7082674936004763]"
p003,p003_neutral_front,left_cheek,f_blood,0.34,0.034,0.14557255221360013,True,base_or_optimum,"[0.038789650472553054,0.034,0.7171277051458456]"
p003,p003_neutral_front,left_cheek,f_blood,0.36,0.036,0.14422647431387814,True,base_or_optimum,"[0.03811030615623992,0.036,0.7251344805821738]"
p003,p003_neutral_front,left_cheek,f_blood,0.38,0.038000000000000006,0.1430088588090151,True,base_or_optimum,"[0.0374556441635207,0.038000000000000006,0.7324265913617495]"
p003,p003_neutral_front,left_cheek,f_blood,0.4,0.04000000000000001,0.14190950172062727,True,base_or_optimum,"[0.03682389896548194,0.04000000000000001,0.739113872987517]"
p003,p003_neutral_front,left_cheek,f_blood,0.42,0.042,0.14091925629902705,True,base_or_optimum,"[0.0362135031495609,0.042,0.7452848205498522]"
p003,p003_neutral_front,left_cheek,f_blood,0.44,0.044000000000000004,0.14002988046788584,True,base_or_optimum,"[0.03562305314277086,0.044000000000000004,0.7510107733161218]"
p003,p003_neutral_front,left_cheek,f_blood,0.44125000000000003,0.044125000000000004,0.1399774695200163,True,refinement_delta_0p005,"[0.0355867823643169,0.044125000000000004,0.7513550932452251]"
p003,p003_neutral_front,left_cheek,f_blood,0.4425,0.044250000000000005,0.1399254215008693,True,refinement_delta_0p005,"[0.03555058544924616,0.044250000000000005,0.7516982926305457]"
p003,p003_neutral_front,left_cheek,f_blood,0.445,0.044500000000000005,0.13982240738799903,True,refinement_delta_0p005,"[0.035478407400282505,0.044500000000000005,0.7523798808859236]"
p003,p003_neutral_front,left_cheek,f_blood,0.45,0.045000000000000005,0.13962065940225551,True,refinement_delta_0p005,"[0.03533491004233482,0.045000000000000005,0.7537257009342027]"
p003,p003_neutral_front,left_cheek,f_blood,0.46,0.046000000000000006,0.1392339129283677,True,base_or_optimum,"[0.035051290975408315,0.046000000000000006,0.7563503699135424]"
p003,p003_neutral_front,left_cheek,f_blood,0.48,0.048,0.13852457151950012,True,base_or_optimum,"[0.03449708273756421,0.048,0.7613527087391613]"
p003,p003_neutral_front,left_cheek,f_blood,0.5,0.05,0.137895669049182,True,base_or_optimum,"[0.03395939679866997,0.05,0.7660578237893874]"
p003,p003_neutral_front,left_cheek,f_blood,0.52,0.052000000000000005,0.13734154297557946,True,base_or_optimum,"[0.03343729981098677,0.052000000000000005,0.7705000454850235]"
p003,p003_neutral_front,left_cheek,f_blood,0.54,0.054000000000000006,0.13685699617014369,True,base_or_optimum,"[0.03292993496422019,0.054000000000000006,0.7747076863084229]"
p003,p003_neutral_front,left_cheek,f_blood,0.56,0.05600000000000001,0.13643724662334883,True,base_or_optimum,"[0.03243652227895547,0.05600000000000001,0.7787056643941767]"
p003,p003_neutral_front,left_cheek,f_blood,0.58,0.057999999999999996,0.13607788442559937,True,base_or_optimum,"[0.0319563424663929,0.057999999999999996,0.7825148736542287]"
p003,p003_neutral_front,left_cheek,f_blood,0.6,0.06,0.1357748347123276,True,base_or_optimum,"[0.03148873459601724,0.06,0.7861535460888756]"
p003,p003_neutral_front,left_cheek,f_blood,0.62,0.062,0.1355243255344225,True,base_or_optimum,"[0.031033086400470367,0.062,0.7896371261038779]"
p003,p003_neutral_front,left_cheek,f_blood,0.64,0.064,0.13532285982486583,True,base_or_optimum,"[0.030588834537359947,0.064,0.7929797852700825]"
p003,p003_neutral_front,left_cheek,f_blood,0.66,0.066,0.135167190795189,True,base_or_optimum,"[0.030155452186571202,0.066,0.7961930720537054]"
p003,p003_neutral_front,left_cheek,f_blood,0.68,0.068,0.13505430022280232,True,base_or_optimum,"[0.029732452381175205,0.068,0.7992877307822902]"
p003,p003_neutral_front,left_cheek,f_blood,0.7000000000000001,0.07,0.13498137919047795,True,base_or_optimum,"[0.029319380314985856,0.07,0.8022730231044916]"
p003,p003_neutral_front,left_cheek,f_blood,0.72,0.072,0.13494581091883687,True,base_or_optimum,"[0.028915811942237198,0.072,0.8051572733295488]"
p003,p003_neutral_front,left_cheek,f_blood,0.7303317082258499,0.073033170822585,0.13494126038661616,True,base_or_optimum,"[0.02871092502836009,0.073033170822585,0.8066099723599561]"
p003,p003_neutral_front,left_cheek,f_blood,0.74,0.074,0.13494515539603436,True,base_or_optimum,"[0.028521349608064968,0.074,0.8079476853592052]"
p003,p003_neutral_front,left_cheek,f_blood,0.76,0.07600000000000001,0.1349771355597044,True,base_or_optimum,"[0.028135622747766834,0.07600000000000001,0.8106510271318544]"
p003,p003_neutral_front,left_cheek,f_blood,0.78,0.07800000000000001,0.1350396248271171,True,base_or_optimum,"[0.027758280628724426,0.07800000000000001,0.8132728781767797]"
p003,p003_neutral_front,left_cheek,f_blood,0.8,0.08000000000000002,0.1351306358027677,True,base_or_optimum,"[0.027388997709291856,0.08000000000000002,0.8158188885067784]"
p003,p003_neutral_front,left_cheek,f_blood,0.8200000000000001,0.08200000000000002,0.13524831001950907,True,base_or_optimum,"[0.027027465647742024,0.08200000000000002,0.8182938527875769]"
p003,p003_neutral_front,left_cheek,f_blood,0.84,0.084,0.1353909085915145,True,base_or_optimum,"[0.026673391916299118,0.084,0.8207018151806037]"
p003,p003_neutral_front,left_cheek,f_blood,0.86,0.08600000000000001,0.13555680367541595,True,base_or_optimum,"[0.026326502479910877,0.08600000000000001,0.82304673753935]"
p003,p003_neutral_front,left_cheek,f_blood,0.88,0.08800000000000001,0.13574447065097506,True,base_or_optimum,"[0.025986540340100908,0.08800000000000001,0.8253325024121975]"
p003,p003_neutral_front,left_cheek,f_blood,0.9,0.09000000000000001,0.1359524809450202,True,base_or_optimum,"[0.02565325754901541,0.09000000000000001,0.8275619711992651]"
p003,p003_neutral_front,left_cheek,f_blood,0.92,0.09200000000000001,0.13617949543272298,True,base_or_optimum,"[0.02532642471688319,0.09200000000000001,0.8297385256377173]"
p003,p003_neutral_front,left_cheek,f_blood,0.9400000000000001,0.09400000000000001,0.13642425835893177,True,base_or_optimum,"[0.025005820261662218,0.09400000000000001,0.8318646689012662]"
p003,p003_neutral_front,left_cheek,f_blood,0.96,0.096,0.13668559172951622,True,base_or_optimum,"[0.02469123579315997,0.096,0.8339429915852918]"
p003,p003_neutral_front,left_cheek,f_blood,0.98,0.098,0.13696239012884154,True,base_or_optimum,"[0.024382471844724713,0.098,0.8359756796748015]"
p003,p003_neutral_front,left_cheek,f_blood,1.0,0.1,0.1372536159246681,True,base_or_optimum,"[0.024079342134628427,0.1,0.837965177289222]"
p003,p003_neutral_front,left_cheek,s,0.0,0.0,0.16054605938172498,True,base_or_optimum,"[0.03635097070325058,0.034080288686060035,0.0]"
p003,p003_neutral_front,left_cheek,s,0.02,0.02,0.15982136609871564,True,base_or_optimum,"[0.036112050500269534,0.034789192738517695,0.02]"
p003,p003_neutral_front,left_cheek,s,0.04,0.04,0.1590907415669359,True,base_or_optimum,"[0.03587311780796421,0.03551220276121097,0.04]"
p003,p003_neutral_front,left_cheek,s,0.06,0.06,0.15835444028752815,True,base_or_optimum,"[0.035634250375102594,0.03624957480526413,0.06]"
p003,p003_neutral_front,left_cheek,s,0.08,0.08,0.15761274241865972,True,base_or_optimum,"[0.03539552925228693,0.03700156984716279,0.08]"
p003,p003_neutral_front,left_cheek,s,0.1,0.1,0.15686595607929563,True,base_or_optimum,"[0.03515703791301852,0.0377684510399035,0.1]"
p003,p003_neutral_front,left_cheek,s,0.12,0.12,0.15611441988540783,True,base_or_optimum,"[0.0349188668039223,0.03855047973607281,0.12]"
p003,p003_neutral_front,left_cheek,s,0.14,0.14,0.1553585057433473,True,base_or_optimum,"[0.03468110691135735,0.03934792198198481,0.14]"
p003,p003_neutral_front,left_cheek,s,0.16,0.16,0.1545986219278396,True,base_or_optimum,"[0.034443858334429096,0.04016103811756411,0.16]"
p003,p003_neutral_front,left_cheek,s,0.18,0.18,0.1538352164750835,True,base_or_optimum,"[0.03420722309553426,0.04099009008093018,0.18]"
p003,p003_neutral_front,left_cheek,s,0.2,0.2,0.15306878092478163,True,base_or_optimum,"[0.03397131625511245,0.04183532375686807,0.2]"
p003,p003_neutral_front,left_cheek,s,0.22,0.22,0.1522998544486206,True,base_or_optimum,"[0.03373625256635996,0.04269699098235094,0.22]"
p003,p003_neutral_front,left_cheek,s,0.24,0.24,0.15152902840677843,True,base_or_optimum,"[0.033502161318451476,0.043575318714587426,0.24]"
p003,p003_neutral_front,left_cheek,s,0.26,0.26,0.1507569513784858,True,base_or_optimum,"[0.03326918013178658,0.044470523660143674,0.26]"
p003,p003_neutral_front,left_cheek,s,0.28,0.28,0.14998433471752193,True,base_or_optimum,"[0.03303745712702594,0.045382801724361765,0.28]"
p003,p003_neutral_front,left_cheek,s,0.3,0.3,0.14921195868877946,True,base_or_optimum,"[0.03280715474022408,0.046312318212664794,0.3]"
p003,p003_neutral_front,left_cheek,s,0.32,0.32,0.14844067924769305,True,base_or_optimum,"[0.032578447336445424,0.0472592112871255,0.32]"
p003,p003_neutral_front,left_cheek,s,0.34,0.34,0.14767143553034215,True,base_or_optimum,"[0.0323515295662589,0.04822356782583545,0.34]"
p003,p003_neutral_front,left_cheek,s,0.36,0.36,0.14690525812834546,True,base_or_optimum,"[0.03212661273483498,0.049205428202487994,0.36]"
p003,p003_neutral_front,left_cheek,s,0.38,0.38,0.14614327822917464,True,base_or_optimum,"[0.03190392969155209,0.05020476868001908,0.38]"
p003,p003_neutral_front,left_cheek,s,0.4,0.4,0.14538673770901,True,base_or_optimum,"[0.03168373911437802,0.05122148388362947,0.4]"
p003,p003_neutral_front,left_cheek,s,0.42,0.42,0.14463700027151644,True,base_or_optimum,"[0.031466329354636884,0.05225536863501882,0.42]"
p003,p003_neutral_front,left_cheek,s,0.44,0.44,0.1438955637315001,True,base_or_optimum,"[0.03125201619552466,0.053306116749471215,0.44]"
p003,p003_neutral_front,left_cheek,s,0.46,0.46,0.14316407354679675,True,base_or_optimum,"[0.031041160369518764,0.05437325822154259,0.46]"
p003,p003_neutral_front,left_cheek,s,0.48,0.48,0.14244433770405174,True,base_or_optimum,"[0.03083415987466256,0.05545616967266657,0.48]"
p003,p003_neutral_front,left_cheek,s,0.5,0.5,0.14173834306324695,True,base_or_optimum,"[0.03063146779373642,0.05655400497372204,0.5]"
p003,p003_neutral_front,left_cheek,s,0.52,0.52,0.141048273260191,True,base_or_optimum,"[0.03043358623293221,0.05766569619053376,0.52]"
p003,p003_neutral_front,left_cheek,s,0.54,0.54,0.14037652825363225,True,base_or_optimum,"[0.030241095106846007,0.058789838565240754,0.54]"
p003,p003_neutral_front,left_cheek,s,0.55,0.55,0.14004834188221535,True,refinement_delta_0p005,"[0.030147070130527507,0.05935605267119274,0.55]"
p003,p003_neutral_front,left_cheek,s,0.5525,0.5525,0.13996715455881856,True,refinement_delta_0p005,"[0.030123813577749813,0.05949798351047436,0.5525]"
p003,p003_neutral_front,left_cheek,s,0.55375,0.55375,0.13992669365801724,True,refinement_delta_0p005,"[0.030112218116823228,0.05956902205407144,0.55375]"
p003,p003_neutral_front,left_cheek,s,0.555,0.555,0.139886322219433,True,refinement_delta_0p005,"[0.030100651656090275,0.05964008517637575,0.555]"
p003,p003_neutral_front,left_cheek,s,0.56,0.56,0.13972574558094192,True,base_or_optimum,"[0.030054644559271565,0.05992468885214113,0.56]"
p003,p003_neutral_front,left_cheek,s,0.58,0.58,0.13909882334944726,True,base_or_optimum,"[0.029874973960976714,0.06106807169021952,0.58]"
p003,p003_neutral_front,left_cheek,s,0.6,0.6,0.13849894493347478,True,base_or_optimum,"[0.02970293074637013,0.062217275091346586,0.6]"
p003,p003_neutral_front,left_cheek,s,0.62,0.62,0.13792960526225348,True,base_or_optimum,"[0.02953948449603798,0.06336895614698847,0.62]"
p003,p003_neutral_front,left_cheek,s,0.64,0.64,0.1373946384603598,True,base_or_optimum,"[0.029385740732253442,0.06451904172701843,0.64]"
p003,p003_neutral_front,left_cheek,s,0.66,0.66,0.1368982464260546,True,base_or_optimum,"[0.029242978901412236,0.06566252155932083,0.66]"
p003,p003_neutral_front,left_cheek,s,0.68,0.68,0.13644502768461103,True,base_or_optimum,"[0.0291126571688612,0.06679336354326489,0.68]"
p003,p003_neutral_front,left_cheek,s,0.7000000000000001,0.7000000000000001,0.1360400055091754,True,base_or_optimum,"[0.02899647191104466,0.06790419619098081,0.7000000000000001]"
p003,p003_neutral_front,left_cheek,s,0.72,0.72,0.13568865382874723,True,base_or_optimum,"[0.02889637598973844,0.06898614345631508,0.72]"
p003,p003_neutral_front,left_cheek,s,0.74,0.74,0.13539691880383345,True,base_or_optimum,"[0.028814601890321385,0.07002863004072371,0.74]"
p003,p003_neutral_front,left_cheek,s,0.76,0.76,0.13517123310023496,True,base_or_optimum,"[0.02875380283648802,0.07101867156930756,0.76]"
p003,p003_neutral_front,left_cheek,s,0.78,0.78,0.13501851878565574,True,base_or_optimum,"[0.02871691497114136,0.07194135317243208,0.78]"
p003,p003_neutral_front,left_cheek,s,0.8,0.8,0.13494617337843076,True,base_or_optimum,"[0.028707398152139307,0.07277868084177469,0.8]"
p003,p003_neutral_front,left_cheek,s,0.8066098499939448,0.8066098499939448,0.13494126038659426,True,base_or_optimum,"[0.02871091218924393,0.07303322787614701,0.8066098499939448]"
p003,p003_neutral_front,left_cheek,s,0.8200000000000001,0.8200000000000001,0.13496203189366818,True,base_or_optimum,"[0.02872916518113029,0.07350979078587679,0.8200000000000001]"
p003,p003_neutral_front,left_cheek,s,0.84,0.84,0.13507429584142963,True,base_or_optimum,"[0.028786666081075045,0.0741105241996547,0.84]"
p003,p003_neutral_front,left_cheek,s,0.86,0.86,0.1352914182677626,True,base_or_optimum,"[0.028884827683375983,0.07455372079517605,0.86]"
p003,p003_neutral_front,left_cheek,s,0.88,0.88,0.1356219325919783,True,base_or_optimum,"[0.02902922376092001,0.07480852951117,0.88]"
p003,p003_neutral_front,left_cheek,s,0.9,0.9,0.13607421307174666,True,base_or_optimum,"[0.029225597246345138,0.07484294769553222,0.9]"
p003,p003_neutral_front,left_cheek,s,0.92,0.92,0.13665615761011476,True,base_or_optimum,"[0.02948005753952387,0.07462332859522994,0.92]"
p003,p003_neutral_front,left_cheek,s,0.9400000000000001,0.9400000000000001,0.13737479110770032,True,base_or_optimum,"[0.029798572397467155,0.07411747225085005,0.9400000000000001]"
p003,p003_neutral_front,left_cheek,s,0.96,0.96,0.13823580140508526,True,base_or_optimum,"[0.03018657430640059,0.0732973573972659,0.96]"
p003,p003_neutral_front,left_cheek,s,0.98,0.98,0.13924304056442546,True,base_or_optimum,"[0.030648347173752283,0.0721430139503547,0.98]"
p003,p003_neutral_front,left_cheek,s,0.99,0.99,0.13980207900661906,True,refinement_delta_0p005,"[0.030907905609417412,0.07143673083911439,0.99]"
p003,p003_neutral_front,left_cheek,s,0.99125,0.99125,0.13987455857013473,True,refinement_delta_0p005,"[0.030941698289328648,0.07134242969041002,0.99125]"
p003,p003_neutral_front,left_cheek,s,0.9924999999999999,0.9924999999999999,0.13994761512619444,True,refinement_delta_0p005,"[0.03097579209002451,0.071246789352457,0.9924999999999999]"
