subject_id,capture_id,roi,parameter,theta_hat,profile_optimum_logrmse,intervals_delta_0p005,total_span_delta_0p005,envelope_span_delta_0p005,intervals_delta_0p0025,intervals_delta_0p010,boundary_limited,jacobian_singular_values,jacobian_column_correlation,single_spectrum_gate,f_blood,low_blood_signal,profile_gate,base_parameter_reliable
p004,p004_neutral_front,right_cheek,f_blood,0.09999999999999999,0.2238215628906787,"[[0.09062500000000001,0.1]]",0.009374999999999994,0.009374999999999994,"[[0.096,0.1]]","[[0.084,0.1]]",True,"[19.01538011921077,0.7732324077540926,0.34062940644201223]","[[1.0,-0.602032044446048,0.796872855234461],[-0.602032044446048,1.0,-0.4874800835416065],[0.796872855234461,-0.48748008354160643,0.9999999999999999]]",False,0.09999999999999999,False,True,False
p004,p004_neutral_front,right_cheek,s,5.8395605750253584e-21,0.2238215628906787,"[[0.0,0.15875]]",0.15875,0.15875,"[[0.0,0.08]]","[[0.0,0.26]]",True,"[19.01538011921077,0.7732324077540926,0.34062940644201223]","[[1.0,-0.602032044446048,0.796872855234461],[-0.602032044446048,1.0,-0.4874800835416065],[0.796872855234461,-0.48748008354160643,0.9999999999999999]]",False,0.09999999999999999,False,True,False
p005,p005_neutral_front,left_cheek,f_mel,0.049975449266674785,0.1516682513826208,"[[0.04517982789583587,0.0559]]",0.010720172104164129,0.010720172104164129,"[[0.04648772463333739,0.0516]]","[[0.043000000000000003,0.058050000000000004]]",False,"[20.582571090750008,0.954649240967538,0.4509202433046144]","[[0.9999999999999999,-0.2671168641862036,0.7291929649080072],[-0.2671168641862036,1.0,-0.021073844230860336],[0.7291929649080072,-0.021073844230860336,0.9999999999999998]]",False,0.09999999999999999,False,True,False
p005,p005_neutral_front,left_cheek,f_blood,0.09999999999999999,0.15166825138262077,"[[0.07475000000000001,0.1]]",0.025249999999999995,0.025249999999999995,"[[0.08600000000000001,0.1]]","[[0.062,0.1]]",True,"[20.582571090750008,0.954649240967538,0.4509202433046144]","[[0.9999999999999999,-0.2671168641862036,0.7291929649080072],[-0.2671168641862036,1.0,-0.021073844230860336],[0.7291929649080072,-0.021073844230860336,0.9999999999999998]]",False,0.09999999999999999,False,False,False
p005,p005_neutral_front,left_cheek,s,0.6632929160531283,0.15166825138262077,"[[0.41625,0.87]]",0.45375,0.45375,"[[0.5,0.8]]","[[0.3,0.9400000000000001]]",False,"[20.582571090750008,0.954649240967538,0.4509202433046144]","[[0.9999999999999999,-0.2671168641862036,0.7291929649080072],[-0.2671168641862036,1.0,-0.021073844230860336],[0.7291929649080072,-0.021073844230860336,0.9999999999999998]]",False,0.09999999999999999,False,False,False
p005,p005_neutral_front,right_cheek,f_mel,0.08107709406829283,0.24019626551548645,"[[0.07471249999999999,0.08761250000000001]]",0.012900000000000023,0.012900000000000023,"[[0.0774,0.08107709406829283]]","[[0.0731,0.0903]]",False,"[17.998513137486363,0.7403966736151436,0.31748413185634206]","[[1.0,-0.5913279324855505,0.7836629847459669],[-0.5913279324855506,1.0,-0.5344815868109795],[0.7836629847459669,-0.5344815868109795,1.0]]",False,0.09999999999999999,False,True,False
p005,p005_neutral_front,right_cheek,f_blood,0.09999999999999999,0.2401962655154864,"[[0.09125000000000001,0.1]]",0.008749999999999994,0.008749999999999994,"[[0.096,0.1]]","[[0.084,0.1]]",True,"[17.998513137486363,0.7403966736151436,0.31748413185634206]","[[1.0,-0.5913279324855505,0.7836629847459669],[-0.5913279324855506,1.0,-0.5344815868109795],[0.7836629847459669,-0.5344815868109795,1.0]]",False,0.09999999999999999,False,True,False
p005,p005_neutral_front,right_cheek,s,1.191741485522911e-19,0.24019626551548645,"[[0.0,0.15625000000000003]]",0.15625000000000003,0.15625000000000003,"[[0.0,0.08]]","[[0.0,0.26]]",True,"[17.998513137486363,0.7403966736151436,0.31748413185634206]","[[1.0,-0.5913279324855505,0.7836629847459669],[-0.5913279324855506,1.0,-0.5344815868109795],[0.7836629847459669,-0.5344815868109795,1.0]]",False,0.09999999999999999,False,True,False
p006,p006_neutral_front,left_cheek,f_mel,0.04538446076682745,0.1498555063196158,"[[0.0403125,0.054825]]",0.014512499999999998,0.014512499999999998,"[[0.043000000000000003,0.0516]]","[[0.0387,0.0559]]",False,"[21.02888130110943,0.9207909538231218,0.46413525358364904]","[[0.9999999999999999,-0.2990560081802213,0.7393383185245909],[-0.2990560081802213,0.9999999999999998,-0.04622205585027576],[0.7393383185245909,-0.04622205585027576,0.9999999999999998]]",False,0.09741427545943446,False,True,False
p006,p006_neutral_front,left_cheek,f_blood,0.09741427545943446,0.149855506319628,"[[0.05487500000000001,0.1]]",0.045125,0.045125,"[[0.066,0.1]]","[[0.044000000000000004,0.1]]",False,"[21.02888130110943,0.9207909538231218,0.46413525358364904]","[[0.9999999999999999,-0.2990560081802213,0.7393383185245909],[-0.2990560081802213,0.9999999999999998,-0.04622205585027576],[0.7393383185245909,-0.04622205585027576,0.9999999999999998]]",False,0.09741427545943446,False,False,False
p006,p006_neutral_front,left_cheek,s,0.5975396244229534,0.14985550631957445,"[[0.265,0.8150000000000001]]",0.55,0.55,"[[0.38,0.74]]","[[0.08,0.88]]",False,"[21.02888130110943,0.9207909538231218,0.46413525358364904]","[[0.9999999999999999,-0.2990560081802213,0.7393383185245909],[-0.2990560081802213,0.9999999999999998,-0.04622205585027576],[0.7393383185245909,-0.04622205585027576,0.9999999999999998]]",False,0.09741427545943446,False,False,False
p006,p006_neutral_front,right_cheek,f_mel,0.08522267763837209,0.25461384722827113,"[[0.0783778347047965,0.09191250000000001]]",0.013534665295203502,0.013534665295203502,"[[0.08131133881918605,0.08600000000000001]]","[[0.0774,0.0946]]",False,"[17.693301571149515,0.7301893557506802,0.31043583343928155]","[[1.0,-0.5860696550014886,0.7774328700675718],[-0.5860696550014886,1.0,-0.5486369181075608],[0.7774328700675719,-0.5486369181075607,1.0]]",False,0.09999999999999999,False,True,False
p006,p006_neutral_front,right_cheek,f_blood,0.09999999999999999,0.25461384722827113,"[[0.091875,0.1]]",0.008125000000000007,0.008125000000000007,"[[0.096,0.1]]","[[0.08600000000000001,0.1]]",True,"[17.693301571149515,0.7301893557506802,0.31043583343928155]","[[1.0,-0.5860696550014886,0.7774328700675718],[-0.5860696550014886,1.0,-0.5486369181075608],[0.7774328700675719,-0.5486369181075607,1.0]]",False,0.09999999999999999,False,True,False
p006,p006_neutral_front,right_cheek,s,5.0398315337442054e-20,0.2546138472282711,"[[0.0,0.12375]]",0.12375,0.12375,"[[0.0,0.06]]","[[0.0,0.22]]",True,"[17.693301571149515,0.7301893557506802,0.31043583343928155]","[[1.0,-0.5860696550014886,0.7774328700675718],[-0.5860696550014886,1.0,-0.5486369181075608],[0.7774328700675719,-0.5486369181075607,1.0]]",False,0.09999999999999999,False,True,False
p007,p007_neutral_front,left_cheek,f_mel,0.050828699116405106,0.1695604671985822,"[[0.04593576216865191,0.0585875]]",0.01265173783134809,0.01265173783134809,"[[0.050828699116405106,0.0516]]","[[0.04495717477910128,0.060200000000000004]]",False,"[20.486092313849447,0.9076754190615486,0.4398951808728046]","[[1.0,-0.33198539848593267,0.741365169225742],[-0.3319853984859327,0.9999999999999998,-0.10267391662852902],[0.7413651692257419,-0.10267391662852902,0.9999999999999998]]",False,0.09999999999999999,False,True,False
p007,p007_neutral_front,left_cheek,f_blood,0.09999999999999999,0.1695604671985822,"[[0.065375,0.1]]",0.034625,0.034625,"[[0.07800000000000001,0.1]]","[[0.05,0.1]]",True,"[20.486092313849447,0.9076754190615486,0.4398951808728046]","[[1.0,-0.33198539848593267,0.741365169225742],[-0.3319853984859327,0.9999999999999998,-0.10267391662852902],[0.7413651692257419,-0.10267391662852902,0.9999999999999998]]",False,0.09999999999999999,False,False,False
p007,p007_neutral_front,left_cheek,s,0.5804881852578935,0.1695604671985822,"[[0.28250000000000003,0.8125]]",0.53,0.53,"[[0.4,0.74]]","[[0.1,0.88]]",False,"[20.486092313849447,0.9076754190615486,0.4398951808728046]","[[1.0,-0.33198539848593267,0.741365169225742],[-0.3319853984859327,0.9999999999999998,-0.10267391662852902],[0.7413651692257419,-0.10267391662852902,0.9999999999999998]]",False,0.09999999999999999,False,False,False
p007,p007_neutral_front,right_cheek,f_mel,0.1014459510009854,0.3000363055204391,"[[0.09352500000000001,0.10965]]",0.016124999999999987,0.016124999999999987,"[[0.1014459510009854,0.1032]]","[[0.0903,0.1118]]",False,"[16.569149812863287,0.6911357345121624,0.28409181453231086]","[[1.0,-0.5545724813884317,0.7413952000571288],[-0.5545724813884317,1.0,-0.600774831506767],[0.7413952000571288,-0.6007748315067671,0.9999999999999999]]",False,0.09999999999999999,False,True,False
p007,p007_neutral_front,right_cheek,f_blood,0.09999999999999999,0.300036305520439,"[[0.091875,0.1]]",0.008125000000000007,0.008125000000000007,"[[0.096,0.1]]","[[0.08600000000000001,0.1]]",True,"[16.569149812863287,0.6911357345121624,0.28409181453231086]","[[1.0,-0.5545724813884317,0.7413952000571288],[-0.5545724813884317,1.0,-0.600774831506767],[0.7413952000571288,-0.6007748315067671,0.9999999999999999]]",False,0.09999999999999999,False,True,False
p007,p007_neutral_front,right_cheek,s,5.691821624587216e-20,0.30003630552043886,"[[0.0,0.11124999999999999]]",0.11124999999999999,0.11124999999999999,"[[0.0,0.04]]","[[0.0,0.2]]",True,"[16.569149812863287,0.6911357345121624,0.28409181453231086]","[[1.0,-0.5545724813884317,0.7413952000571288],[-0.5545724813884317,1.0,-0.600774831506767],[0.7413952000571288,-0.6007748315067671,0.9999999999999999]]",False,0.09999999999999999,False,True,False
p008,p008_neutral_front,left_cheek,f_mel,0.030387735366900436,0.2346857957523977,"[[0.025262499999999997,0.03547499999999999]]",0.010212499999999996,0.010212499999999996,"[[0.030387735366900436,0.030387735366900436]]","[[0.02365,0.03655]]",False,"[22.391232586853487,0.8704395075529998,0.41312662458261384]","[[1.0,-0.5888363827798707,0.7918810025824339],[-0.5888363827798707,1.0,-0.3345860294366797],[0.7918810025824339,-0.33458602943667975,1.0]]",False,0.09999999999999999,False,True,False
p008,p008_neutral_front,left_cheek,f_blood,0.09999999999999999,0.2346857957523977,"[[0.09425000000000001,0.1]]",0.005749999999999991,0.005749999999999991,"[[0.098,0.1]]","[[0.09000000000000001,0.1]]",True,"[22.391232586853487,0.8704395075529998,0.41312662458261384]","[[1.0,-0.5888363827798707,0.7918810025824339],[-0.5888363827798707,1.0,-0.3345860294366797],[0.7918810025824339,-0.33458602943667975,1.0]]",False,0.09999999999999999,False,True,False
p008,p008_neutral_front,left_cheek,s,7.576595342810391e-21,0.2346857957523977,"[[0.0,0.09625]]",0.09625,0.09625,"[[0.0,0.04]]","[[0.0,0.18]]",True,"[22.391232586853487,0.8704395075529998,0.41312662458261384]","[[1.0,-0.5888363827798707,0.7918810025824339],[-0.5888363827798707,1.0,-0.3345860294366797],[0.7918810025824339,-0.33458602943667975,1.0]]",False,0.09999999999999999,False,True,False
p008,p008_neutral_front,right_cheek,f_mel,0.04103904300829183,0.30685925730854774,"[[0.03522988037603648,0.0473]]",0.012070119623963524,0.012070119623963524,"[[0.03771952150414591,0.043000000000000003]]","[[0.0344,0.049449999999999994]]",False,"[21.359817815137312,0.8425272516381737,0.3917622208107726]","[[1.0,-0.5993807492584124,0.7986776852921614],[-0.5993807492584124,1.0,-0.3807924910288412],[0.7986776852921613,-0.3807924910288412,1.0]]",False,0.09999999999999999,False,True,False
p008,p008_neutral_front,right_cheek,f_blood,0.09999999999999999,0.30685925730854763,"[[0.09475,0.1]]",0.005250000000000005,0.005250000000000005,"[[0.098,0.1]]","[[0.09000000000000001,0.1]]",True,"[21.359817815137312,0.8425272516381737,0.3917622208107726]","[[1.0,-0.5993807492584124,0.7986776852921614],[-0.5993807492584124,1.0,-0.3807924910288412],[0.7986776852921613,-0.3807924910288412,1.0]]",False,0.09999999999999999,False,True,False
p008,p008_neutral_front,right_cheek,s,1.0415075448528935e-21,0.30685925730854763,"[[0.0,0.0675]]",0.0675,0.0675,"[[0.0,0.02]]","[[0.0,0.12]]",True,"[21.359817815137312,0.8425272516381737,0.3917622208107726]","[[1.0,-0.5993807492584124,0.7986776852921614],[-0.5993807492584124,1.0,-0.3807924910288412],[0.7986776852921613,-0.3807924910288412,1.0]]",False,0.09999999999999999,False,True,False
p009,p009_neutral_front,left_cheek,f_mel,0.06302485166226676,0.18574359470462443,"[[0.058050000000000004,0.06807810645778335]]",0.010028106457783348,0.010028106457783348,"[[0.060200000000000004,0.06591242583113338]]","[[0.0559,0.0688]]",False,"[19.418094750849633,0.7857534268991914,0.3496445622229145]","[[0.9999999999999999,-0.6039510800938016,0.7995472639876138],[-0.6039510800938016,1.0,-0.4689693294481929],[0.7995472639876137,-0.4689693294481929,1.0]]",False,0.09999999999999999,False,True,False
p009,p009_neutral_front,left_cheek,f_blood,0.09999999999999999,0.18574359470462443,"[[0.089875,0.1]]",0.010125000000000009,0.010125000000000009,"[[0.096,0.1]]","[[0.08200000000000002,0.1]]",True,"[19.418094750849633,0.7857534268991914,0.3496445622229145]","[[0.9999999999999999,-0.6039510800938016,0.7995472639876138],[-0.6039510800938016,1.0,-0.4689693294481929],[0.7995472639876137,-0.4689693294481929,1.0]]",False,0.09999999999999999,False,False,False
p009,p009_neutral_front,left_cheek,s,5.4360068404320113e-17,0.18574359470462443,"[[0.0,0.29874999999999996]]",0.29874999999999996,0.29874999999999996,"[[0.0,0.2]]","[[0.0,0.42]]",True,"[19.418094750849633,0.7857534268991914,0.3496445622229145]","[[0.9999999999999999,-0.6039510800938016,0.7995472639876138],[-0.6039510800938016,1.0,-0.4689693294481929],[0.7995472639876137,-0.4689693294481929,1.0]]",False,0.09999999999999999,False,False,False
p009,p009_neutral_front,right_cheek,f_mel,0.10291203449310438,0.3402796076364384,"[[0.0946,0.1118]]",0.017199999999999993,0.017199999999999993,"[[0.10291203449310438,0.1032]]","[[0.09245,0.11395000000000001]]",False,"[16.47288269978344,0.6876822631282764,0.28180806086068777]","[[1.0,-0.5506988021242988,0.7370677808451552],[-0.5506988021242988,1.0,-0.6052296967278583],[0.7370677808451551,-0.6052296967278583,1.0]]",False,0.09999999999999999,False,True,False
p009,p009_neutral_front,right_cheek,f_blood,0.09999999999999999,0.3402796076364381,"[[0.09300000000000001,0.1]]",0.006999999999999992,0.006999999999999992,"[[0.098,0.1]]","[[0.08800000000000001,0.1]]",True,"[16.47288269978344,0.6876822631282764,0.28180806086068777]","[[1.0,-0.5506988021242988,0.7370677808451552],[-0.5506988021242988,1.0,-0.6052296967278583],[0.7370677808451551,-0.6052296967278583,1.0]]",False,0.09999999999999999,False,True,False
p009,p009_neutral_front,right_cheek,s,7.806664277379185e-21,0.34027960763643816,"[[0.0,0.0975]]",0.0975,0.0975,"[[0.0,0.04]]","[[0.0,0.18]]",True,"[16.47288269978344,0.6876822631282764,0.28180806086068777]","[[1.0,-0.5506988021242988,0.7370677808451552],[-0.5506988021242988,1.0,-0.6052296967278583],[0.7370677808451551,-0.6052296967278583,1.0]]",False,0.09999999999999999,False,True,False
p010,p010_neutral_front,left_cheek,f_mel,0.03128309604133775,0.14170849283509343,"[[0.027170774010334436,0.036012499999999996]]",0.00884172598966556,0.00884172598966556,"[[0.028541548020668873,0.0344]]","[[0.0258,0.0387]]",False,"[22.410354826659553,1.2085239211037413,0.5080320141192356]","[[1.0,-0.033152639057808575,0.6815631619710261],[-0.03315263905780858,1.0,0.30275265592188283],[0.681563161971026,0.3027526559218828,1.0]]",False,0.09999999999999999,False,True,False
p010,p010_neutral_front,left_cheek,f_blood,0.09999999999999999,0.14170849283509343,"[[0.08125,0.1]]",0.018750000000000003,0.018750000000000003,"[[0.09000000000000001,0.1]]","[[0.07,0.1]]",True,"[22.410354826659553,1.2085239211037413,0.5080320141192356]","[[1.0,-0.033152639057808575,0.6815631619710261],[-0.03315263905780858,1.0,0.30275265592188283],[0.681563161971026,0.3027526559218828,1.0]]",False,0.09999999999999999,False,False,False
p010,p010_neutral_front,left_cheek,s,0.8666623295404517,0.14170849283509343,"[[0.67875,1.0]]",0.32125000000000004,0.32125000000000004,"[[0.74,0.96]]","[[0.6,1.0]]",False,"[22.410354826659553,1.2085239211037413,0.5080320141192356]","[[1.0,-0.033152639057808575,0.6815631619710261],[-0.03315263905780858,1.0,0.30275265592188283],[0.681563161971026,0.3027526559218828,1.0]]",False,0.09999999999999999,False,False,False
p010,p010_neutral_front,right_cheek,f_mel,0.06001884381562986,0.23118665214950976,"[[0.054230888692384335,0.0661125]]",0.01188161130761567,0.01188161130761567,"[[0.05580942190781493,0.060200000000000004]]","[[0.0516,0.06665000000000001]]",False,"[19.66934244110732,0.7934306355808346,0.3552230353305825]","[[0.9999999999999999,-0.6045918217986939,0.8006204800246475],[-0.6045918217986939,1.0,-0.4574576180788798],[0.8006204800246476,-0.45745761807887986,1.0]]",False,0.09999999999999999,False,True,False
p010,p010_neutral_front,right_cheek,f_blood,0.09999999999999999,0.23118665214950976,"[[0.09212500000000001,0.1]]",0.007874999999999993,0.007874999999999993,"[[0.096,0.1]]","[[0.08600000000000001,0.1]]",True,"[19.66934244110732,0.7934306355808346,0.3552230353305825]","[[0.9999999999999999,-0.6045918217986939,0.8006204800246475],[-0.6045918217986939,1.0,-0.4574576180788798],[0.8006204800246476,-0.45745761807887986,1.0]]",False,0.09999999999999999,False,True,False
p010,p010_neutral_front,right_cheek,s,3.197641338133871e-20,0.23118665214950976,"[[0.0,0.2]]",0.2,0.2,"[[0.0,0.1]]","[[0.0,0.32]]",True,"[19.66934244110732,0.7934306355808346,0.3552230353305825]","[[0.9999999999999999,-0.6045918217986939,0.8006204800246475],[-0.6045918217986939,1.0,-0.4574576180788798],[0.8006204800246476,-0.45745761807887986,1.0]]",False,0.09999999999999999,False,True,False
p011,p011_neutral_front,left_cheek,f_mel,0.018949137628689584,0.13031016469504145,"[[0.0112875,0.0263375]]",0.01505,0.01505,"[[0.0172,0.018949137628689584]]","[[0.0086,0.02795]]",False,"[24.88435716273879,0.9011717672390843,0.8167468505217528]","[[0.9999999999999999,0.11176132603226685,0.6368811574079453],[0.11176132603226685,1.0,0.3836838777470838],[0.6368811574079453,0.38368387774708373,1.0]]",False,0.058979497137705596,False,True,False
p011,p011_neutral_front,left_cheek,f_blood,0.058979497137705596,0.13031016469505394,"[[0.0355,0.09262500000000001]]",0.057125000000000016,0.057125000000000016,"[[0.042,0.08000000000000002]]","[[0.028000000000000004,0.1]]",False,"[24.88435716273879,0.9011717672390843,0.8167468505217528]","[[0.9999999999999999,0.11176132603226685,0.6368811574079453],[0.11176132603226685,1.0,0.3836838777470838],[0.6368811574079453,0.38368387774708373,1.0]]",False,0.058979497137705596,False,False,False
p011,p011_neutral_front,left_cheek,s,0.7891973160818916,0.13031016469501744,"[[0.52125,0.99]]",0.46875,0.46875,"[[0.62,0.92]]","[[0.38,1.0]]",False,"[24.88435716273879,0.9011717672390843,0.8167468505217528]","[[0.9999999999999999,0.11176132603226685,0.6368811574079453],[0.11176132603226685,1.0,0.3836838777470838],[0.6368811574079453,0.38368387774708373,1.0]]",False,0.058979497137705596,False,False,False
p011,p011_neutral_front,right_cheek,f_mel,0.01767255580728007,0.1425988881387047,"[[0.013975,0.0258]]",0.011825,0.011825,"[[0.015050000000000001,0.01767255580728007]]","[[0.0129,0.02795]]",False,"[23.69405936827557,0.9962836053241123,0.5114879689278977]","[[1.0,-0.24532220661965184,0.7247976918792792],[-0.24532220661965184,0.9999999999999998,0.0940116460621707],[0.7247976918792792,0.0940116460621707,1.0]]",False,0.09999999999999999,False,True,False
p011,p011_neutral_front,right_cheek,f_blood,0.09999999999999999,0.1425988881387047,"[[0.06237500000000001,0.1]]",0.037625,0.037625,"[[0.074,0.1]]","[[0.05,0.1]]",True,"[23.69405936827557,0.9962836053241123,0.5114879689278977]","[[1.0,-0.24532220661965184,0.7247976918792792],[-0.24532220661965184,0.9999999999999998,0.0940116460621707],[0.7247976918792792,0.0940116460621707,1.0]]",False,0.09999999999999999,False,False,False
p011,p011_neutral_front,right_cheek,s,0.5875864743614402,0.1425988881387047,"[[0.31375,0.785]]",0.47125000000000006,0.47125000000000006,"[[0.42,0.72]]","[[0.18,0.86]]",False,"[23.69405936827557,0.9962836053241123,0.5114879689278977]","[[1.0,-0.24532220661965184,0.7247976918792792],[-0.24532220661965184,0.9999999999999998,0.0940116460621707],[0.7247976918792792,0.0940116460621707,1.0]]",False,0.09999999999999999,False,False,False
p012,p012_neutral_front,left_cheek,f_mel,0.022958914973478926,0.12882892219151343,"[[0.015587500000000002,0.0306375]]",0.01505,0.01505,"[[0.022958914973478926,0.0258]]","[[0.015050000000000001,0.03225]]",False,"[23.959738075530144,0.913761351106468,0.676350043159508]","[[0.9999999999999998,-0.041977021783655255,0.6923237548664999],[-0.041977021783655255,1.0,0.26085698342494656],[0.6923237548664999,0.2608569834249466,1.0]]",False,0.07115120145194417,False,True,False
p012,p012_neutral_front,left_cheek,f_blood,0.07115120145194417,0.12882892219152434,"[[0.043500000000000004,0.1]]",0.0565,0.0565,"[[0.052000000000000005,0.096]]","[[0.036,0.1]]",False,"[23.959738075530144,0.913761351106468,0.676350043159508]","[[0.9999999999999998,-0.041977021783655255,0.6923237548664999],[-0.041977021783655255,1.0,0.26085698342494656],[0.6923237548664999,0.2608569834249466,1.0]]",False,0.07115120145194417,False,False,False
p012,p012_neutral_front,left_cheek,s,0.6888051562233831,0.12882892219149167,"[[0.41000000000000003,0.8912500000000001]]",0.48125000000000007,0.48125000000000007,"[[0.52,0.8200000000000001]]","[[0.26,0.96]]",False,"[23.959738075530144,0.913761351106468,0.676350043159508]","[[0.9999999999999998,-0.041977021783655255,0.6923237548664999],[-0.041977021783655255,1.0,0.26085698342494656],[0.6923237548664999,0.2608569834249466,1.0]]",False,0.07115120145194417,False,False,False
p012,p012_neutral_front,right_cheek,f_mel,0.05525069451858475,0.22428456830826637,"[[0.0499875,0.06073750000000001]]",0.01075000000000001,0.01075000000000001,"[[0.0516,0.05525069451858475]]","[[0.0473,0.06235000000000001]]",False,"[20.076923325312897,0.8056697229080697,0.36419466841504994]","[[1.0,-0.6047966993818066,0.8015019019997841],[-0.6047966993818066,1.0,-0.4388473648102744],[0.8015019019997841,-0.4388473648102744,1.0]]",False,0.09999999999999999,False,True,False
p012,p012_neutral_front,right_cheek,f_blood,0.09999999999999999,0.22428456830826637,"[[0.09225000000000001,0.1]]",0.007749999999999993,0.007749999999999993,"[[0.098,0.1]]","[[0.08600000000000001,0.1]]",True,"[20.076923325312897,0.8056697229080697,0.36419466841504994]","[[1.0,-0.6047966993818066,0.8015019019997841],[-0.6047966993818066,1.0,-0.4388473648102744],[0.8015019019997841,-0.4388473648102744,1.0]]",False,0.09999999999999999,False,True,False
