model,split,pair_type,channel,metric,n,mean,median,p25,p75,p95,bootstrap95ci
Baseline,Camera-OOD,light,H,masked_mae_drift,500,0.1114579544737935,0.0576395895332098,0.026640834286808968,0.11972630582749844,0.4571176230907435,"[0.09932245170942042, 0.12454298572179395]"
Baseline,Camera-OOD,light,H,masked_rmse_drift,500,0.1156572609981522,0.06438817828893661,0.03292743116617203,0.1238191295415163,0.45914297550916616,"[0.10273680000221357, 0.12941168738047126]"
Baseline,Camera-OOD,light,M,masked_mae_drift,500,0.016834063749294727,0.013435026165097952,0.009606198407709599,0.020303260069340467,0.03945133816450834,"[0.01582957369321957, 0.01785060325752711]"
Baseline,Camera-OOD,light,M,masked_rmse_drift,500,0.01958686935156584,0.016581973060965538,0.012640363769605756,0.022536154370754957,0.041590894944965824,"[0.018590209504263475, 0.020592803579149766]"
Baseline,ID Test,appearance,H,masked_mae_drift,1000,0.019445531428558753,0.013691542204469442,0.008163738995790482,0.024044486228376627,0.052766051143407815,"[0.018363485781213967, 0.02059276297452743]"
Baseline,ID Test,appearance,H,masked_rmse_drift,1000,0.023269392984104343,0.017866197042167187,0.011385020334273577,0.028939381707459688,0.05712046995759002,"[0.02216503961388953, 0.02455878967356402]"
Baseline,ID Test,appearance,M,masked_mae_drift,1000,0.006208512184966822,0.005710685160011053,0.0040981350466609,0.007622044300660491,0.011787321232259272,"[0.006002822382024897, 0.006418772928450198]"
Baseline,ID Test,appearance,M,masked_rmse_drift,1000,0.00990086410776712,0.009306592866778374,0.006574074388481677,0.012155856937170029,0.01866745948791504,"[0.009625059957202756, 0.01022582016524102]"
Baseline,ID Test,camera,H,masked_mae_drift,1000,0.0739334058566019,0.04618243873119354,0.02042452897876501,0.09878721460700035,0.22671792730689042,"[0.0687905311769573, 0.07905876441729487]"
Baseline,ID Test,camera,H,masked_rmse_drift,1000,0.0770590270801913,0.049239153042435646,0.0241323160007596,0.10126372054219246,0.22772250026464438,"[0.07229553128795232, 0.08239917566900258]"
Baseline,ID Test,camera,M,masked_mae_drift,1000,0.015596525898319669,0.013119743205606937,0.008673347532749176,0.020437878090888262,0.03386091291904449,"[0.015007489810092376, 0.01623073991846177]"
Baseline,ID Test,camera,M,masked_rmse_drift,1000,0.017499424971232656,0.015438109170645475,0.010595862288028002,0.022382313385605812,0.03543360475450752,"[0.016879827520284742, 0.018116189334689985]"
Baseline,ID Test,joint,H,masked_mae_drift,1000,0.11901272893790156,0.063400749117136,0.029031834565103054,0.13863519579172134,0.47320566624402993,"[0.11028736303381155, 0.12831932563555892]"
Baseline,ID Test,joint,H,masked_rmse_drift,1000,0.1231777426302433,0.06851336732506752,0.03470077458769083,0.1414223648607731,0.4737113684415816,"[0.11449613658209565, 0.13233070567892866]"
Baseline,ID Test,joint,M,masked_mae_drift,1000,0.01950196989858523,0.015197927597910166,0.010660782689228654,0.024589103646576405,0.04437384605407713,"[0.018644876720538016, 0.020315358703484526]"
Baseline,ID Test,joint,M,masked_rmse_drift,1000,0.022812939187511802,0.019405056722462177,0.014142322819679976,0.02846939954906702,0.046874986030161374,"[0.02196992421770701, 0.023638547524594468]"
Baseline,ID Test,light,H,masked_mae_drift,1000,0.10272605336643756,0.05365496128797531,0.02599265007302165,0.11405869759619236,0.41587969064712516,"[0.09461958361156285, 0.11080990480130422]"
Baseline,ID Test,light,H,masked_rmse_drift,1000,0.10686225950345397,0.05817088671028614,0.031153919640928507,0.11756245046854019,0.41684350669383985,"[0.09856927096988075, 0.11512311197081582]"
Baseline,ID Test,light,M,masked_mae_drift,1000,0.016342093016253785,0.013347189407795668,0.009439475601539016,0.020085467491298914,0.03681551311165093,"[0.01571076552622253, 0.016972635916044237]"
Baseline,ID Test,light,M,masked_rmse_drift,1000,0.019172952826716938,0.016906846314668655,0.012382524786517024,0.0231557572260499,0.03824612423777575,"[0.018538699296771665, 0.01985870965902286]"
Baseline,Joint-OOD,appearance,H,masked_mae_drift,500,0.01969559237896465,0.014139499515295029,0.008902037050575018,0.022943138610571623,0.05149094462394713,"[0.017983250369073358, 0.02150547363614896]"
Baseline,Joint-OOD,appearance,H,masked_rmse_drift,500,0.023408657249063252,0.018153822980821133,0.012421230785548687,0.027309678960591555,0.05637693721801042,"[0.02164700395085383, 0.02524210644105915]"
Baseline,Joint-OOD,appearance,M,masked_mae_drift,500,0.006152599938213825,0.005652898922562599,0.004309267969802022,0.0074363513849675655,0.011579162767156943,"[0.005876906304579461, 0.006419794455735246]"
Baseline,Joint-OOD,appearance,M,masked_rmse_drift,500,0.009724363636458292,0.00913771241903305,0.006635915604420006,0.011975748697295785,0.01837105024605989,"[0.009349793925700942, 0.010135635706211905]"
Baseline,Joint-OOD,camera,H,masked_mae_drift,500,0.0557871971501736,0.03336604870855808,0.015231985365971923,0.0747325848788023,0.173930626362562,"[0.0505073553368944, 0.062089232961906236]"
Baseline,Joint-OOD,camera,H,masked_rmse_drift,500,0.05855188350589015,0.03762585669755936,0.018319588620215654,0.07583867572247982,0.17698171660304063,"[0.05317175496841665, 0.06475581088594626]"
Baseline,Joint-OOD,camera,M,masked_mae_drift,500,0.01341988472698722,0.009104436729103327,0.004948207642883062,0.018185028806328773,0.03934317100793121,"[0.012377417779379174, 0.0144840966650052]"
Baseline,Joint-OOD,camera,M,masked_rmse_drift,500,0.014974062020308338,0.011056317947804928,0.00582760339602828,0.020196300465613604,0.04090518634766338,"[0.013892004759426344, 0.016058709640381856]"
Baseline,Joint-OOD,joint,H,masked_mae_drift,500,0.3126453921664506,0.3034791499376297,0.1359568051993847,0.4555245712399483,0.6601005941629408,"[0.29399778806897814, 0.329996753251832]"
Baseline,Joint-OOD,joint,H,masked_rmse_drift,500,0.3160702196508646,0.3061746507883072,0.1402445025742054,0.46090462803840637,0.6603644907474515,"[0.2983385876265354, 0.33423593610338864]"
Baseline,Joint-OOD,joint,M,masked_mae_drift,500,0.06469192106509582,0.06491994857788086,0.04119613114744425,0.0840314831584692,0.11494416482746594,"[0.06212334212530404, 0.06725993206481216]"
Baseline,Joint-OOD,joint,M,masked_rmse_drift,500,0.06645774313434959,0.06675296276807785,0.04299958795309067,0.08626501448452473,0.11597167737781995,"[0.0637661977442447, 0.06931259744553826]"
Baseline,Joint-OOD,light,H,masked_mae_drift,500,0.2571657164990902,0.2175903022289276,0.10725380666553974,0.36141911894083023,0.6292186111211776,"[0.24045505856787786, 0.27356138082547116]"
Baseline,Joint-OOD,light,H,masked_rmse_drift,500,0.26053077436424793,0.22132337093353271,0.11200466379523277,0.3627988025546074,0.6300320118665694,"[0.2447816683988087, 0.27718077694252136]"
Baseline,Joint-OOD,light,M,masked_mae_drift,500,0.051643011894077065,0.05129403620958328,0.035312351770699024,0.06761190295219421,0.09125595055520531,"[0.04958750773998909, 0.05371261354265734]"
Baseline,Joint-OOD,light,M,masked_rmse_drift,500,0.05320714709162712,0.053211748600006104,0.03673332370817661,0.069320909678936,0.09310973659157752,"[0.05100521779838018, 0.05553086438144091]"
Baseline,Light-OOD,appearance,H,masked_mae_drift,500,0.019636149132391437,0.014356257859617472,0.00909892306663096,0.02401655726134777,0.054469157569110374,"[0.018165998041437707, 0.02111753509286791]"
Baseline,Light-OOD,appearance,H,masked_rmse_drift,500,0.0234386505036382,0.018691509030759335,0.01284340932033956,0.028849313035607338,0.05700288955122222,"[0.022011738787722425, 0.02501474626447307]"
Baseline,Light-OOD,appearance,M,masked_mae_drift,500,0.0064943776049185544,0.005863669561222196,0.004250980098731816,0.007940385024994612,0.012365366844460352,"[0.006163579839945305, 0.0068415918254118874]"
Baseline,Light-OOD,appearance,M,masked_rmse_drift,500,0.01009428165317513,0.00929045770317316,0.006698059034533799,0.012743286788463593,0.01902234107255935,"[0.00963689847040223, 0.010545119006105231]"
Baseline,Light-OOD,camera,H,masked_mae_drift,500,0.07230432026658673,0.04644232988357544,0.019255884923040867,0.09126237966120243,0.24504189342260332,"[0.06581804874453227, 0.07889194661194342]"
Baseline,Light-OOD,camera,H,masked_rmse_drift,500,0.07539037984947208,0.05051648057997227,0.022824831306934357,0.09491748549044132,0.24620303586125333,"[0.06896157598069404, 0.08199190596963453]"
Baseline,Light-OOD,camera,M,masked_mae_drift,500,0.015117178469954523,0.012996191158890724,0.00778671121224761,0.019561154767870903,0.03584242574870585,"[0.014301765990110288, 0.016030397212207025]"
Baseline,Light-OOD,camera,M,masked_rmse_drift,500,0.01696584330277983,0.0156909991055727,0.009995359694585204,0.021451476961374283,0.036842054687440395,"[0.01613246347901295, 0.017741787478662445]"
Baseline,Light-OOD,joint,H,masked_mae_drift,500,0.27004815968684853,0.2314775362610817,0.10817982442677021,0.3837457075715065,0.7065757185220716,"[0.2521744136503898, 0.2862510622318369]"
Baseline,Light-OOD,joint,H,masked_rmse_drift,500,0.2738219242077321,0.235056072473526,0.11375437490642071,0.3867453783750534,0.7068843722343442,"[0.25821517735109667, 0.2912386429043952]"
Baseline,Light-OOD,joint,M,masked_mae_drift,500,0.0518067431608215,0.05134347453713417,0.032986195757985115,0.06967170163989067,0.09686981700360772,"[0.049743027439527215, 0.054034376177215016]"
Baseline,Light-OOD,joint,M,masked_rmse_drift,500,0.053862084213644267,0.053519194945693016,0.0354221323505044,0.0713077113032341,0.09772203043103213,"[0.05155310773856472, 0.0563490909040207]"
Baseline,Light-OOD,light,H,masked_mae_drift,500,0.2755797930248082,0.23991931974887848,0.12364274263381958,0.37787364423274994,0.7145346462726591,"[0.2581308440365828, 0.2916604601638392]"
Baseline,Light-OOD,light,H,masked_rmse_drift,500,0.27901389060169457,0.24201130121946335,0.13065724819898605,0.3803900480270386,0.714744073152542,"[0.2630652811748907, 0.29481044677775353]"
Baseline,Light-OOD,light,M,masked_mae_drift,500,0.050709446809254585,0.04990732483565807,0.034707616083323956,0.0657552182674408,0.09108280278742313,"[0.04882245445309672, 0.05271191803702386]"
Baseline,Light-OOD,light,M,masked_rmse_drift,500,0.05241957874409854,0.05144963413476944,0.036479007452726364,0.06733173318207264,0.09271658174693582,"[0.0502089942042483, 0.05448325262472499]"
Proposed,Camera-OOD,appearance,H,masked_mae_drift,500,0.020369774861494078,0.01305099343881011,0.007409678888507187,0.02340279659256339,0.0646124720573425,"[0.01826440438560676, 0.022450407982408067]"
Proposed,Camera-OOD,appearance,H,masked_rmse_drift,500,0.02461115588620305,0.01708035822957754,0.010545854456722736,0.02774122031405568,0.07032540068030356,"[0.022485570084105712, 0.026908498891536146]"
Proposed,Camera-OOD,appearance,M,masked_mae_drift,500,0.00637229780596681,0.005983102833852172,0.004427739535458386,0.00770369719248265,0.011794604174792764,"[0.006108509852591669, 0.0066255901946569795]"
Proposed,Camera-OOD,appearance,M,masked_rmse_drift,500,0.010188752019312233,0.009812520816922188,0.0072579929837957025,0.012478188844397664,0.018444860260933636,"[0.00980783191267983, 0.010579497457132674]"
Proposed,Camera-OOD,camera,H,masked_mae_drift,500,0.054780106629943474,0.0320376455783844,0.015354885254055262,0.059968930669128895,0.17288493290543544,"[0.04814340681496542, 0.06253852149561862]"
Proposed,Camera-OOD,camera,H,masked_rmse_drift,500,0.05843487079488113,0.03528863750398159,0.018210735637694597,0.06385527737438679,0.18029206320643376,"[0.05139985770395724, 0.06614454853570786]"
Proposed,Camera-OOD,camera,M,masked_mae_drift,500,0.011833876364282332,0.008608408737927675,0.004838261287659407,0.01609648112207651,0.029729014821350562,"[0.010933346103009535, 0.012769946031973813]"
Proposed,Camera-OOD,camera,M,masked_rmse_drift,500,0.013418615862843581,0.010781373362988234,0.006247171899303794,0.018093290738761425,0.03149711694568395,"[0.012508062087011057, 0.01427218511828105]"
Proposed,Camera-OOD,joint,H,masked_mae_drift,500,0.11477608368359506,0.051488397642970085,0.025442199781537056,0.14763662219047546,0.432601448893547,"[0.1036254188412102, 0.12724152907291428]"
Proposed,Camera-OOD,joint,H,masked_rmse_drift,500,0.12059667338710278,0.05649539828300476,0.031140658538788557,0.15066556632518768,0.4369181543588638,"[0.10811175833488815, 0.1336254060274223]"
Proposed,Camera-OOD,joint,M,masked_mae_drift,500,0.018577593358699233,0.015922917053103447,0.010664973640814424,0.02389788255095482,0.041106117889285074,"[0.017719762586534488, 0.019518570895353332]"
Proposed,Camera-OOD,joint,M,masked_rmse_drift,500,0.02174400053685531,0.019781348295509815,0.01381177781149745,0.027350333984941244,0.043091112747788415,"[0.020825882293097675, 0.022681312425702344]"
Proposed,Camera-OOD,light,H,masked_mae_drift,500,0.09040889392979443,0.038234809413552284,0.019699066411703825,0.08803248032927513,0.4040979847311971,"[0.07970203311291989, 0.10186887087640352]"
Proposed,Camera-OOD,light,H,masked_rmse_drift,500,0.09518847997672855,0.04499835520982742,0.02497152704745531,0.09332525730133057,0.4056042373180388,"[0.08364127479803282, 0.1071801432991866]"
Proposed,Camera-OOD,light,M,masked_mae_drift,500,0.015127306640613824,0.012182617094367743,0.008773296140134335,0.018302572425454855,0.034931696578860236,"[0.01425615811541211, 0.016085458922025283]"
Proposed,Camera-OOD,light,M,masked_rmse_drift,500,0.017803282646927984,0.015285575296729803,0.011292286915704608,0.02156273601576686,0.03634008131921285,"[0.01693189531856915, 0.018655063874018378]"
Proposed,ID Test,appearance,H,masked_mae_drift,1000,0.02040992653835565,0.013140895869582891,0.007353557622991502,0.024856647476553917,0.05916843358427281,"[0.01916041134863626, 0.021783706982177683]"
Proposed,ID Test,appearance,H,masked_rmse_drift,1000,0.02456262406287715,0.017149762250483036,0.010583436582237482,0.029256598092615604,0.06849304102361202,"[0.023188198961541638, 0.026078909435047534]"
Proposed,ID Test,appearance,M,masked_mae_drift,1000,0.006259239377453923,0.005836710333824158,0.004267327021807432,0.007667367463000119,0.01192001919262111,"[0.006080466029854142, 0.006450860585365445]"
Proposed,ID Test,appearance,M,masked_rmse_drift,1000,0.009952923250151798,0.009675017558038235,0.006744235288351774,0.012635728809982538,0.01774403741583228,"[0.009701191224783542, 0.010211730205148343]"
Proposed,ID Test,camera,H,masked_mae_drift,1000,0.06725636584684253,0.039956046268343925,0.018254019785672426,0.07582908682525158,0.22888683527708037,"[0.06182101308550336, 0.07281018017622409]"
Proposed,ID Test,camera,H,masked_rmse_drift,1000,0.070727355588926,0.04309842921793461,0.02181787882000208,0.07904883101582527,0.23737562671303733,"[0.06545892089656555, 0.07684131719404831]"
Proposed,ID Test,camera,M,masked_mae_drift,1000,0.013844220663973828,0.011788354255259037,0.007379399496130645,0.017954121809452772,0.0320462280884385,"[0.013281653193668171, 0.014395273968111723]"
Proposed,ID Test,camera,M,masked_rmse_drift,1000,0.01569866770564113,0.014007920399308205,0.009571241913363338,0.020251985639333725,0.033935573697090146,"[0.01511575673505431, 0.016259957095302525]"
Proposed,ID Test,joint,H,masked_mae_drift,1000,0.09618921337486244,0.047165632247924805,0.02495640143752098,0.10784502886235714,0.39379491955041857,"[0.08839441446897109, 0.10470153131036787]"
Proposed,ID Test,joint,H,masked_rmse_drift,1000,0.10115841486863791,0.05220441147685051,0.030106232967227697,0.11236542090773582,0.40343318432569397,"[0.09325562239239225, 0.10938676500185393]"
Proposed,ID Test,joint,M,masked_mae_drift,1000,0.017759134365478532,0.014547635801136494,0.009986730059608817,0.02247760072350502,0.03938025794923305,"[0.017020832995319507, 0.0184956370837579]"
Proposed,ID Test,joint,M,masked_rmse_drift,1000,0.020946677902014925,0.01852572802454233,0.013311636168509722,0.02573756268247962,0.04229936972260474,"[0.02021016663880437, 0.021677859799109866]"
Proposed,ID Test,light,H,masked_mae_drift,1000,0.08685500968806445,0.04047350957989693,0.01963604148477316,0.0851011872291565,0.3901916205883022,"[0.07970484686457202, 0.09447330556997331]"
Proposed,ID Test,light,H,masked_rmse_drift,1000,0.0915930607423652,0.04464207775890827,0.024231895804405212,0.09081673249602318,0.39974876344203936,"[0.08440182949035079, 0.09942156424043351]"
Proposed,ID Test,light,M,masked_mae_drift,1000,0.014937053354573435,0.012135712895542383,0.008388307876884937,0.01835323218256235,0.03384528681635856,"[0.014330285780492705, 0.015561038073693636]"
Proposed,ID Test,light,M,masked_rmse_drift,1000,0.01759694697149098,0.015399844385683537,0.01109778555110097,0.02167996158823371,0.036223531514406195,"[0.016968906151514966, 0.018241949305444722]"
Proposed,Joint-OOD,appearance,H,masked_mae_drift,500,0.020322696308372544,0.012209611479192972,0.007363031501881778,0.021635810378938913,0.06426287256181239,"[0.018068803151638713, 0.022525924647232753]"
Proposed,Joint-OOD,appearance,H,masked_rmse_drift,500,0.024619510852731764,0.016079959459602833,0.010537590133026242,0.026521869469434023,0.07178787142038345,"[0.02217291568845976, 0.027198465054959525]"
Proposed,Joint-OOD,appearance,M,masked_mae_drift,500,0.006124184848740697,0.005581961944699287,0.004199520917609334,0.007401231559924781,0.011459374334663151,"[0.005867326676863013, 0.00638137622110662]"
Proposed,Joint-OOD,appearance,M,masked_rmse_drift,500,0.009612002498470247,0.009149102494120598,0.006770998705178499,0.012145499465987086,0.016918746847659347,"[0.009245734888868174, 0.009975234485894907]"
Proposed,Joint-OOD,camera,H,masked_mae_drift,500,0.05855249186302535,0.03033711016178131,0.015940014272928238,0.06926460191607475,0.17930692136287663,"[0.051434307538310534, 0.06599406886858052]"
Proposed,Joint-OOD,camera,H,masked_rmse_drift,500,0.06231192692252807,0.032965630292892456,0.01821701042354107,0.07401311211287975,0.18880402818322176,"[0.055088048328063445, 0.07010484343512799]"
Proposed,Joint-OOD,camera,M,masked_mae_drift,500,0.011777899729670025,0.007823727559298277,0.004377535893581808,0.017287888564169407,0.02992005441337824,"[0.01084743075571605, 0.012721180135846952]"
Proposed,Joint-OOD,camera,M,masked_rmse_drift,500,0.01329717160249129,0.009458030108362436,0.005787599948234856,0.01883218949660659,0.03077644901350136,"[0.012385679932008498, 0.014277907895855604]"
Proposed,Joint-OOD,joint,H,masked_mae_drift,500,0.269143134476617,0.22825688123703003,0.09704483672976494,0.39666928350925446,0.6759817332029341,"[0.2515707176334225, 0.2872773111186456]"
Proposed,Joint-OOD,joint,H,masked_rmse_drift,500,0.2739121367298067,0.233145609498024,0.10186639986932278,0.4027690142393112,0.6818814665079113,"[0.2567095860595815, 0.29391746979639866]"
Proposed,Joint-OOD,joint,M,masked_mae_drift,500,0.05908265824476257,0.057349883019924164,0.037983364425599575,0.07820637710392475,0.11445773839950558,"[0.05668213726438116, 0.06175460288331378]"
Proposed,Joint-OOD,joint,M,masked_rmse_drift,500,0.06080481631308794,0.059423889964818954,0.039377691224217415,0.08025683276355267,0.11548920832574365,"[0.058287174623203465, 0.06348666807343252]"
Proposed,Joint-OOD,light,H,masked_mae_drift,500,0.23651600112393498,0.17843667417764664,0.07510134018957615,0.3367369696497917,0.6560131520032872,"[0.21875204478884117, 0.2550972998815589]"
Proposed,Joint-OOD,light,H,masked_rmse_drift,500,0.2399214012939483,0.18226969987154007,0.07880458794534206,0.3424248471856117,0.6564906895160664,"[0.22259120456385426, 0.2585750449335668]"
Proposed,Joint-OOD,light,M,masked_mae_drift,500,0.04720811487501487,0.04509841464459896,0.028614219278097153,0.06193237844854593,0.08890105374157427,"[0.04523137290851446, 0.04941945298736682]"
Proposed,Joint-OOD,light,M,masked_rmse_drift,500,0.048793086241930725,0.0472190473228693,0.02991038141772151,0.06379703991115093,0.09067001454532145,"[0.04667732989392243, 0.05089169845317956]"
Proposed,Light-OOD,appearance,H,masked_mae_drift,500,0.020839929562993346,0.01398906484246254,0.007275597075931728,0.024233958683907986,0.06074301004409788,"[0.0188016961265821, 0.023047594783408565]"
Proposed,Light-OOD,appearance,H,masked_rmse_drift,500,0.024643152806907893,0.017587133683264256,0.010430552065372467,0.029086419846862555,0.06381062790751435,"[0.022565133300004526, 0.02702308397993911]"
Proposed,Light-OOD,appearance,M,masked_mae_drift,500,0.006361649655620568,0.005959756672382355,0.0043371247593313456,0.007826877292245626,0.012106767343357198,"[0.006081161075772252, 0.006625196796926321]"
Proposed,Light-OOD,appearance,M,masked_rmse_drift,500,0.010094914559973404,0.009572615846991539,0.007136851316317916,0.012477952055633068,0.017931181285530323,"[0.009718598204717273, 0.010510641200427199]"
Proposed,Light-OOD,camera,H,masked_mae_drift,500,0.06697420057561249,0.03720784746110439,0.015530467499047518,0.07673054188489914,0.22393829077482216,"[0.05941445369340945, 0.07475036062032449]"
Proposed,Light-OOD,camera,H,masked_rmse_drift,500,0.07043689150782302,0.0413551889359951,0.019580191932618618,0.08095799572765827,0.22480053827166535,"[0.06268885140767087, 0.07918663093679351]"
Proposed,Light-OOD,camera,M,masked_mae_drift,500,0.013900086171692238,0.01247061649337411,0.0076266160467639565,0.018235663883388042,0.031193774659186584,"[0.01318697642480838, 0.014616712332045426]"
Proposed,Light-OOD,camera,M,masked_rmse_drift,500,0.01574493738403544,0.014620705973356962,0.009629197185859084,0.020236981101334095,0.03306577280163764,"[0.015049358886567643, 0.016465310747770127]"
Proposed,Light-OOD,joint,H,masked_mae_drift,500,0.24243234575912356,0.18024952709674835,0.07054548896849155,0.3599582687020302,0.7324526011943808,"[0.2241678341159597, 0.26008023663926866]"
Proposed,Light-OOD,joint,H,masked_rmse_drift,500,0.24621051701903343,0.18465278297662735,0.07390964962542057,0.3628668934106827,0.7341015487909308,"[0.22859551002131775, 0.2654964475356508]"
Proposed,Light-OOD,joint,M,masked_mae_drift,500,0.0470407008798793,0.04532952792942524,0.02759569464251399,0.06421845033764839,0.08999728746712203,"[0.04498315438914578, 0.049137435936182736]"
Proposed,Light-OOD,joint,M,masked_rmse_drift,500,0.04906423030234873,0.04740670137107372,0.030326636042445898,0.0671896543353796,0.09194551743566987,"[0.046770620181178675, 0.05123801486901939]"
Proposed,Light-OOD,light,H,masked_mae_drift,500,0.24644153144489975,0.18963930755853653,0.07548314705491066,0.36228857934474945,0.7457633584737777,"[0.227797624029289, 0.2637244666011305]"
Proposed,Light-OOD,light,H,masked_rmse_drift,500,0.24976259732432662,0.1912899687886238,0.07974258251488209,0.3656871020793915,0.7480414360761639,"[0.2326757340952754, 0.2679287290933542]"
Proposed,Light-OOD,light,M,masked_mae_drift,500,0.04627327824011445,0.045607319101691246,0.029004322364926338,0.06072441674768925,0.08697458878159522,"[0.04442991238953546, 0.04835662532846909]"
Proposed,Light-OOD,light,M,masked_rmse_drift,500,0.04786850907746702,0.0474590677767992,0.03015231853350997,0.06219171825796366,0.08831003978848455,"[0.04581473988729995, 0.05004162290256936]"
