model,split,latent_id,pair_type,channel,masked_mae_drift,masked_rmse_drift
Proposed,ID Test,F11002,camera,M,0.0016561512602493167,0.0018339233938604593
Proposed,ID Test,F11002,camera,H,0.013178295455873013,0.01470122393220663
Proposed,ID Test,F11003,camera,M,0.004338964354246855,0.004682161845266819
Proposed,ID Test,F11003,camera,H,0.14426368474960327,0.14671196043491364
Proposed,ID Test,F11000,light,M,0.001639997004531324,0.0026151298079639673
Proposed,ID Test,F11000,light,H,0.004223519470542669,0.006240693386644125
Proposed,ID Test,F11001,light,M,0.005494284443557262,0.005844613071531057
Proposed,ID Test,F11001,light,H,0.013618376106023788,0.017351025715470314
Proposed,ID Test,F11002,light,M,0.0026781645137816668,0.003172382013872266
Proposed,ID Test,F11002,light,H,0.03245643153786659,0.04287015274167061
Proposed,ID Test,F11003,light,M,0.0068500591441988945,0.007731814403086901
Proposed,ID Test,F11003,light,H,0.0465187206864357,0.05107424035668373
Proposed,ID Test,F11000,appearance,M,0.002859867876395583,0.0036361997481435537
Proposed,ID Test,F11000,appearance,H,0.0029972500633448362,0.005494323093444109
Proposed,ID Test,F11001,appearance,M,0.007440796121954918,0.008801457472145557
Proposed,ID Test,F11001,appearance,H,0.1469385325908661,0.14936117827892303
Proposed,ID Test,F11002,appearance,M,0.0021487323101609945,0.003130266210064292
Proposed,ID Test,F11002,appearance,H,0.047343235462903976,0.04974452033638954
Proposed,ID Test,F11003,appearance,M,0.0018777574878185987,0.003856468480080366
Proposed,ID Test,F11003,appearance,H,0.041823841631412506,0.04875897988677025
Proposed,ID Test,F11000,joint,M,0.010007674805819988,0.011131802573800087
Proposed,ID Test,F11000,joint,H,0.019354980438947678,0.020297205075621605
Proposed,ID Test,F11001,joint,M,0.0054345326498150826,0.006241656839847565
Proposed,ID Test,F11001,joint,H,0.028954314067959785,0.030047427862882614
Proposed,ID Test,F11002,joint,M,0.0035390981938689947,0.004411809612065554
Proposed,ID Test,F11002,joint,H,0.06965853273868561,0.07319042831659317
Proposed,ID Test,F11003,joint,M,0.006178902927786112,0.006878429092466831
Proposed,ID Test,F11003,joint,H,0.02379695698618889,0.030052287504076958
Baseline,ID Test,F11004,camera,M,0.0027419826947152615,0.0029747202061116695
Baseline,ID Test,F11004,camera,H,0.08654961735010147,0.0914253368973732
Baseline,ID Test,F11005,camera,M,0.0016949060373008251,0.0018533342517912388
Baseline,ID Test,F11005,camera,H,0.02531413547694683,0.02621995098888874
Baseline,ID Test,F11006,camera,M,0.0013178972294554114,0.0015834433725103736
Baseline,ID Test,F11006,camera,H,0.02040911465883255,0.023078717291355133
Baseline,ID Test,F11007,camera,M,0.0034379318822175264,0.003603854216635227
Baseline,ID Test,F11007,camera,H,0.062324345111846924,0.06334427744150162
Baseline,ID Test,F11004,light,M,0.009645483456552029,0.010101663880050182
Baseline,ID Test,F11004,light,H,0.07030325382947922,0.07644425332546234
Baseline,ID Test,F11005,light,M,0.00457519618794322,0.005186925642192364
Baseline,ID Test,F11005,light,H,0.022409044206142426,0.029649734497070312
Baseline,ID Test,F11006,light,M,0.004574572667479515,0.005410974379628897
Baseline,ID Test,F11006,light,H,0.0821593776345253,0.084740549325943
Baseline,ID Test,F11007,light,M,0.005862278863787651,0.006697171833366156
Baseline,ID Test,F11007,light,H,0.0663735419511795,0.07006574422121048
Baseline,ID Test,F11004,appearance,M,0.0036059548147022724,0.0049063218757510185
Baseline,ID Test,F11004,appearance,H,0.01452786847949028,0.020708849653601646
Baseline,ID Test,F11005,appearance,M,0.00541968597099185,0.007133886218070984
Baseline,ID Test,F11005,appearance,H,0.026027992367744446,0.03460908681154251
Baseline,ID Test,F11006,appearance,M,0.0031472784467041492,0.004094018135219812
Baseline,ID Test,F11006,appearance,H,0.018556702882051468,0.02533598057925701
Baseline,ID Test,F11007,appearance,M,0.005310765467584133,0.006453496869653463
Baseline,ID Test,F11007,appearance,H,0.0433967262506485,0.050551265478134155
Baseline,ID Test,F11004,joint,M,0.010949893854558468,0.0126733323559165
Baseline,ID Test,F11004,joint,H,0.026540078222751617,0.03799007460474968
Baseline,ID Test,F11005,joint,M,0.006492419168353081,0.008160936646163464
Baseline,ID Test,F11005,joint,H,0.072060726583004,0.08066156506538391
Baseline,ID Test,F11006,joint,M,0.01148457545787096,0.012535353191196918
Baseline,ID Test,F11006,joint,H,0.017790870741009712,0.02328672632575035
Baseline,ID Test,F11007,joint,M,0.014336371794342995,0.0156337171792984
Baseline,ID Test,F11007,joint,H,0.07442876696586609,0.07872529327869415
Proposed,ID Test,F11004,camera,M,0.0018577981973066926,0.0021887896582484245
Proposed,ID Test,F11004,camera,H,0.08771767467260361,0.09382310509681702
Proposed,ID Test,F11005,camera,M,0.0003745436843018979,0.0005404406692832708
Proposed,ID Test,F11005,camera,H,0.00385434553027153,0.004500901326537132
Proposed,ID Test,F11006,camera,M,0.0014666090719401836,0.0015453025698661804
Proposed,ID Test,F11006,camera,H,0.021183988079428673,0.023151211440563202
Proposed,ID Test,F11007,camera,M,0.0026212965603917837,0.0029012865852564573
Proposed,ID Test,F11007,camera,H,0.058207884430885315,0.062433596700429916
Proposed,ID Test,F11004,light,M,0.011082700453698635,0.011407006531953812
Proposed,ID Test,F11004,light,H,0.11706549674272537,0.12040969729423523
Proposed,ID Test,F11005,light,M,0.005194658879190683,0.005599553231149912
Proposed,ID Test,F11005,light,H,0.04859863594174385,0.05016494169831276
Proposed,ID Test,F11006,light,M,0.0033047443721443415,0.003712560748681426
Proposed,ID Test,F11006,light,H,0.06135562062263489,0.06433027237653732
Proposed,ID Test,F11007,light,M,0.005715620703995228,0.0068354131653904915
Proposed,ID Test,F11007,light,H,0.027898522093892097,0.03761995583772659
Proposed,ID Test,F11004,appearance,M,0.003019726602360606,0.004115759395062923
Proposed,ID Test,F11004,appearance,H,0.022908270359039307,0.030502483248710632
Proposed,ID Test,F11005,appearance,M,0.0031732451170682907,0.004099016077816486
Proposed,ID Test,F11005,appearance,H,0.015109560452401638,0.018268156796693802
Proposed,ID Test,F11006,appearance,M,0.0025247226003557444,0.0033070396166294813
Proposed,ID Test,F11006,appearance,H,0.01007433608174324,0.012696640565991402
Proposed,ID Test,F11007,appearance,M,0.0036048151087015867,0.004700214136391878
Proposed,ID Test,F11007,appearance,H,0.03432278335094452,0.03743157163262367
Proposed,ID Test,F11004,joint,M,0.009249389171600342,0.01029172446578741
Proposed,ID Test,F11004,joint,H,0.029274845495820045,0.03802669048309326
Proposed,ID Test,F11005,joint,M,0.004591239616274834,0.005702558904886246
Proposed,ID Test,F11005,joint,H,0.0423467792570591,0.045282408595085144
Proposed,ID Test,F11006,joint,M,0.008734268136322498,0.009609490633010864
Proposed,ID Test,F11006,joint,H,0.016593122854828835,0.02066163159906864
Proposed,ID Test,F11007,joint,M,0.00803561881184578,0.009176990948617458
Proposed,ID Test,F11007,joint,H,0.04536737501621246,0.05272059515118599
Baseline,ID Test,F11008,camera,M,0.005654217675328255,0.006399576086550951
Baseline,ID Test,F11008,camera,H,0.2684307098388672,0.2764948904514313
Baseline,ID Test,F11009,camera,M,0.002394073875620961,0.0031280918046832085
Baseline,ID Test,F11009,camera,H,0.05402636155486107,0.058562297374010086
Baseline,ID Test,F11010,camera,M,0.004607186187058687,0.004717959091067314
Baseline,ID Test,F11010,camera,H,0.05472346767783165,0.055694829672575
Baseline,ID Test,F11011,camera,M,0.00375894783064723,0.004787791054695845
Baseline,ID Test,F11011,camera,H,0.24444431066513062,0.24790644645690918
Baseline,ID Test,F11008,light,M,0.004126355517655611,0.00463106669485569
Baseline,ID Test,F11008,light,H,0.07937938719987869,0.08508910238742828
Baseline,ID Test,F11009,light,M,0.0026824793312698603,0.002841959474608302
Baseline,ID Test,F11009,light,H,0.02734573371708393,0.030063241720199585
Baseline,ID Test,F11010,light,M,0.0016003409400582314,0.0018356594955548644
Baseline,ID Test,F11010,light,H,0.13647383451461792,0.1370358020067215
Baseline,ID Test,F11011,light,M,0.0010912864236161113,0.0013360694283619523
Baseline,ID Test,F11011,light,H,0.08274897933006287,0.0838158130645752
Baseline,ID Test,F11008,appearance,M,0.0021155637223273516,0.002794496947899461
Baseline,ID Test,F11008,appearance,H,0.02466529980301857,0.041852690279483795
Baseline,ID Test,F11009,appearance,M,0.005681903567165136,0.007010047324001789
Baseline,ID Test,F11009,appearance,H,0.047895509749650955,0.05315111204981804
Baseline,ID Test,F11010,appearance,M,0.0013803130714222789,0.001844847109168768
Baseline,ID Test,F11010,appearance,H,0.017709551379084587,0.020190104842185974
Baseline,ID Test,F11011,appearance,M,0.0014587881742045283,0.0019404637860134244
Baseline,ID Test,F11011,appearance,H,0.04044601321220398,0.04153178632259369
Baseline,ID Test,F11008,joint,M,0.006990365218371153,0.00807985384017229
Baseline,ID Test,F11008,joint,H,0.23999841511249542,0.24911977350711823
Baseline,ID Test,F11009,joint,M,0.003347723511978984,0.004316089674830437
Baseline,ID Test,F11009,joint,H,0.05122655630111694,0.05525599420070648
Baseline,ID Test,F11010,joint,M,0.005777861922979355,0.006034463178366423
Baseline,ID Test,F11010,joint,H,0.0788286104798317,0.07991746813058853
Baseline,ID Test,F11011,joint,M,0.00164166244212538,0.002107839332893491
Baseline,ID Test,F11011,joint,H,0.19085736572742462,0.19205987453460693
Proposed,ID Test,F11008,camera,M,0.003771851770579815,0.0047716135159134865
Proposed,ID Test,F11008,camera,H,0.0921318456530571,0.09632883965969086
Proposed,ID Test,F11009,camera,M,0.004676369018852711,0.005035489797592163
Proposed,ID Test,F11009,camera,H,0.03928116708993912,0.04454199969768524
Proposed,ID Test,F11010,camera,M,0.004661146551370621,0.004777795635163784
Proposed,ID Test,F11010,camera,H,0.05554293841123581,0.05634821578860283
Proposed,ID Test,F11011,camera,M,0.002944104839116335,0.003449809504672885
Proposed,ID Test,F11011,camera,H,0.11118701845407486,0.11226153373718262
Proposed,ID Test,F11008,light,M,0.00447377422824502,0.005321995355188847
Proposed,ID Test,F11008,light,H,0.2607181966304779,0.26489025354385376
Proposed,ID Test,F11009,light,M,0.0017296639271080494,0.002354946220293641
Proposed,ID Test,F11009,light,H,0.05925014987587929,0.06307423114776611
Proposed,ID Test,F11010,light,M,0.0024283479433506727,0.002908583264797926
Proposed,ID Test,F11010,light,H,0.09404581785202026,0.0973411500453949
Proposed,ID Test,F11011,light,M,0.0020687924697995186,0.002666093409061432
Proposed,ID Test,F11011,light,H,0.07369984686374664,0.07771070301532745
Proposed,ID Test,F11008,appearance,M,0.0029827100224792957,0.003931885119527578
Proposed,ID Test,F11008,appearance,H,0.017588376998901367,0.028224868699908257
Proposed,ID Test,F11009,appearance,M,0.004218732472509146,0.005082772579044104
Proposed,ID Test,F11009,appearance,H,0.06347759813070297,0.0686413049697876
Proposed,ID Test,F11010,appearance,M,0.001894787885248661,0.0024712414015084505
Proposed,ID Test,F11010,appearance,H,0.00812894944101572,0.011094546876847744
Proposed,ID Test,F11011,appearance,M,0.002031326061114669,0.002630983479321003
Proposed,ID Test,F11011,appearance,H,0.005578053183853626,0.006539267022162676
Proposed,ID Test,F11008,joint,M,0.004619451705366373,0.005901587661355734
Proposed,ID Test,F11008,joint,H,0.07070709764957428,0.07404974102973938
Proposed,ID Test,F11009,joint,M,0.0075874971225857735,0.008112765848636627
Proposed,ID Test,F11009,joint,H,0.03180604800581932,0.03828391432762146
Proposed,ID Test,F11010,joint,M,0.0031422004103660583,0.003651701845228672
Proposed,ID Test,F11010,joint,H,0.0321321040391922,0.034489452838897705
Proposed,ID Test,F11011,joint,M,0.0032460009679198265,0.003884656587615609
Proposed,ID Test,F11011,joint,H,0.139198437333107,0.13994266092777252
Baseline,ID Test,F11012,camera,M,0.006633845157921314,0.007105248048901558
Baseline,ID Test,F11012,camera,H,0.08902881294488907,0.09519454091787338
Baseline,ID Test,F11013,camera,M,0.012859567068517208,0.01390254870057106
Baseline,ID Test,F11013,camera,H,0.018752379342913628,0.019316280260682106
Baseline,ID Test,F11014,camera,M,0.005734918173402548,0.005790234077721834
Baseline,ID Test,F11014,camera,H,0.05199120193719864,0.05256190150976181
Baseline,ID Test,F11015,camera,M,0.006852125283330679,0.007210066542029381
Baseline,ID Test,F11015,camera,H,0.11045073717832565,0.11190347373485565
Baseline,ID Test,F11012,light,M,0.0049125137738883495,0.005741683300584555
Baseline,ID Test,F11012,light,H,0.04914701357483864,0.0557408481836319
Baseline,ID Test,F11013,light,M,0.011668738909065723,0.012700394727289677
Baseline,ID Test,F11013,light,H,0.02257038652896881,0.024464420974254608
Baseline,ID Test,F11014,light,M,0.015404087491333485,0.01610991172492504
Baseline,ID Test,F11014,light,H,0.14688532054424286,0.14913243055343628
Baseline,ID Test,F11015,light,M,0.002757976995781064,0.0031595954205840826
Baseline,ID Test,F11015,light,H,0.07475466281175613,0.07958870381116867
Baseline,ID Test,F11012,appearance,M,0.005108794663101435,0.006483640056103468
Baseline,ID Test,F11012,appearance,H,0.023586293682456017,0.029718372970819473
Baseline,ID Test,F11013,appearance,M,0.004693230614066124,0.00609955471009016
Baseline,ID Test,F11013,appearance,H,0.03169361501932144,0.03369724750518799
Baseline,ID Test,F11014,appearance,M,0.0016586665296927094,0.002261267974972725
Baseline,ID Test,F11014,appearance,H,0.12847882509231567,0.1293557733297348
Baseline,ID Test,F11015,appearance,M,0.0016504244413226843,0.002061577280983329
Baseline,ID Test,F11015,appearance,H,0.010996940545737743,0.013374252244830132
Baseline,ID Test,F11012,joint,M,0.004931536968797445,0.006315458100289106
Baseline,ID Test,F11012,joint,H,0.09911834448575974,0.10418543219566345
Baseline,ID Test,F11013,joint,M,0.0057648541405797005,0.007232535630464554
Baseline,ID Test,F11013,joint,H,0.012118598446249962,0.013207854703068733
Baseline,ID Test,F11014,joint,M,0.01413492951542139,0.015359996818006039
Baseline,ID Test,F11014,joint,H,0.1279333084821701,0.13073092699050903
Baseline,ID Test,F11015,joint,M,0.003408692544326186,0.004333076998591423
Baseline,ID Test,F11015,joint,H,0.06071564927697182,0.06601617485284805
Proposed,ID Test,F11012,camera,M,0.0039308820851147175,0.004786172416061163
Proposed,ID Test,F11012,camera,H,0.058741163462400436,0.06169651448726654
Proposed,ID Test,F11013,camera,M,0.009933695197105408,0.01013200543820858
Proposed,ID Test,F11013,camera,H,0.016112960875034332,0.016569407656788826
Proposed,ID Test,F11014,camera,M,0.007046548184007406,0.007189651019871235
Proposed,ID Test,F11014,camera,H,0.02475997991859913,0.0280819833278656
Proposed,ID Test,F11015,camera,M,0.0018045131582766771,0.002858502324670553
Proposed,ID Test,F11015,camera,H,0.08568570017814636,0.08926967531442642
Proposed,ID Test,F11012,light,M,0.003180519910529256,0.004126811865717173
Proposed,ID Test,F11012,light,H,0.03641313686966896,0.04178735613822937
Proposed,ID Test,F11013,light,M,0.004724420607089996,0.006303522270172834
Proposed,ID Test,F11013,light,H,0.03806529939174652,0.038782402873039246
Proposed,ID Test,F11014,light,M,0.009768245741724968,0.010350228287279606
Proposed,ID Test,F11014,light,H,0.09180472791194916,0.09452439099550247
Proposed,ID Test,F11015,light,M,0.004423788283020258,0.005021513905376196
Proposed,ID Test,F11015,light,H,0.045404329895973206,0.05045817419886589
Proposed,ID Test,F11012,appearance,M,0.0026358910836279392,0.003449247218668461
Proposed,ID Test,F11012,appearance,H,0.009765285067260265,0.013597975485026836
Proposed,ID Test,F11013,appearance,M,0.003890118794515729,0.0051978169940412045
Proposed,ID Test,F11013,appearance,H,0.010349606163799763,0.012928525917232037
Proposed,ID Test,F11014,appearance,M,0.0015879312995821238,0.002365554217249155
Proposed,ID Test,F11014,appearance,H,0.10631328076124191,0.11094474792480469
Proposed,ID Test,F11015,appearance,M,0.0017588254995644093,0.002645275089889765
Proposed,ID Test,F11015,appearance,H,0.01692493073642254,0.021028677001595497
Proposed,ID Test,F11012,joint,M,0.004765605553984642,0.006012769415974617
Proposed,ID Test,F11012,joint,H,0.042227234691381454,0.045581817626953125
Proposed,ID Test,F11013,joint,M,0.0038654026575386524,0.005703555885702372
Proposed,ID Test,F11013,joint,H,0.011075014248490334,0.01292507629841566
Proposed,ID Test,F11014,joint,M,0.009310353547334671,0.010206232778728008
Proposed,ID Test,F11014,joint,H,0.061473969370126724,0.06725640594959259
Proposed,ID Test,F11015,joint,M,0.004947885405272245,0.006141783203929663
Proposed,ID Test,F11015,joint,H,0.02359354868531227,0.03293125703930855
Baseline,ID Test,F11016,camera,M,0.001137398649007082,0.00178055209107697
Baseline,ID Test,F11016,camera,H,0.03762504458427429,0.041535403579473495
Baseline,ID Test,F11017,camera,M,0.0007212326163426042,0.0009163059876300395
Baseline,ID Test,F11017,camera,H,0.06492132693529129,0.06656328588724136
Baseline,ID Test,F11018,camera,M,0.002441795775666833,0.002733928384259343
Baseline,ID Test,F11018,camera,H,0.009120688773691654,0.011534078046679497
Baseline,ID Test,F11019,camera,M,0.012185849249362946,0.012809724546968937
Baseline,ID Test,F11019,camera,H,0.01521189883351326,0.02188025787472725
Baseline,ID Test,F11016,light,M,0.008490764535963535,0.00916225090622902
Baseline,ID Test,F11016,light,H,0.023788418620824814,0.029773227870464325
Baseline,ID Test,F11017,light,M,0.010519064031541348,0.01097062136977911
Baseline,ID Test,F11017,light,H,0.15037155151367188,0.1621469259262085
Baseline,ID Test,F11018,light,M,0.009724791161715984,0.010812240652740002
Baseline,ID Test,F11018,light,H,0.02393408864736557,0.031188754364848137
Baseline,ID Test,F11019,light,M,0.019849883392453194,0.020796440541744232
Baseline,ID Test,F11019,light,H,0.07753470540046692,0.08224784582853317
Baseline,ID Test,F11016,appearance,M,0.00776634318754077,0.009632760658860207
Baseline,ID Test,F11016,appearance,H,0.019852761179208755,0.026111753657460213
Baseline,ID Test,F11017,appearance,M,0.012996592558920383,0.015971049666404724
Baseline,ID Test,F11017,appearance,H,0.08282787352800369,0.09991606324911118
Baseline,ID Test,F11018,appearance,M,0.006197703070938587,0.007065850775688887
Baseline,ID Test,F11018,appearance,H,0.04513995721936226,0.04907068982720375
Baseline,ID Test,F11019,appearance,M,0.020602518692612648,0.021394219249486923
Baseline,ID Test,F11019,appearance,H,0.02038932777941227,0.03795306384563446
Baseline,ID Test,F11016,joint,M,0.008044255897402763,0.009936326183378696
Baseline,ID Test,F11016,joint,H,0.04701660946011543,0.05305343493819237
Baseline,ID Test,F11017,joint,M,0.006902116816490889,0.00796833448112011
Baseline,ID Test,F11017,joint,H,0.053688716143369675,0.07417197525501251
Baseline,ID Test,F11018,joint,M,0.009477448649704456,0.011002461425960064
Baseline,ID Test,F11018,joint,H,0.03709951043128967,0.04381752386689186
Baseline,ID Test,F11019,joint,M,0.014395381323993206,0.016217278316617012
Baseline,ID Test,F11019,joint,H,0.14131739735603333,0.14758867025375366
Proposed,ID Test,F11016,camera,M,0.002205256838351488,0.0028046646621078253
Proposed,ID Test,F11016,camera,H,0.01340726763010025,0.0175036434084177
Proposed,ID Test,F11017,camera,M,0.001507351640611887,0.0017939702374860644
Proposed,ID Test,F11017,camera,H,0.03394944593310356,0.0362202413380146
Proposed,ID Test,F11018,camera,M,0.001985721755772829,0.0022661543916910887
Proposed,ID Test,F11018,camera,H,0.04619885981082916,0.05017085745930672
Proposed,ID Test,F11019,camera,M,0.00192826590500772,0.0022821668535470963
Proposed,ID Test,F11019,camera,H,0.006138905882835388,0.009122228249907494
Proposed,ID Test,F11016,light,M,0.004677476827055216,0.006105356849730015
Proposed,ID Test,F11016,light,H,0.094444140791893,0.09778989851474762
Proposed,ID Test,F11017,light,M,0.006475355941802263,0.008101467974483967
Proposed,ID Test,F11017,light,H,0.22568586468696594,0.23287640511989594
Proposed,ID Test,F11018,light,M,0.004035098012536764,0.005977245979011059
Proposed,ID Test,F11018,light,H,0.033005326986312866,0.04258182644844055
Proposed,ID Test,F11019,light,M,0.002879044972360134,0.0035928429570049047
Proposed,ID Test,F11019,light,H,0.08403994143009186,0.08753366768360138
Proposed,ID Test,F11016,appearance,M,0.007227384485304356,0.009335661306977272
Proposed,ID Test,F11016,appearance,H,0.030141647905111313,0.037043873220682144
Proposed,ID Test,F11017,appearance,M,0.0063376170583069324,0.007815377786755562
Proposed,ID Test,F11017,appearance,H,0.08139395713806152,0.10122322291135788
Proposed,ID Test,F11018,appearance,M,0.00431291526183486,0.005332088563591242
Proposed,ID Test,F11018,appearance,H,0.06613900512456894,0.07652316987514496
Proposed,ID Test,F11019,appearance,M,0.004395983647555113,0.005680708214640617
Proposed,ID Test,F11019,appearance,H,0.06862449645996094,0.07222366333007812
Proposed,ID Test,F11016,joint,M,0.006070508621633053,0.008720139972865582
Proposed,ID Test,F11016,joint,H,0.0274946466088295,0.03306647390127182
Proposed,ID Test,F11017,joint,M,0.005252153612673283,0.00697356415912509
Proposed,ID Test,F11017,joint,H,0.051782332360744476,0.07273293286561966
Proposed,ID Test,F11018,joint,M,0.007157364394515753,0.008938406594097614
Proposed,ID Test,F11018,joint,H,0.05793935805559158,0.06520455330610275
Proposed,ID Test,F11019,joint,M,0.0031730032060295343,0.0040649231523275375
Proposed,ID Test,F11019,joint,H,0.024040089920163155,0.027932345867156982
Baseline,ID Test,F11020,camera,M,0.013598684221506119,0.016001395881175995
Baseline,ID Test,F11020,camera,H,0.17590893805027008,0.17979469895362854
Baseline,ID Test,F11021,camera,M,0.005101201590150595,0.005651021841913462
Baseline,ID Test,F11021,camera,H,0.1425388753414154,0.1446305364370346
Baseline,ID Test,F11022,camera,M,0.004347668960690498,0.004666569177061319
Baseline,ID Test,F11022,camera,H,0.045142486691474915,0.047044605016708374
Baseline,ID Test,F11023,camera,M,0.004557047039270401,0.005481172353029251
Baseline,ID Test,F11023,camera,H,0.21906059980392456,0.2249431163072586
Baseline,ID Test,F11020,light,M,0.006409822031855583,0.007143358234316111
Baseline,ID Test,F11020,light,H,0.01292715035378933,0.015969982370734215
Baseline,ID Test,F11021,light,M,0.005839689169079065,0.0059883869253098965
Baseline,ID Test,F11021,light,H,0.04844009131193161,0.049685701727867126
Baseline,ID Test,F11022,light,M,0.0027319863438606262,0.0030992068350315094
Baseline,ID Test,F11022,light,H,0.01966359093785286,0.023511184379458427
Baseline,ID Test,F11023,light,M,0.000810733181424439,0.0013007930247113109
Baseline,ID Test,F11023,light,H,0.009488161653280258,0.012574435211718082
Baseline,ID Test,F11020,appearance,M,0.007265553809702396,0.008867287077009678
Baseline,ID Test,F11020,appearance,H,0.024195624515414238,0.029158202931284904
Baseline,ID Test,F11021,appearance,M,0.0032871393486857414,0.004130248911678791
Baseline,ID Test,F11021,appearance,H,0.07112712413072586,0.08052653819322586
Baseline,ID Test,F11022,appearance,M,0.004736702423542738,0.005894593428820372
Baseline,ID Test,F11022,appearance,H,0.01120611373335123,0.01513633318245411
Baseline,ID Test,F11023,appearance,M,0.0012827971950173378,0.0016957471380010247
Baseline,ID Test,F11023,appearance,H,0.016582896932959557,0.023063793778419495
Baseline,ID Test,F11020,joint,M,0.012704944238066673,0.015509532764554024
Baseline,ID Test,F11020,joint,H,0.12883315980434418,0.13153176009655
Baseline,ID Test,F11021,joint,M,0.004049882758408785,0.005035286769270897
Baseline,ID Test,F11021,joint,H,0.09221808612346649,0.09434440732002258
Baseline,ID Test,F11022,joint,M,0.003237341297790408,0.004218065179884434
Baseline,ID Test,F11022,joint,H,0.01852124184370041,0.023033957928419113
Baseline,ID Test,F11023,joint,M,0.0017459497321397066,0.0022174837067723274
Baseline,ID Test,F11023,joint,H,0.11847169697284698,0.12060438096523285
Proposed,ID Test,F11020,camera,M,0.002676003845408559,0.0034978105686604977
Proposed,ID Test,F11020,camera,H,0.10650371760129929,0.1075671911239624
Proposed,ID Test,F11021,camera,M,0.0028130514547228813,0.0037862290628254414
Proposed,ID Test,F11021,camera,H,0.03910214453935623,0.04436185210943222
Proposed,ID Test,F11022,camera,M,0.00382342841476202,0.004031720105558634
Proposed,ID Test,F11022,camera,H,0.036251362413167953,0.04075329005718231
Proposed,ID Test,F11023,camera,M,0.0019501515198498964,0.002423483645543456
Proposed,ID Test,F11023,camera,H,0.1036185696721077,0.10532554984092712
Proposed,ID Test,F11020,light,M,0.0018234455492347479,0.0021266438998281956
Proposed,ID Test,F11020,light,H,0.011445881798863411,0.013746543787419796
Proposed,ID Test,F11021,light,M,0.0020298913586884737,0.003195896279066801
Proposed,ID Test,F11021,light,H,0.09225732833147049,0.09620077162981033
Proposed,ID Test,F11022,light,M,0.0026991297490894794,0.0030420615803450346
Proposed,ID Test,F11022,light,H,0.01977154053747654,0.023390229791402817
Proposed,ID Test,F11023,light,M,0.0020575798116624355,0.002648422494530678
Proposed,ID Test,F11023,light,H,0.01593884453177452,0.018058015033602715
Proposed,ID Test,F11020,appearance,M,0.001168306334875524,0.0014780259225517511
Proposed,ID Test,F11020,appearance,H,0.006549210753291845,0.008643481880426407
Proposed,ID Test,F11021,appearance,M,0.0020561274141073227,0.0030296805780380964
Proposed,ID Test,F11021,appearance,H,0.07852985709905624,0.08009343594312668
Proposed,ID Test,F11022,appearance,M,0.001213564071804285,0.001619901740923524
