pair_id,latent_id,latent_split,reference_sample_id,variant_sample_id,pair_role,changed_camera,changed_light,changed_appearance,reference_camera,variant_camera,reference_light,variant_light,reference_appearance,variant_appearance,m_hash_equal,h_hash_equal,mask_hash_equal,appearance_hash_equal_expected,rgb_mad_valid,rgb_rmse_valid,rgb_max_abs_valid,luminance_mad_valid
L013_A0_A3,L013,train_like_id,L013_A0,L013_A3,appearance,False,False,True,Nokia N900,Nokia N900,D65,D65,appearance0,appearance1,True,True,True,False,0.087682232260704,0.1044260412454605,0.3337554633617401,0.0941516607999801
L013_A0_A4,L013,train_like_id,L013_A0,L013_A4,joint,True,True,True,Nokia N900,Nikon D80,D65,A,appearance0,appearance2,True,True,True,False,0.1271042823791504,0.138328343629837,0.3311106562614441,0.1123834177851677
L014_A0_A1,L014,train_like_id,L014_A0,L014_A1,camera,True,False,False,Nikon D80,Pentax Q,A,A,appearance0,appearance0,True,True,True,True,0.0092236809432506,0.0126327900215983,0.0248463749885559,0.0014457498909905
L014_A0_A2,L014,train_like_id,L014_A0,L014_A2,light,False,True,False,Nikon D80,Nikon D80,A,FL2,appearance0,appearance0,True,True,True,True,0.0509337298572063,0.0573973841965198,0.0966042876243591,0.0055586383678019
L014_A0_A3,L014,train_like_id,L014_A0,L014_A3,appearance,False,False,True,Nikon D80,Nikon D80,A,A,appearance0,appearance1,True,True,True,False,0.0320071913301944,0.0428256466984748,0.1554268598556518,0.0321471877396106
L014_A0_A4,L014,train_like_id,L014_A0,L014_A4,joint,True,True,True,Nikon D80,Pentax Q,A,FL2,appearance0,appearance2,True,True,True,False,0.0707599520683288,0.0821735933423042,0.2533117532730102,0.0278383009135723
L015_A0_A1,L015,train_like_id,L015_A0,L015_A1,camera,True,False,False,Pentax Q,SONY NEX-5N,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0074098147451877,0.0090236589312553,0.0148650854825973,0.0013537835329771
L015_A0_A2,L015,train_like_id,L015_A0,L015_A2,light,False,True,False,Pentax Q,Pentax Q,FL2,D65,appearance0,appearance0,True,True,True,True,0.028484096750617,0.0305648762732744,0.0498368144035339,0.002216727240011
L015_A0_A3,L015,train_like_id,L015_A0,L015_A3,appearance,False,False,True,Pentax Q,Pentax Q,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0240153949707746,0.0320020727813243,0.1184872388839721,0.0261733159422874
L015_A0_A4,L015,train_like_id,L015_A0,L015_A4,joint,True,True,True,Pentax Q,SONY NEX-5N,FL2,D65,appearance0,appearance2,True,True,True,False,0.0487619079649448,0.0610136352479457,0.1618481278419494,0.0612695217132568
L016_A0_A1,L016,train_like_id,L016_A0,L016_A1,camera,True,False,False,SONY NEX-5N,Olympus E-PL2,D65,D65,appearance0,appearance0,True,True,True,True,0.0063275396823883,0.0067118373699486,0.0110657811164855,0.0019943837542086
L016_A0_A2,L016,train_like_id,L016_A0,L016_A2,light,False,True,False,SONY NEX-5N,SONY NEX-5N,D65,A,appearance0,appearance0,True,True,True,True,0.0272610671818256,0.0334209613502025,0.0490369200706481,0.0123899253085255
L016_A0_A3,L016,train_like_id,L016_A0,L016_A3,appearance,False,False,True,SONY NEX-5N,SONY NEX-5N,D65,D65,appearance0,appearance1,True,True,True,False,0.0330182574689388,0.0421338491141796,0.2506323754787445,0.03420365229249
L016_A0_A4,L016,train_like_id,L016_A0,L016_A4,joint,True,True,True,SONY NEX-5N,Olympus E-PL2,D65,A,appearance0,appearance2,True,True,True,False,0.0551486797630786,0.0688954889774322,0.2302345186471939,0.0671464577317237
L017_A0_A1,L017,train_like_id,L017_A0,L017_A1,camera,True,False,False,Olympus E-PL2,Canon 5DMarkII,A,A,appearance0,appearance0,True,True,True,True,0.0018653396982699,0.0020518496166914,0.0039321482181549,0.001482524909079
L017_A0_A2,L017,train_like_id,L017_A0,L017_A2,light,False,True,False,Olympus E-PL2,Olympus E-PL2,A,FL2,appearance0,appearance0,True,True,True,True,0.0497241504490375,0.0541574098169803,0.0780882239341735,0.0039906934835016
L017_A0_A3,L017,train_like_id,L017_A0,L017_A3,appearance,False,False,True,Olympus E-PL2,Olympus E-PL2,A,A,appearance0,appearance1,True,True,True,False,0.050279039889574,0.0645685046911239,0.2476196736097335,0.0509379282593727
L017_A0_A4,L017,train_like_id,L017_A0,L017_A4,joint,True,True,True,Olympus E-PL2,Canon 5DMarkII,A,FL2,appearance0,appearance2,True,True,True,False,0.0493655949831008,0.0548811629414558,0.1716808676719665,0.0136380949988961
L018_A0_A1,L018,train_like_id,L018_A0,L018_A1,camera,True,False,False,Canon 5DMarkII,Nokia N900,D65,D65,appearance0,appearance0,True,True,True,True,0.0143816247582435,0.0206440240144729,0.0449297428131103,0.0042043281719088
L018_A0_A2,L018,train_like_id,L018_A0,L018_A2,light,False,True,False,Canon 5DMarkII,Canon 5DMarkII,D65,A,appearance0,appearance0,True,True,True,True,0.0228120516985654,0.0276409983634948,0.0450949072837829,0.0090458104386925
L018_A0_A3,L018,train_like_id,L018_A0,L018_A3,appearance,False,False,True,Canon 5DMarkII,Canon 5DMarkII,D65,D65,appearance0,appearance1,True,True,True,False,0.0713585913181305,0.0849627926945686,0.2531582117080688,0.0751969218254089
L018_A0_A4,L018,train_like_id,L018_A0,L018_A4,joint,True,True,True,Canon 5DMarkII,Nokia N900,D65,A,appearance0,appearance2,True,True,True,False,0.0911844074726104,0.1122219562530517,0.2875824272632599,0.0876806899905204
L019_A0_A1,L019,train_like_id,L019_A0,L019_A1,camera,True,False,False,Nokia N900,Nikon D80,A,A,appearance0,appearance0,True,True,True,True,0.0132324313744902,0.0199539791792631,0.0395323783159256,0.0036757481284439
L019_A0_A2,L019,train_like_id,L019_A0,L019_A2,light,False,True,False,Nokia N900,Nokia N900,A,FL2,appearance0,appearance0,True,True,True,True,0.0688746124505996,0.0755678862333297,0.1180101782083511,0.0064904559403657
L019_A0_A3,L019,train_like_id,L019_A0,L019_A3,appearance,False,False,True,Nokia N900,Nokia N900,A,A,appearance0,appearance1,True,True,True,False,0.0928315222263336,0.1076184958219528,0.2388088703155517,0.0963906273245811
L019_A0_A4,L019,train_like_id,L019_A0,L019_A4,joint,True,True,True,Nokia N900,Nikon D80,A,FL2,appearance0,appearance2,True,True,True,False,0.0743441432714462,0.1018895432353019,0.2933146953582763,0.0515043772757053
L020_A0_A1,L020,train_like_id,L020_A0,L020_A1,camera,True,False,False,Nikon D80,Pentax Q,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0162978414446115,0.0246071703732013,0.0529596433043479,0.0003369448822923
L020_A0_A2,L020,train_like_id,L020_A0,L020_A2,light,False,True,False,Nikon D80,Nikon D80,FL2,D65,appearance0,appearance0,True,True,True,True,0.0271172933280468,0.0282695107161998,0.042450338602066,0.0079171536490321
L020_A0_A3,L020,train_like_id,L020_A0,L020_A3,appearance,False,False,True,Nikon D80,Nikon D80,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0456835068762302,0.0591279864311218,0.2093704342842102,0.050369743257761
L020_A0_A4,L020,train_like_id,L020_A0,L020_A4,joint,True,True,True,Nikon D80,Pentax Q,FL2,D65,appearance0,appearance2,True,True,True,False,0.030032105743885,0.0369203984737396,0.1580917686223983,0.0255227927118539
L021_A0_A1,L021,train_like_id,L021_A0,L021_A1,camera,True,False,False,Pentax Q,SONY NEX-5N,D65,D65,appearance0,appearance0,True,True,True,True,0.0059830299578607,0.0074394317343831,0.0153783634305,0.0011032592738047
L021_A0_A2,L021,train_like_id,L021_A0,L021_A2,light,False,True,False,Pentax Q,Pentax Q,D65,A,appearance0,appearance0,True,True,True,True,0.0284260530024766,0.0350551269948482,0.0614603236317634,0.0109712081030011
L021_A0_A3,L021,train_like_id,L021_A0,L021_A3,appearance,False,False,True,Pentax Q,Pentax Q,D65,D65,appearance0,appearance1,True,True,True,False,0.0315986163914203,0.0475881099700927,0.2591395974159241,0.0322627089917659
L021_A0_A4,L021,train_like_id,L021_A0,L021_A4,joint,True,True,True,Pentax Q,SONY NEX-5N,D65,A,appearance0,appearance2,True,True,True,False,0.0393971838057041,0.0473453477025032,0.2682365477085113,0.0319493226706981
L022_A0_A1,L022,train_like_id,L022_A0,L022_A1,camera,True,False,False,SONY NEX-5N,Olympus E-PL2,A,A,appearance0,appearance0,True,True,True,True,0.0056003211066126,0.0071573974564671,0.0130713731050491,0.0030933739617466
L022_A0_A2,L022,train_like_id,L022_A0,L022_A2,light,False,True,False,SONY NEX-5N,SONY NEX-5N,A,FL2,appearance0,appearance0,True,True,True,True,0.0585113316774368,0.064670942723751,0.1043188571929931,0.0061231288127601
L022_A0_A3,L022,train_like_id,L022_A0,L022_A3,appearance,False,False,True,SONY NEX-5N,SONY NEX-5N,A,A,appearance0,appearance1,True,True,True,False,0.0590057112276554,0.0723820850253105,0.2078464925289154,0.0576377809047699
L022_A0_A4,L022,train_like_id,L022_A0,L022_A4,joint,True,True,True,SONY NEX-5N,Olympus E-PL2,A,FL2,appearance0,appearance2,True,True,True,False,0.0592239424586296,0.0746690332889556,0.2296702265739441,0.0279686916619539
L023_A0_A1,L023,train_like_id,L023_A0,L023_A1,camera,True,False,False,Olympus E-PL2,Canon 5DMarkII,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0047417720779776,0.0053385812789201,0.0105581041425466,0.0007742569432593
L023_A0_A2,L023,train_like_id,L023_A0,L023_A2,light,False,True,False,Olympus E-PL2,Olympus E-PL2,FL2,D65,appearance0,appearance0,True,True,True,True,0.0275061875581741,0.0294612515717744,0.0462288856506347,0.009084191173315
L023_A0_A3,L023,train_like_id,L023_A0,L023_A3,appearance,False,False,True,Olympus E-PL2,Olympus E-PL2,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0430841334164142,0.0574924796819686,0.2939653694629669,0.0476459711790084
L023_A0_A4,L023,train_like_id,L023_A0,L023_A4,joint,True,True,True,Olympus E-PL2,Canon 5DMarkII,FL2,D65,appearance0,appearance2,True,True,True,False,0.0391839407384395,0.0508164726197719,0.2692819535732269,0.0465870462357997
L024_A0_A1,L024,validation_like_id,L024_A0,L024_A1,camera,True,False,False,Canon 5DMarkII,Nokia N900,D65,D65,appearance0,appearance0,True,True,True,True,0.0170262325555086,0.0187611021101474,0.0279511213302612,0.001998697174713
L024_A0_A2,L024,validation_like_id,L024_A0,L024_A2,light,False,True,False,Canon 5DMarkII,Canon 5DMarkII,D65,A,appearance0,appearance0,True,True,True,True,0.0286445096135139,0.0306825935840606,0.0469696521759033,0.0005231829127296
L024_A0_A3,L024,validation_like_id,L024_A0,L024_A3,appearance,False,False,True,Canon 5DMarkII,Canon 5DMarkII,D65,D65,appearance0,appearance1,True,True,True,False,0.0367336980998516,0.0459916442632675,0.1617581844329834,0.0372248739004135
L024_A0_A4,L024,validation_like_id,L024_A0,L024_A4,joint,True,True,True,Canon 5DMarkII,Nokia N900,D65,A,appearance0,appearance2,True,True,True,False,0.0950449779629707,0.108950674533844,0.2393782138824463,0.1073211655020713
L025_A0_A1,L025,validation_like_id,L025_A0,L025_A1,camera,True,False,False,Nokia N900,Nikon D80,A,A,appearance0,appearance0,True,True,True,True,0.0155068710446357,0.0231706034392118,0.046062171459198,0.0010840650647878
L025_A0_A2,L025,validation_like_id,L025_A0,L025_A2,light,False,True,False,Nokia N900,Nokia N900,A,FL2,appearance0,appearance0,True,True,True,True,0.0562469623982906,0.0638055503368377,0.0985882878303527,0.0120583614334464
L025_A0_A3,L025,validation_like_id,L025_A0,L025_A3,appearance,False,False,True,Nokia N900,Nokia N900,A,A,appearance0,appearance1,True,True,True,False,0.057125024497509,0.0680229142308235,0.1790260076522827,0.0564649738371372
L025_A0_A4,L025,validation_like_id,L025_A0,L025_A4,joint,True,True,True,Nokia N900,Nikon D80,A,FL2,appearance0,appearance2,True,True,True,False,0.0863099992275238,0.1098149865865707,0.3320714831352234,0.0676372125744819
L026_A0_A1,L026,validation_like_id,L026_A0,L026_A1,camera,True,False,False,Nikon D80,Pentax Q,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0150349484756588,0.0197097975760698,0.0349223315715789,0.0040082652121782
L026_A0_A2,L026,validation_like_id,L026_A0,L026_A2,light,False,True,False,Nikon D80,Nikon D80,FL2,D65,appearance0,appearance0,True,True,True,True,0.020327977836132,0.0222351737320423,0.035328984260559,0.0010343944886699
L026_A0_A3,L026,validation_like_id,L026_A0,L026_A3,appearance,False,False,True,Nikon D80,Nikon D80,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0632267221808433,0.0706178769469261,0.1889743208885193,0.0659007728099823
L026_A0_A4,L026,validation_like_id,L026_A0,L026_A4,joint,True,True,True,Nikon D80,Pentax Q,FL2,D65,appearance0,appearance2,True,True,True,False,0.0273114908486604,0.0359179824590683,0.1288589835166931,0.0228011421859264
L027_A0_A1,L027,validation_like_id,L027_A0,L027_A1,camera,True,False,False,Pentax Q,SONY NEX-5N,D65,D65,appearance0,appearance0,True,True,True,True,0.0079540340229868,0.0083767119795084,0.0117368698120117,0.0045218826271593
L027_A0_A2,L027,validation_like_id,L027_A0,L027_A2,light,False,True,False,Pentax Q,Pentax Q,D65,A,appearance0,appearance0,True,True,True,True,0.0303893331438303,0.0335527509450912,0.048359215259552,0.0041295858100056
L027_A0_A3,L027,validation_like_id,L027_A0,L027_A3,appearance,False,False,True,Pentax Q,Pentax Q,D65,D65,appearance0,appearance1,True,True,True,False,0.0628115907311439,0.0789501219987869,0.2401315867900848,0.0650385692715644
L027_A0_A4,L027,validation_like_id,L027_A0,L027_A4,joint,True,True,True,Pentax Q,SONY NEX-5N,D65,A,appearance0,appearance2,True,True,True,False,0.0621052645146846,0.0765923708677291,0.2574365735054016,0.0455520711839199
L028_A0_A1,L028,validation_like_id,L028_A0,L028_A1,camera,True,False,False,SONY NEX-5N,Olympus E-PL2,A,A,appearance0,appearance0,True,True,True,True,0.0057597518898546,0.0064249685965478,0.0102157294750213,0.0026011830195784
L028_A0_A2,L028,validation_like_id,L028_A0,L028_A2,light,False,True,False,SONY NEX-5N,SONY NEX-5N,A,FL2,appearance0,appearance0,True,True,True,True,0.0558034852147102,0.0622942224144935,0.0953720808029174,0.0075913988985121
L028_A0_A3,L028,validation_like_id,L028_A0,L028_A3,appearance,False,False,True,SONY NEX-5N,SONY NEX-5N,A,A,appearance0,appearance1,True,True,True,False,0.0361405611038208,0.0474108755588531,0.1558912992477417,0.0362604148685932
L028_A0_A4,L028,validation_like_id,L028_A0,L028_A4,joint,True,True,True,SONY NEX-5N,Olympus E-PL2,A,FL2,appearance0,appearance2,True,True,True,False,0.0465367808938026,0.057465448975563,0.1715242862701416,0.0448929704725742
L029_A0_A1,L029,validation_like_id,L029_A0,L029_A1,camera,True,False,False,Olympus E-PL2,Canon 5DMarkII,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0054551814682781,0.0057661971077322,0.0086092948913574,0.0010433645220473
